home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Minnesota,Purdue,1,2021-02-11,3.0,1.0,0.7888,Minnesota,Purdue,3.0
Arizona St.,Oregon,-3,2021-02-11,2.0,1.0,0.7197,Arizona St.,Oregon,-11.0
UT Arlington,Texas St.,-2,2021-02-11,-1.5,0.0,0.6921,Texas St.,Texas St.,-7.0
Campbell,USC Upstate,5,2021-02-11,4.5,0.0,0.6791,USC Upstate,USC Upstate,1.0
Kansas,Iowa St.,13,2021-02-11,15.5,0.0,0.6651,Iowa St.,Iowa St.,33.0
South Alabama,Troy,6,2021-02-11,6.5,1.0,0.6568,South Alabama,Troy,3.0
Stanford,Colorado,-2,2021-02-11,-0.5,1.0,0.6433,Stanford,Colorado,-18.0
Mount St. Mary's,LIU,4,2021-02-11,4.0,1.0,0.6424,Mount St. Mary's,LIU,6.0
Murray St.,Southeast Missouri St.,11,2021-02-11,12.0,1.0,0.6249,Murray St.,,
Jacksonville St.,Eastern Illinois,9,2021-02-11,9.0,0.0,0.6041,Eastern Illinois,Eastern Illinois,12.0
Austin Peay,Tennessee Martin,13,2021-02-11,16.0,0.0,0.593,Tennessee Martin,Tennessee Martin,21.0
Montana,Weber St.,1,2021-02-11,-1.0,1.0,0.5870000000000001,Montana,Weber St.,13.0
Pacific,Portland,15,2021-02-11,15.5,1.0,0.5835,Pacific,Portland,27.0
Louisiana,Louisiana Monroe,10,2021-02-11,9.5,0.0,0.5774,Louisiana Monroe,Louisiana Monroe,-6.0
St. Francis PA,St. Francis NY,3,2021-02-11,2.5,0.0,0.5769,St. Francis NY,St. Francis NY,-3.0
Hampton,Presbyterian,5,2021-02-11,4.0,0.0,0.5655,Presbyterian,Presbyterian,-15.0
Air Force,Fresno St.,-5,2021-02-11,-4.5,1.0,0.5613,Air Force,Fresno St.,-6.0
Central Connecticut,Merrimack,-1,2021-02-11,-3.0,0.0,0.5598,Merrimack,Merrimack,-16.0
Montana St.,Eastern Washington,-3,2021-02-11,-2.5,1.0,0.5537,Montana St.,Eastern Washington,-16.0
Georgia St.,Georgia Southern,10,2021-02-11,7.5,1.0,0.5492,Georgia St.,Georgia Southern,4.0
Tennessee St.,Morehead St.,-8,2021-02-11,-7.0,0.0,0.5471,Morehead St.,Morehead St.,-13.0
Tennessee Tech,SIU Edwardsville,1,2021-02-11,2.5,0.0,0.5446,SIU Edwardsville,SIU Edwardsville,-18.0
Arizona,Oregon St.,10,2021-02-11,11.5,0.0,0.5386,Oregon St.,Oregon St.,9.0
Belmont,Eastern Kentucky,11,2021-02-11,12.0,0.0,0.5353,Eastern Kentucky,Eastern Kentucky,18.0
Idaho St.,Idaho,10,2021-02-11,9.0,0.0,0.5341,Idaho,Idaho,26.0
Radford,Winthrop,-2,2021-02-11,-3.5,0.0,0.5331,Winthrop,Winthrop,-16.0
Washington St.,UCLA,-5,2021-02-11,-4.0,0.0,0.523,UCLA,UCLA,8.0
California,Utah,-5,2021-02-11,-4.0,1.0,0.5104,California,Utah,-1.0
Boise St.,UNLV,11,2021-02-11,10.0,1.0,0.5029,Boise St.,UNLV,12.0
Washington,USC,-13,2021-02-11,-11.5,0.0,0.5024,USC,USC,-15.0
