home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Buffalo,Akron,6,2021-03-02,6.0,0.0,0.748,Akron,Akron,2.0
Kent St.,Ohio,4,2021-03-02,2.0,0.0,0.6948,Ohio,,
Iowa St.,Texas,-12,2021-03-02,-11.5,1.0,0.6818,Iowa St.,Texas,-14.0
Bowling Green,Miami OH,5,2021-03-02,5.5,0.0,0.6616,Miami OH,Miami OH,-5.0
South Florida,Memphis,-8,2021-03-02,-9.0,0.0,0.6474,Memphis,Memphis,-21.0
Mississippi,Kentucky,2,2021-03-02,3.0,1.0,0.6449,Mississippi,Kentucky,8.0
Texas Tech,TCU,12,2021-03-02,12.5,1.0,0.6348,Texas Tech,TCU,20.0
Central Michigan,Toledo,-15,2021-03-02,-16.0,1.0,0.6327,Central Michigan,Toledo,2.0
Georgia Tech,Duke,3,2021-03-02,1.5,1.0,0.6322,Georgia Tech,Duke,4.0
Boise St.,Fresno St.,15,2021-03-02,13.5,1.0,0.6272,Boise St.,Fresno St.,-3.0
Michigan St.,Indiana,-1,2021-03-02,3.0,1.0,0.6236,Michigan St.,Indiana,6.0
UCF,Tulsa,4,2021-03-02,3.0,0.0,0.6184,Tulsa,Tulsa,4.0
Cleveland St.,Purdue Fort Wayne,10,2021-03-02,8.0,1.0,0.6175,Cleveland St.,Purdue Fort Wayne,4.0
Michigan,Illinois,7,2021-03-02,6.5,0.0,0.6053,Illinois,Illinois,-23.0
Alabama,Auburn,11,2021-03-02,11.0,1.0,0.6048,Alabama,Auburn,12.0
LSU,Vanderbilt,10,2021-03-02,14.0,0.0,0.5979,Vanderbilt,Vanderbilt,15.0
West Virginia,Baylor,-5,2021-03-02,-4.5,0.0,0.5924,Baylor,Baylor,-5.0
DePaul,Marquette,-3,2021-03-02,-5.5,0.0,0.589,Marquette,Marquette,-6.0
Purdue,Wisconsin,2,2021-03-02,2.0,0.0,0.5757,Wisconsin,Wisconsin,4.0
Oakland,Youngstown St.,4,2021-03-02,3.5,1.0,0.5697,Oakland,Youngstown St.,4.0
Northern Illinois,Western Michigan,-2,2021-03-02,1.5,0.0,0.5692,Western Michigan,Western Michigan,-10.0
Ball St.,Eastern Michigan,9,2021-03-02,7.5,1.0,0.5602,Ball St.,Eastern Michigan,35.0
Wright St.,Milwaukee,16,2021-03-02,13.5,0.0,0.5355,Milwaukee,Milwaukee,-2.0
Georgetown,Xavier,-2,2021-03-02,-2.5,1.0,0.5329,Georgetown,Xavier,6.0
Northern Kentucky,Detroit,-1,2021-03-02,-1.5,0.0,0.5232,Detroit,Detroit,1.0
Pittsburgh,Wake Forest,9,2021-03-02,5.0,1.0,0.5098,Pittsburgh,Wake Forest,13.0
Wagner,Merrimack,6,2021-03-02,5.0,0.0,0.5067,Merrimack,Merrimack,7.0
South Carolina,Arkansas,-8,2021-03-02,-6.5,0.0,0.5062,Arkansas,Arkansas,-28.0
