home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Richmond,Massachusetts,7,2021-02-23,8.5,0.0,0.7695,Massachusetts,Massachusetts,14
Texas,Kansas,2,2021-02-23,3.0,1.0,0.7559999999999999,Texas,Kansas,3
Georgia St.,Appalachian St.,7,2021-02-23,6.5,1.0,0.6816,Georgia St.,Appalachian St.,14
Michigan St.,Illinois,-9,2021-02-23,-7.0,0.0,0.6787,Illinois,Illinois,9
Virginia Tech,Georgia Tech,2,2021-02-23,2.0,1.0,0.6634,Virginia Tech,Georgia Tech,-16
Baylor,Iowa St.,26,2021-02-23,23.0,1.0,0.6618,Baylor,Iowa St.,5
Nebraska,Penn St.,-7,2021-02-23,-6.5,0.0,0.6453,Penn St.,Penn St.,-3
Auburn,Florida,-1,2021-02-23,1.0,1.0,0.6231,Auburn,Florida,-17
Prairie View A&M,Arkansas Pine Bluff,15,2021-02-23,16.5,1.0,0.6164,Prairie View A&M,Arkansas Pine Bluff,16
Georgia,LSU,-5,2021-02-23,-6.0,0.0,0.6126,LSU,LSU,13
San Diego,Pacific,-2,2021-02-23,-3.5,0.0,0.6034,Pacific,Pacific,-10
Georgetown,Connecticut,-3,2021-02-23,-4.5,1.0,0.6005,Georgetown,Connecticut,-13
Central Michigan,Miami OH,-3,2021-02-23,-3.5,1.0,0.5889,Central Michigan,Miami OH,-42
Texas Southern,Mississippi Valley St.,27,2021-02-23,28.0,1.0,0.5856,Texas Southern,Mississippi Valley St.,37
TCU,West Virginia,-9,2021-02-23,-7.0,0.0,0.5836,West Virginia,West Virginia,-8
Ohio,Akron,1,2021-02-23,1.5,0.0,0.5733,Akron,Akron,17
VCU,Saint Louis,3,2021-02-23,-3.0,1.0,0.5452,VCU,Saint Louis,2
Louisville,Notre Dame,3,2021-02-23,4.5,1.0,0.5382,Louisville,Notre Dame,12
Arizona St.,Washington,8,2021-02-23,9.5,1.0,0.5339,Arizona St.,Washington,33
Missouri,Mississippi,4,2021-02-23,4.0,1.0,0.5306,Missouri,Mississippi,-7
Northern Illinois,Buffalo,-13,2021-02-23,-12.5,1.0,0.5222,Northern Illinois,Buffalo,-28
Kansas St.,Oklahoma,-12,2021-02-23,-11.0,1.0,0.5123,Kansas St.,Oklahoma,5
Villanova,St. John's,11,2021-02-23,11.0,0.0,0.5103,St. John's,St. John's,23
Eastern Michigan,Bowling Green,-7,2021-02-23,-8.0,1.0,0.5055,Eastern Michigan,Bowling Green,-13
Campbell,High Point,4,2021-02-23,4.0,1.0,0.5024,Campbell,High Point,20
