home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Utah St.,Nevada,7,2021-02-28,7.5,0.0,0.8707,Nevada,Nevada,21
Delaware St.,Coppin St.,-8,2021-02-28,-7.5,0.0,0.7703,Coppin St.,Coppin St.,-20
Oral Roberts,Western Illinois,10,2021-02-28,9.0,0.0,0.7192,Western Illinois,Western Illinois,36
Maryland,Michigan St.,5,2021-02-28,2.5,1.0,0.6682,Maryland,Michigan St.,18
Idaho,Montana St.,-11,2021-02-28,-10.5,1.0,0.659,Idaho,Montana St.,-10
Army,Boston University,6,2021-02-28,3.5,0.0,0.6519,Boston University,Boston University,2
Hartford,Albany,3,2021-02-28,1.0,0.0,0.6285,Albany,Albany,6
UTEP,Charlotte,7,2021-02-28,6.0,1.0,0.6195,UTEP,Charlotte,15
American,Bucknell,2,2021-02-28,4.0,0.0,0.6165,Bucknell,Bucknell,13
South Carolina St.,Florida A&M,-8,2021-02-28,-7.5,1.0,0.6081,South Carolina St.,Florida A&M,-5
Marist,Quinnipiac,2,2021-02-28,2.5,0.0,0.5554,Quinnipiac,Quinnipiac,9
Lehigh,Lafayette,-4,2021-02-28,-3.0,0.0,0.5392,Lafayette,Lafayette,-1
N.C. State,Pittsburgh,4,2021-02-28,7.0,0.0,0.5346,Pittsburgh,Pittsburgh,3
Navy,Loyola MD,7,2021-02-28,3.5,0.0,0.5292,Loyola MD,Loyola MD,8
Cincinnati,Memphis,-4,2021-02-28,-4.5,1.0,0.5277,Cincinnati,Memphis,-6
Ohio St.,Iowa,2,2021-02-28,3.0,1.0,0.5229,Ohio St.,Iowa,-16
New Hampshire,UMass Lowell,1,2021-02-28,2.5,1.0,0.5179,New Hampshire,UMass Lowell,-8
South Dakota,North Dakota St.,2,2021-02-28,-1.0,1.0,0.5164,South Dakota,North Dakota St.,-12
Western Kentucky,FIU,17,2021-02-28,16.5,0.0,0.5116,FIU,FIU,33
Houston,South Florida,18,2021-02-28,18.5,1.0,0.5102,Houston,South Florida,46
