home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Portland,Loyola Marymount,-9,2021-01-25,-10.0,0.0,0.8822,Loyola Marymount,Loyola Marymount,-25.0
Iowa St.,Oklahoma St.,-4,2021-01-25,-2.5,1.0,0.8415,Iowa St.,Oklahoma St.,-21.0
Arkansas Pine Bluff,Prairie View A&M,-8,2021-01-25,-9.0,0.0,0.742,Prairie View A&M,Prairie View A&M,-17.0
Alabama St.,Southern,-8,2021-01-25,-8.5,0.0,0.6970000000000001,Southern,Southern,2.0
Indiana St.,Southern Illinois,5,2021-01-25,7.0,1.0,0.6753,Indiana St.,Southern Illinois,3.0
Bradley,Loyola Chicago,-7,2021-01-25,-7.0,0.0,0.6666,Loyola Chicago,Loyola Chicago,-7.0
High Point,Presbyterian,9,2021-01-25,8.0,1.0,0.6435,High Point,Presbyterian,-15.0
West Virginia,Texas Tech,2,2021-01-25,2.0,1.0,0.6343,West Virginia,Texas Tech,1.0
Arizona,Arizona St.,7,2021-01-25,5.0,0.0,0.6197,Arizona St.,Arizona St.,13.0
Alabama A&M,Alcorn St.,4,2021-01-25,4.5,0.0,0.5861,Alcorn St.,,
UNLV,Utah St.,-6,2021-01-25,-6.0,1.0,0.5523,UNLV,Utah St.,3.0
UNC Asheville,Radford,2,2021-01-25,3.0,1.0,0.5423,UNC Asheville,Radford,-10.0
Virginia,Syracuse,7,2021-01-25,7.5,0.0,0.5208,Syracuse,Syracuse,23.0
Furman,UNC Greensboro,5,2021-01-25,4.5,1.0,0.5057,Furman,,
