home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Missouri,Kentucky,4,2021-02-03,4.5,1.0,0.9028,Missouri,Kentucky,5.0
East Carolina,Houston,-16,2021-02-03,-16.0,0.0,0.8327,Houston,Houston,9.0
Rhode Island,VCU,1,2021-02-03,-1.5,1.0,0.7959,Rhode Island,VCU,-1.0
New Mexico,San Diego St.,-19,2021-02-03,-19.5,0.0,0.7742,San Diego St.,,
Massachusetts,Fordham,12,2021-02-03,13.5,0.0,0.6644,Fordham,Fordham,6.0
Texas A&M Corpus Chris,Stephen F. Austin,-10,2021-02-03,-13.0,0.0,0.643,Stephen F. Austin,Stephen F. Austin,-9.0
Lamar,Incarnate Word,3,2021-02-03,5.5,0.0,0.6274,Incarnate Word,Incarnate Word,-9.0
Wichita St.,Tulane,11,2021-02-03,11.5,0.0,0.6129,Tulane,Tulane,8.0
La Salle,Saint Louis,-10,2021-02-03,-11.5,0.0,0.6111,Saint Louis,Saint Louis,7.0
Memphis,UCF,9,2021-02-03,11.0,1.0,0.6104,Memphis,UCF,14.0
Alabama,LSU,7,2021-02-03,8.5,0.0,0.6103,LSU,LSU,18.0
Wofford,VMI,7,2021-02-03,8.0,1.0,0.5988,Wofford,VMI,-4.0
Tulsa,SMU,-1,2021-02-03,-3.0,1.0,0.5943,Tulsa,SMU,-2.0
Creighton,Georgetown,14,2021-02-03,14.0,0.0,0.5931,Georgetown,Georgetown,-7.0
Bowling Green,Western Michigan,12,2021-02-03,12.5,0.0,0.5724,Western Michigan,Western Michigan,-6.0
Pittsburgh,Virginia Tech,-5,2021-02-03,-3.5,1.0,0.5689,Pittsburgh,Virginia Tech,11.0
Mercer,East Tennessee St.,1,2021-02-03,1.5,1.0,0.5423,Mercer,East Tennessee St.,-6.0
Western Carolina,Chattanooga,-1,2021-02-03,1.5,0.0,0.5381,Chattanooga,Chattanooga,-7.0
The Citadel,UNC Greensboro,-10,2021-02-03,-11.0,0.0,0.5374,UNC Greensboro,UNC Greensboro,-19.0
James Madison,Elon,6,2021-02-03,8.0,0.0,0.5308,Elon,Elon,21.0
Florida,South Carolina,9,2021-02-03,8.0,0.0,0.5181,South Carolina,South Carolina,-6.0
TCU,Oklahoma St.,-5,2021-02-03,-4.5,1.0,0.5159,TCU,Oklahoma St.,3.0
N.C. State,Virginia,-6,2021-02-03,-6.5,1.0,0.5019,N.C. State,Virginia,-7.0
St. John's,Villanova,-8,2021-02-03,-9.5,1.0,0.5011,St. John's,Villanova,11.0
