home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Auburn,Missouri,-1,2021-01-26,2.5,1.0,0.8205,Auburn,Missouri,6.0
Pittsburgh,North Carolina,-1,2021-01-26,-2.5,1.0,0.7399,Pittsburgh,North Carolina,-10.0
Tennessee Martin,Southeast Missouri St.,-3,2021-01-26,-5.0,0.0,0.7268,Southeast Missouri St.,Southeast Missouri St.,3.0
Missouri St.,Drake,-4,2021-01-26,-4.0,1.0,0.7166,Missouri St.,Drake,-7.0
Buffalo,Central Michigan,13,2021-01-26,13.0,1.0,0.703,Buffalo,,
Akron,Eastern Michigan,11,2021-01-26,11.0,1.0,0.6977,Akron,Eastern Michigan,21.0
Miami OH,Toledo,-5,2021-01-26,-4.5,1.0,0.6928,Miami OH,Toledo,-9.0
Saint Louis,Dayton,8,2021-01-26,9.0,1.0,0.6509,Saint Louis,Dayton,-5.0
Saint Joseph's,Richmond,-10,2021-01-26,-12.0,0.0,0.6139,Richmond,Richmond,-23.0
Duke,Georgia Tech,5,2021-01-26,6.0,1.0,0.5943,Duke,Georgia Tech,7.0
Temple,Tulsa,-3,2021-01-26,1.0,1.0,0.5848,Temple,Tulsa,9.0
Connecticut,Butler,8,2021-01-26,6.0,1.0,0.5708,Connecticut,Butler,12.0
Alabama,Kentucky,9,2021-01-26,7.5,1.0,0.5604,Alabama,Kentucky,11.0
Texas,Oklahoma,6,2021-01-26,4.5,1.0,0.5364,Texas,Oklahoma,-1.0
Texas A&M,LSU,-6,2021-01-26,-5.0,0.0,0.5241,LSU,LSU,-12.0
Ohio,Western Michigan,11,2021-01-26,14.0,0.0,0.5237,Western Michigan,Western Michigan,23.0
Tennessee,Mississippi St.,9,2021-01-26,9.5,0.0,0.5229,Mississippi St.,Mississippi St.,3.0
Memphis,SMU,2,2021-01-26,2.5,1.0,0.5134,Memphis,SMU,4.0
Indiana St.,Southern Illinois,5,2021-01-26,5.5,0.0,0.5118,Southern Illinois,Southern Illinois,12.0
Eastern Illinois,SIU Edwardsville,7,2021-01-26,6.0,1.0,0.5036,Eastern Illinois,SIU Edwardsville,-13.0
