home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
UMKC,Denver,11,2021-02-20,10.0,1.0,0.8377,UMKC,Denver,11.0
UAB,Old Dominion,7,2021-02-20,7.0,1.0,0.8012,UAB,Old Dominion,-7.0
Portland,Pacific,-11,2021-02-20,-12.5,0.0,0.7977,Pacific,Pacific,-22.0
Cal St. Northridge,Hawaii,-4,2021-02-20,-4.0,1.0,0.7972,Cal St. Northridge,Hawaii,8.0
North Carolina,Louisville,1,2021-02-20,5.0,1.0,0.7694,North Carolina,Louisville,45.0
Detroit,Robert Morris,9,2021-02-20,9.5,1.0,0.7694,Detroit,Robert Morris,19.0
Purdue Fort Wayne,Cleveland St.,-5,2021-02-20,-3.0,1.0,0.7458,Purdue Fort Wayne,Cleveland St.,-12.0
Lipscomb,Kennesaw St.,12,2021-02-20,12.5,1.0,0.7413,Lipscomb,Kennesaw St.,14.0
Cal St. Fullerton,UC Irvine,-9,2021-02-20,-9.0,0.0,0.7304,UC Irvine,UC Irvine,3.0
Austin Peay,Eastern Illinois,9,2021-02-20,8.0,1.0,0.7243,Austin Peay,Eastern Illinois,-7.0
Northern Kentucky,Wright St.,-8,2021-02-20,-9.0,1.0,0.7013,Northern Kentucky,Wright St.,-6.0
Syracuse,Notre Dame,2,2021-02-20,3.0,0.0,0.6978,Notre Dame,Notre Dame,8.0
UC Santa Barbara,Cal St. Bakersfield,7,2021-02-20,7.5,0.0,0.6885,Cal St. Bakersfield,Cal St. Bakersfield,19.0
Weber St.,Northern Arizona,14,2021-02-20,14.5,1.0,0.6767,Weber St.,Northern Arizona,22.0
South Carolina,Missouri,-2,2021-02-20,-3.0,1.0,0.6758,South Carolina,Missouri,-15.0
Fairfield,Canisius,-6,2021-02-20,-5.5,0.0,0.6661,Canisius,Canisius,13.0
Long Beach St.,Cal Poly,9,2021-02-20,7.5,0.0,0.6661,Cal Poly,Cal Poly,5.0
Washington St.,Stanford,-2,2021-02-20,-5.5,1.0,0.6657,Washington St.,Stanford,9.0
Florida,Georgia,9,2021-02-20,8.0,0.0,0.6642,Georgia,Georgia,7.0
Dixie St.,Tarleton St.,-2,2021-02-20,-2.0,0.0,0.6621,Tarleton St.,Tarleton St.,16.0
Tennessee Martin,Morehead St.,-13,2021-02-20,-13.0,0.0,0.6609,Morehead St.,Morehead St.,-10.0
LSU,Auburn,5,2021-02-20,4.5,0.0,0.6527,Auburn,Auburn,24.0
American,Navy,-3,2021-02-20,-3.0,0.0,0.6525,Navy,Navy,-12.0
Miami FL,Georgia Tech,-5,2021-02-20,-3.5,1.0,0.6523,Miami FL,Georgia Tech,-27.0
FIU,Southern Miss,-1,2021-02-20,3.0,0.0,0.6495,Southern Miss,,
UC San Diego,UC Riverside,-6,2021-02-20,-7.5,1.0,0.6314,UC San Diego,UC Riverside,1.0
Albany,Stony Brook,3,2021-02-20,3.0,0.0,0.627,Stony Brook,Stony Brook,-16.0
Santa Clara,Pepperdine,-2,2021-02-20,-3.0,0.0,0.6228,Pepperdine,Pepperdine,4.0
Youngstown St.,IUPUI,3,2021-02-20,6.5,1.0,0.6153,Youngstown St.,IUPUI,7.0
Montana,Eastern Washington,-3,2021-02-20,-4.5,0.0,0.6146,Eastern Washington,Eastern Washington,-14.0
Milwaukee,Oakland,1,2021-02-20,1.0,0.0,0.6117,Oakland,Oakland,2.0
Mercer,Furman,-2,2021-02-20,-3.0,0.0,0.6114,Furman,Furman,-10.0
