home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Middle Tennessee,UAB,-9,2021-01-28,-10.5,0.0,0.8692,UAB,UAB,-11.0
Arizona,Stanford,4,2021-01-28,8.5,1.0,0.7757,Arizona,Stanford,-9.0
Tulane,Houston,-17,2021-01-28,-17.5,0.0,0.7411,Houston,Houston,-23.0
Southern Miss,Louisiana Tech,-8,2021-01-28,-7.5,0.0,0.7266,Louisiana Tech,Louisiana Tech,-13.0
San Diego St.,Wyoming,16,2021-01-28,16.0,1.0,0.7161,San Diego St.,Wyoming,30.0
Winthrop,UNC Asheville,12,2021-01-28,12.0,1.0,0.6925,Winthrop,UNC Asheville,4.0
Rice,North Texas,-5,2021-01-28,-7.0,0.0,0.6851,North Texas,,
Fresno St.,New Mexico,7,2021-01-28,7.0,0.0,0.6543,New Mexico,New Mexico,2.0
Eastern Washington,Sacramento St.,8,2021-01-28,10.0,1.0,0.6459,Eastern Washington,,
Southeast Missouri St.,SIU Edwardsville,1,2021-01-28,2.5,0.0,0.6405,SIU Edwardsville,SIU Edwardsville,2.0
San Jose St.,Air Force,-1,2021-01-28,-4.5,0.0,0.6392,Air Force,Air Force,1.0
Jacksonville St.,Morehead St.,2,2021-01-28,4.5,0.0,0.6143,Morehead St.,Morehead St.,-19.0
UTSA,UTEP,1,2021-01-28,1.0,1.0,0.6085,UTSA,UTEP,7.0
Northern Arizona,Northern Colorado,-3,2021-01-28,-4.0,1.0,0.6,Northern Arizona,,
Tennessee Martin,Eastern Illinois,-6,2021-01-28,-8.0,0.0,0.5995,Eastern Illinois,Eastern Illinois,10.0
Murray St.,Tennessee St.,11,2021-01-28,12.0,0.0,0.5761,Tennessee St.,Tennessee St.,20.0
Valparaiso,Bradley,-4,2021-01-28,-5.5,0.0,0.5734,Bradley,Bradley,6.0
SMU,Memphis,2,2021-01-28,4.0,1.0,0.5559,SMU,Memphis,2.0
San Diego,Gonzaga,-25,2021-01-28,-27.5,0.0,0.5364,Gonzaga,Gonzaga,-28.0
Kansas,TCU,12,2021-01-28,14.5,1.0,0.5355,Kansas,TCU,8.0
Idaho,Weber St.,-10,2021-01-28,-12.5,0.0,0.531,Weber St.,Weber St.,-25.0
Arizona St.,California,9,2021-01-28,7.5,1.0,0.5185,Arizona St.,California,4.0
Austin Peay,Belmont,-6,2021-01-28,-5.5,1.0,0.5112,Austin Peay,Belmont,-5.0
USC,Oregon St.,13,2021-01-28,12.5,1.0,0.5081,USC,Oregon St.,13.0
