home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
SIU Edwardsville,Morehead St.,-9,2021-02-22,-11.0,0.0,0.7687,Morehead St.,Morehead St.,-8.0
New Orleans,Central Arkansas,4,2021-02-22,3.5,0.0,0.7248,Central Arkansas,Central Arkansas,25.0
Oklahoma St.,Texas Tech,-1,2021-02-22,-3.5,1.0,0.7131,Oklahoma St.,Texas Tech,5.0
Louisiana Monroe,Little Rock,-2,2021-02-22,-3.5,1.0,0.7122,Louisiana Monroe,Little Rock,4.0
Drake,Evansville,15,2021-02-22,11.5,1.0,0.6715,Drake,Evansville,11.0
Alcorn St.,Alabama A&M,2,2021-02-22,-2.0,1.0,0.6656,Alcorn St.,Alabama A&M,13.0
Southern,Alabama St.,11,2021-02-22,11.5,0.0,0.6613,Alabama St.,Alabama St.,9.0
Jackson St.,Grambling St.,5,2021-02-22,7.0,0.0,0.6582,Grambling St.,Grambling St.,4.0
Northwestern St.,Houston Baptist,4,2021-02-22,5.0,0.0,0.6576,Houston Baptist,Houston Baptist,6.0
Arkansas St.,Texas St.,-3,2021-02-22,-3.5,1.0,0.6342,Arkansas St.,Texas St.,-5.0
USC,Oregon,6,2021-02-22,3.5,0.0,0.6192,Oregon,Oregon,14.0
Duke,Syracuse,4,2021-02-22,5.0,0.0,0.5955,Syracuse,Syracuse,14.0
Mercer,The Citadel,8,2021-02-22,8.5,0.0,0.5923,The Citadel,The Citadel,36.0
Southern Illinois,Valparaiso,1,2021-02-22,2.0,0.0,0.5898,Valparaiso,Valparaiso,3.0
Western Carolina,UNC Greensboro,-8,2021-02-22,-8.5,1.0,0.5864,Western Carolina,UNC Greensboro,-21.0
Air Force,New Mexico,-1,2021-02-22,1.5,1.0,0.5863,Air Force,New Mexico,-8.0
Louisiana,UT Arlington,5,2021-02-22,4.5,0.0,0.5374,UT Arlington,UT Arlington,2.0
Texas A&M Corpus Chris,Southeastern Louisiana,1,2021-02-22,2.5,1.0,0.5291,Texas A&M Corpus Chris,Southeastern Louisiana,-3.0
Southeast Missouri St.,Eastern Kentucky,-3,2021-02-22,-4.0,1.0,0.5284,Southeast Missouri St.,Eastern Kentucky,-22.0
Saint Mary's,Pepperdine,6,2021-02-22,5.5,0.0,0.528,Pepperdine,Pepperdine,5.0
Lamar,Sam Houston St.,-10,2021-02-22,-10.5,0.0,0.5269,Sam Houston St.,Sam Houston St.,-6.0
Furman,VMI,8,2021-02-22,10.0,0.0,0.5244,VMI,,
Elon,William & Mary,4,2021-02-22,4.0,1.0,0.502,Elon,William & Mary,19.0
