home,away,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Iowa,Minnesota,123.0,96.6,71.7,-0.021,112.0,93.7,72.2,0.137
Illinois,Maryland,116.8,91.3,71.8,-0.019,112.4,97.4,67.7,-0.08
Virginia Tech,Notre Dame,111.6,94.4,67.2,0.078,111.8,102.8,66.9,-0.033
Northern Iowa,Bradley,105.6,101.3,71.5,-0.107,102.3,96.5,66.6,-0.118
Lafayette,Bucknell,102.2,105.8,70.4,-0.17,94.7,104.0,72.9,-0.123
Longwood,Campbell,93.9,106.7,67.5,-0.167,99.2,107.0,67.8,0.076
Wichita St.,Cincinnati,108.2,98.3,68.3,0.098,105.6,94.9,71.1,-0.072
Boston University,Colgate,100.8,104.9,69.5,-0.117,106.8,103.3,71.1,-0.083
Charleston,Drexel,99.6,104.7,64.5,-0.032,102.2,101.4,66.3,-0.062
Winthrop,Gardner Webb,106.1,99.7,78.1,0.085,99.6,104.9,69.2,-0.111
UMass Lowell,Hartford,98.0,103.1,69.9,-0.007,96.7,105.1,67.6,0.068
Army,Holy Cross,96.6,101.1,70.3,0.22,92.6,111.1,70.7,0.108
Evansville,Illinois St.,97.1,104.2,62.1,0.102,97.1,105.6,70.9,-0.051
Nebraska,Indiana,102.7,98.2,72.9,-0.142,109.4,90.1,66.5,-0.05
Navy,Lehigh,101.5,102.9,65.9,0.325,97.8,108.9,69.8,0.175
Indiana St.,Loyola Chicago,101.5,101.4,70.7,-0.001,109.0,92.9,67.4,-0.065
NJIT,Maine,99.1,102.5,69.1,0.106,88.6,107.1,64.8,0.011
Monmouth,Marist,102.8,103.0,75.9,-0.133,93.8,101.6,67.0,0.166
New Hampshire,UMBC,93.8,101.5,69.4,0.045,98.6,100.9,70.4,0.007
Valparaiso,Missouri St.,99.1,101.2,69.1,-0.172,105.7,101.2,70.4,0.043
Norfolk St.,Morgan St.,96.2,103.0,67.9,0.068,94.7,105.0,71.1,0.077
Hampton,UNC Asheville,93.3,108.1,73.0,0.091,99.4,106.0,69.7,-0.102
Xavier,Providence,110.5,95.5,69.3,0.118,110.0,96.5,66.2,0.052
Charleston Southern,Radford,92.4,106.3,68.4,-0.102,96.8,105.2,64.1,-0.012
Loyola Marymount,San Francisco,103.4,99.9,67.9,0.022,107.5,96.6,69.7,-0.024
Fresno St.,San Jose St.,101.2,101.5,66.6,-0.062,97.4,109.2,76.1,-0.085
Fairfield,Siena,89.4,104.5,67.0,-0.095,103.6,100.2,67.6,0.11
Florida A&M,South Carolina St.,95.3,104.5,68.7,-0.015,85.7,113.8,72.6,-0.092
Presbyterian,USC Upstate,93.1,112.2,68.2,0.1,97.2,108.8,67.7,0.06
Binghamton,Vermont,94.6,112.3,66.8,-0.039,104.1,99.4,67.9,-0.155
