home,away,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Creighton,Marquette,113.1,91.5,72.7,-0.111,107.5,90.6,70.9,-0.044
Maryland,Rutgers,109.9,92.8,69.0,0.005,107.1,88.1,71.5,0.002
Morehead St.,Eastern Kentucky,93.4,105.3,68.0,-0.001,96.9,99.2,76.8,-0.056
Radford,Longwood,92.7,104.1,67.1,-0.038,90.4,103.0,70.6,-0.121
San Diego,Nevada,97.7,98.0,72.4,0.0,101.6,97.8,71.7,0.123
Colorado St.,Northern Arizona,106.0,101.4,71.4,0.0,93.6,107.5,69.4,-0.004
Colorado,Northern Colorado,106.0,90.6,70.0,-0.059,99.3,101.7,70.3,0.0
UNLV,Pepperdine,102.8,100.3,70.7,-0.065,105.5,98.9,72.4,-0.18
LSU,Sam Houston St.,114.5,96.2,71.2,-0.078,94.6,106.6,72.8,0.0
George Washington,William & Mary,97.3,103.2,73.4,-0.205,98.6,108.0,70.7,0.0
