home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
Mercer,ETSU,60,73,100.1,102.7,68.1,0.014,99.6,104,70.6,-0.01,2/8/2020
SIU-Edwardsville,Eastern Kentucky,83,75,100.1,102.7,68.1,0.014,95.4,104.9,74.5,0.07,2/8/2020
Akron,Eastern Michigan,59,58,108.5,98.9,69.4,0.022,94.2,96.6,66.8,0.028,2/8/2020
Charleston,Elon,65,72,105,104.9,65.9,-0.004,100.6,110,66.2,-0.013,2/8/2020
Ole Miss,Florida,68,51,105,104.9,65.9,-0.004,112.5,95.7,64.9,-0.047,2/8/2020
Florida Atlantic,FIU,59,66,99.7,101.3,68.8,-0.001,103.7,102.1,72.2,0.01,2/8/2020
UNLV,Fresno St.,68,67,107.9,100.6,67,-0.019,105.1,104.1,64.2,-0.117,2/8/2020
Western Carolina,Furman,73,82,107.3,106.3,71.5,0.049,107.7,98.1,68.2,0.041,2/8/2020
USC Upstate,Gardner Webb,57,88,95.5,110.8,69.2,0.036,102.2,106.7,66.2,-0.047,2/8/2020
Louisiana,Georgia Southern,79,86,101.3,106.2,71.8,0.02,102.2,98.8,71.8,0.005,2/8/2020
Louisiana Monroe,Georgia St.,69,77,96.1,103.7,64.9,-0.056,105.6,101.4,73,-0.035,2/8/2020
Pitt,Georgia Tech,73,64,96.1,103.7,64.9,-0.056,103.1,91.8,70,-0.006,2/8/2020
Cal Baptist,Grand Canyon,98,103,105.3,108.1,68.6,0.029,103.4,112.1,68,0.02,2/8/2020
UIC,Green Bay,71,58,105.3,108.1,68.6,0.029,105.8,110.5,74,0.045,2/8/2020
Charleston Southern,Hampton,85,72,95.4,109.1,66.9,0.033,104.8,116.7,70.9,0.041,2/8/2020
Brown,Harvard,72,71,96.4,101.1,69.4,0.12,104.7,99,68.8,0.039,2/8/2020
Cal Poly,Hawaii,79,75,95.2,108.5,68.3,-0.038,97.6,101,68.4,0.029,2/8/2020
Boston University,Holy Cross,77,68,103.3,102.6,66.3,0.002,95.9,117.3,68.3,-0.042,2/8/2020
Florida A&M,Howard,82,78,94.4,107.3,68.6,0.1,93.6,119.7,70.2,-0.015,2/8/2020
Illinois St.,Indiana St.,74,67,98.4,102.9,68.5,-0.005,105.8,101.2,66.4,0.043,2/8/2020
Denver,Purdue Fort Wayne,63,70,95,106.8,70.9,-0.044,95.4,103.8,67.9,-0.006,2/8/2020
NJIT,Jacksonville,54,65,94.7,105.8,66.9,-0.079,96,102.5,66.6,-0.072,2/8/2020
UT-Martin,Jacksonville St.,61,75,94.7,105.8,66.9,-0.079,95.8,105.5,68.1,-0.078,2/8/2020
Delaware,James Madison,80,78,105.6,106.4,68.3,0.074,99.5,111.6,72.1,-0.016,2/8/2020
Iowa St.,Kansas St.,73,63,109.6,101.2,69.9,-0.092,102.5,94.2,67.2,-0.129,2/8/2020
Abilene Christian,Lamar,84,49,99.1,100.2,68.4,-0.023,96.3,102.5,69.6,0.003,2/8/2020
Lafayette,Lehigh,59,62,100.6,105.5,66.9,0.101,97,108.8,68.4,0.046,2/8/2020
North Alabama,Liberty,56,74,96,105.6,70.1,-0.011,106.1,96.4,61.5,0.023,2/8/2020
Kennesaw St.,Lipscomb,66,72,83.5,112.2,68.2,-0.042,101.2,108,68.7,0.053,2/8/2020
Marshall,Louisiana Tech,83,79,101.2,99.1,74.9,-0.037,108.7,98.2,66.5,-0.023,2/8/2020
Binghamton,Maine,75,82,99.7,116.9,68.6,0.073,92.9,106.8,65.9,-0.03,2/8/2020
UMass-Lowell,UMBC,50,60,99.7,116.9,68.6,0.073,97.8,105.7,66.8,0.011,2/8/2020
Morgan St.,Maryland Eastern Shore,61,53,93.2,107.5,69.6,0.039,81.7,107.8,67.5,-0.024,2/8/2020
LIU,Merrimack,67,64,97.4,106.1,72.8,0.017,93.9,98.8,63.2,0.137,2/8/2020
Ohio,Miami OH,77,46,103.6,103.3,68,-0.01,102,107,67.1,-0.022,2/8/2020
IUPUI,Milwaukee,79,80,99.4,115.6,70.8,-0.068,96,104.9,69.5,-0.015,2/8/2020
Southern Illinois,Missouri St.,68,66,98.2,98.6,64.2,-0.002,104.8,100.2,68.3,-0.083,2/8/2020
Idaho,Montana,71,82,92.8,107.1,68.9,-0.023,103.2,100.1,68.2,0.019,2/8/2020
Eastern Washington,Montana St.,74,49,105.4,101.1,73.1,0.121,97,101.6,67.3,0.056,2/8/2020
Eastern Illinois,Morehead St.,71,65,98.2,104.5,69.1,-0.05,94.6,108.1,67.3,-0.001,2/8/2020
St. Francis NY,Mount St. Mary's,70,67,94.6,106.5,70.3,0.024,96.4,107.5,63.2,-0.074,2/8/2020
Tennessee St.,Murray St.,65,73,96.4,104.6,69.3,0.054,102.4,99.3,68.9,-0.03,2/8/2020
Colgate,Navy,67,60,107.2,102.5,68.5,0.02,98.1,106,62.5,0.018,2/8/2020
South Dakota St.,Nebraska Omaha,81,64,110,105.3,68,-0.022,103.2,107.7,69.2,0.077,2/8/2020
UMKC,New Mexico St.,61,67,97.5,103.6,64.9,0.048,107.6,99.4,63.5,0.06,2/8/2020
Stephen F. Austin,New Orleans,81,74,104.1,97.1,71.8,0.042,99.3,114.8,69.8,-0.044,2/8/2020
Bethune Cookman,North Carolina A&T,78,73,95.4,105.8,73,0.012,92.3,102.4,73.7,0.068,2/8/2020
Coppin St.,North Carolina Central,63,68,89.6,105.3,73.4,0.038,94.2,103.2,66.6,0.065,2/8/2020
Florida Gulf Coast,North Florida,60,69,91.2,103.3,66.1,-0.032,112,111.6,69.4,0.034,2/8/2020
UAB,North Texas,64,71,100.8,102.1,65.7,0.048,111.2,101.2,62.9,-0.032,2/8/2020
Hofstra,Northeastern,75,71,108.7,102.6,67.9,0.064,105.4,103.2,65.9,-0.113,2/8/2020
Weber St.,Northern Arizona,76,70,98.8,107.9,67.6,0.015,102.3,106.7,66.6,0.071,2/8/2020
Houston Baptist,Northwestern St.,79,93,102.9,122.3,76.1,0.002,98.3,107.1,72.4,0.015,2/8/2020
Wright St.,Oakland,83,71,104.9,101.4,72.1,0.033,98.6,105,66.1,-0.014,2/8/2020
North Dakota St.,Oral Roberts,83,76,106.8,101.2,66,0.032,108.2,104.9,70.4,-0.103,2/8/2020
Columbia,Penn,67,76,95.2,106.5,69.1,-0.13,103.4,100.8,70.2,0.025,2/8/2020
Pacific,Pepperdine,79,78,103.8,99.1,64.9,0.072,107.2,104.4,70.8,0.034,2/8/2020
San Diego,Portland,88,81,94.4,99.8,70.2,-0.032,94.4,104.3,69.3,-0.015,2/8/2020
Southern Utah,Portland St.,85,57,98.8,98.1,69.3,-0.063,108.8,108.8,71.8,0,2/8/2020
Campbell,Presbyterian,79,62,96.8,105.3,65.6,-0.047,96.9,114.4,66.9,0.005,2/8/2020
Cornell,Princeton,73,62,101.2,110.3,65.2,-0.105,107,105.5,66.3,-0.025,2/8/2020
Xavier,Providence,64,58,106.1,92.2,68.1,-0.013,107.8,92.8,68.4,-0.008,2/8/2020
Indiana,Purdue,62,74,108.5,92.7,67.9,0.016,109.3,90.8,64.6,-0.104,2/8/2020
High Point,Radford,70,81,94.5,113.6,66.4,0.035,105.6,106.8,64.3,0.026,2/8/2020
George Washington,Rhode Island,51,82,99.2,105.8,66.6,0.02,105.2,94.2,71.2,0.068,2/8/2020
Middle Tennessee,Rice,83,91,97.5,108.2,69.8,0.003,105.8,108.4,70.1,-0.004,2/8/2020
Fordham,Richmond,53,59,89.1,95.9,64.8,-0.1,109.2,95.3,69.3,0.044,2/8/2020
Sacred Heart,Robert Morris,58,61,102.2,104.8,68.7,0.019,100.5,103.8,66.1,0.027,2/8/2020
Idaho St.,Sacramento St.,59,63,100.8,111.1,67.4,0.008,97.1,98.2,63.9,-0.026,2/8/2020
Wagner,St. Francis PA,68,85,97.3,113.9,67.5,-0.024,107.6,107.9,68.9,0.037,2/8/2020
La Salle,St. Joseph's,83,66,99.6,100.4,69.1,0.057,107.6,107.9,68.9,0.037,2/8/2020
Nicholls St.,Sam Houston St.,88,82,99.7,101.5,68.7,0.05,99.5,103.7,71.1,-0.028,2/8/2020
BYU,San Francisco,90,76,116.3,95.6,69.5,-0.028,108.3,98.2,68.7,-0.006,2/8/2020
