team,off,def,tempo,luck
Long Beach St.,94.2,105.3,70.9,0.08
Longwood,91.3,105.1,67.8,-0.001
Louisiana,101.3,106.2,71.8,0.02
Louisiana Monroe,96.1,103.7,64.9,-0.056
Louisiana Tech,108.7,98.2,66.5,-0.023
Louisville,114.5,93.1,67.1,-0.003
Loyola Chicago,103.7,96.8,65.3,0.006
Loyola Marymount,100.6,104,63,-0.022
Loyola MD,100.4,109.1,71,0.018
LSU,118.1,102.4,70,-0.02
Maine,92.9,106.8,65.9,-0.03
Manhattan,92.8,101.6,65.8,-0.011
Marist,90.2,103.8,65.2,-0.105
Marquette,114,96.9,70.7,-0.046
Marshall,101.2,99.1,74.9,-0.037
Maryland,113.5,92.4,67,0.037
Maryland Eastern Shore,81.7,107.8,67.5,-0.024
Massachusetts,102.9,102.5,68.6,0.012
McNeese St.,103,112.3,69,-0.039
Memphis,100.6,89.1,72.6,0.025
Mercer,100.1,102.7,68.1,0.014
Merrimack,93.9,98.8,63.2,0.137
Miami FL,107.7,101.3,68.3,0.034
Miami OH,102,107,67.1,-0.022
Michigan,113.2,93,68.7,-0.048
Michigan St.,115.2,91.2,69.1,-0.012
Middle Tennessee,97.5,108.2,69.8,0.003
Milwaukee,96,104.9,69.5,-0.015
Minnesota,112.1,94.2,66.8,-0.13
Mississippi,103.7,97,68,-0.042
Mississippi St.,113.4,99.8,66.2,-0.001
Mississippi Valley St.,89.8,117.6,77.1,-0.027
Missouri,104.1,96.7,66.5,-0.057
Missouri St.,104.8,100.2,68.3,-0.083
Monmouth,99.1,101.8,72.6,0.061
Montana,103.2,100.1,68.2,0.019
Montana St.,97,101.6,67.3,0.056
Morehead St.,94.6,108.1,67.3,-0.001
Morgan St.,93.2,107.5,69.6,0.039
Mount St. Mary's,96.4,107.5,63.2,-0.074
Murray St.,102.4,99.3,68.9,-0.03
N.C. State,110.7,97.3,69.5,-0.02
Navy,98.1,106,62.5,0.018
Nebraska,102,101.3,73.1,-0.047
Nebraska Omaha,103.2,107.7,69.2,0.077
Nevada,110.3,101,71,-0.007
New Hampshire,95,102.1,68.6,0.011
New Mexico,105.3,102.4,71.8,0.044
New Mexico St.,107.6,99.4,63.5,0.06
New Orleans,99.3,114.8,69.8,-0.044
Niagara,100.1,111.6,66,0.068
Nicholls St.,99.7,101.5,68.7,0.05
NJIT,94.7,105.8,66.9,-0.079
Norfolk St.,94.2,101.9,67.5,-0.052
North Alabama,96,105.6,70.1,-0.011
North Carolina,107.7,98.4,70.4,-0.05
North Carolina A&T,92.3,102.4,73.7,0.068
North Carolina Central,94.2,103.2,66.6,0.065
North Dakota,102.2,107.7,68.9,0.038
North Dakota St.,106.8,101.2,66,0.032
North Florida,112,111.6,69.4,0.034
North Texas,111.2,101.2,62.9,-0.032
Northeastern,105.4,103.2,65.9,-0.113
Northern Arizona,102.3,106.7,66.6,0.071
Northern Colorado,110.2,100.1,65,-0.035
Northern Illinois,99.8,100.8,64.8,0.044
Northern Iowa,112.7,99.3,65.8,0.019
Northern Kentucky,102,99.8,65.7,0.074
Northwestern,104.9,101.3,66.7,-0.087
Northwestern St.,98.3,107.1,72.4,0.015
Notre Dame,110.7,98.6,68.1,-0.021
Oakland,98.6,105,66.1,-0.014
Ohio,103.6,103.3,68,-0.01
Ohio St.,114.3,92,66.2,-0.038
Oklahoma,108.8,93.1,69.6,0.031
Oklahoma St.,107.2,94.5,68.4,0.034
Old Dominion,98.3,98.3,66.4,-0.091
Oral Roberts,108.2,104.9,70.4,-0.103
Oregon,117.1,97.1,65,0.023
Oregon St.,110.9,102,65.6,-0.002
Pacific,103.8,99.1,64.9,0.072
Penn,103.4,100.8,70.2,0.025
Penn St.,110.3,92.4,70.9,0.014
Pepperdine,107.2,104.4,70.8,0.034
Pittsburgh,104,98.3,65.5,0.001
Portland,94.4,104.3,69.3,-0.015
Portland St.,108.8,108.8,71.8,0
Prairie View A&M,96.3,100.5,70.7,-0.001
Presbyterian,96.9,114.4,66.9,0.005
Princeton,107,105.5,66.3,-0.025
Providence,107.8,92.8,68.4,-0.008
Purdue,109.3,90.8,64.6,-0.104
Purdue Fort Wayne,95.4,103.8,67.9,-0.006
Quinnipiac,100.7,108.3,68.9,0.028
Radford,105.6,106.8,64.3,0.026
Rhode Island,105.2,94.2,71.2,0.068
Rice,105.8,108.4,70.1,-0.004
Richmond,109.2,95.3,69.3,0.044
Rider,100.9,102.1,71.1,0.036
Robert Morris,100.5,103.8,66.1,0.027
Rutgers,107.9,90.2,67.4,-0.042
Sacramento St.,97.1,98.2,63.9,-0.026
Sacred Heart,102.2,104.8,68.7,0.019
Saint Joseph's,101.9,110.2,71.2,0.009
Saint Louis,105.8,94.4,67.6,0.026
Saint Mary's,113.7,98.5,63.9,0.055
Saint Peter's,95.4,97.3,68,0.023
Sam Houston St.,99.5,103.7,71.1,-0.028
Samford,98.6,112.6,72.8,0.008
San Diego,94.4,99.8,70.2,-0.032
San Diego St.,115.1,90.6,64.6,-0.008
San Francisco,108.3,98.2,68.7,-0.006
San Jose St.,97.5,107.8,73.3,0.009
Santa Clara,102.6,101.3,71.6,0.049
Seattle,101.2,105.5,69.9,-0.051
Seton Hall,112.3,92.7,69.8,0.006
Siena,107.2,105.1,66.7,-0.001
SIU Edwardsville,92.3,110,69,-0.034
SMU,112.4,103.8,64.8,0.004
South Alabama,104.9,103.9,65.3,0.063
South Carolina,105.4,94.7,73.1,-0.023
South Carolina St.,94.9,113.2,67.4,0.014
South Dakota,108.6,108.9,70,0.011
South Dakota St.,110,105.3,68,-0.022
South Florida,100.2,95.9,64.9,-0.047
Southeast Missouri St.,94,113,67.6,-0.016
Southeastern Louisiana,92,109.6,72.1,-0.008
Southern,97.2,104.8,66.8,0.006
Southern Illinois,98.2,98.6,64.2,-0.002
Southern Miss,94.4,103.8,67.2,-0.01
Southern Utah,98.8,98.1,69.3,-0.063
St. Bonaventure,106.6,102.2,65.7,0.052
St. Francis NY,94.6,106.5,70.3,0.024
St. Francis PA,107.6,107.9,68.9,0.037
St. John's,106.1,95.2,72.9,-0.037
Stanford,104.4,90.3,68.3,-0.08
Stephen F. Austin,104.1,97.1,71.8,0.042
Stetson,98.1,108.3,63.2,0.083
Stony Brook,97.7,99.4,69.8,0.021
Syracuse,112.8,99.6,68.3,-0.06
TCU,105.5,96.1,65.1,-0.005
Temple,100.1,94.6,70.3,-0.052
Tennessee,106.6,95.8,65.2,-0.02
Tennessee Martin,105.1,122.9,68.7,0.045
Tennessee St.,96.4,104.6,69.3,0.054
Tennessee Tech,92.5,109.3,66.9,0.025
Texas,104.1,92.6,65.9,0.089
Texas A&M,101,97.2,64.5,0.098
Texas A&M Corpus Chris,94.3,106,65.7,0.029
Texas Southern,99.1,108.6,72.9,0.086
Texas St.,106.3,98.3,65.2,-0.05
Texas Tech,109.8,90.5,67.3,-0.113
The Citadel,94.9,112.2,73.7,0.02
Toledo,106.3,105.1,68.1,-0.057
Towson,105.7,104.8,65.1,0.014
Troy,96.2,106.6,69.3,-0.027
Tulane,101.9,103.1,68.7,-0.014
Tulsa,103.2,93.6,65.8,0.076
UAB,100.8,102.1,65.7,0.048
UC Davis,104.7,109.4,68,-0.024
UC Irvine,105.4,99.3,67.7,-0.064
UC Riverside,95.8,99.8,63.2,-0.029
UC Santa Barbara,106.1,105.3,64.5,0.022
UCF,103.5,98.6,67.8,0.002
UCLA,109.3,99.4,64.9,0.047
UMass Lowell,104.4,113.6,70.3,-0.036
UMBC,97.8,105.7,66.8,0.011
UMKC,97.5,103.6,64.9,0.048
UNC Asheville,98.7,110.3,71,0.017
UNC Greensboro,103.7,95.5,67.8,-0.009
UNC Wilmington,92.1,104.5,68.5,0.019
UNLV,107.9,100.6,67,-0.019
USC,104.3,92,68.9,0.083
USC Upstate,95.5,110.8,69.2,0.036
UT Arlington,102.3,98.4,67.7,-0.13
UT Rio Grande Valley,98.7,106,70.4,-0.013
Utah,106.3,100.8,66.7,0.029
Utah St.,109.5,94.6,67.4,0.034
Utah Valley,96.5,104.2,70.4,-0.092
UTEP,96.9,98.2,67.5,-0.005
UTSA,104.2,108,72.8,-0.047
Valparaiso,104.5,102.5,69.3,0.02
Vanderbilt,104.7,104.5,69.4,-0.061
VCU,104.7,94.4,69,-0.064
Vermont,106.5,96.4,66.3,-0.027
Villanova,113.9,94,66.2,0.082
Virginia,99.3,85.1,59.4,0.109
Virginia Tech,104.3,98,65.5,-0.04
VMI,100.2,108.1,67.9,-0.143
Wagner,97.3,113.9,67.5,-0.024
Wake Forest,108.7,102,70.1,-0.034
Washington,105.8,93.1,69.8,-0.157
Washington St.,102.2,98,70.8,-0.002
Weber St.,98.8,107.9,67.6,0.015
West Virginia,108.3,87.1,69.4,-0.028
Western Carolina,107.3,106.3,71.5,0.049
Western Illinois,98.3,115,71.3,-0.082
Western Kentucky,108.9,103.3,68.3,0.023
Western Michigan,99.4,105.7,67.4,0.043
Wichita St.,105.6,90.4,69.5,0.041
William & Mary,103.3,105.5,67.5,0.132
Winthrop,104.7,102.1,71.9,-0.044
Wisconsin,110.8,91.9,63.7,0.031
Wofford,104.5,103.4,65.9,-0.019
Wright St.,104.9,101.4,72.1,0.033
Wyoming,94.1,100.9,66.7,-0.017
Xavier,106.1,92.2,68.1,-0.013
Yale,107.9,96.4,67.4,-0.026
Youngstown St.,103,108.5,66.4,0.038
