teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Arizona,P12,114.1,96.7,68.0,16.8,18.3,50.5,49.2,17.2,18.0,34.3,24.4,37.2,34.1,1.2,78.7,0,0
UCLA,P12,114.1,96.8,64.7,18.6,18.1,52.0,50.7,16.7,17.6,30.8,24.2,36.7,35.1,1.4,77.3,0,0
VCU,A10,106.2,88.8,69.8,16.0,18.0,50.9,45.8,20.6,23.7,28.5,31.4,32.9,30.5,1.22,77.3,0,0
Indiana,B10,110.0,92.8,66.2,18.1,17.5,48.5,48.8,17.2,17.6,25.5,27.4,32.4,33.4,1.36,77.2,0,0
Saint Louis,A10,111.6,94.7,67.8,16.9,17.9,51.8,48.0,17.7,19.7,36.4,22.0,35.2,33.3,1.91,76.3,0,0
Mississippi,SEC,107.1,90.3,65.1,18.2,17.1,48.8,48.6,20.4,22.7,34.8,27.3,29.9,35.7,1.95,77.1,0,0
Kentucky,SEC,108.9,92.2,68.4,17.1,17.2,47.1,46.7,19.8,17.9,32.6,30.5,33.6,31.2,1.0,79.0,0,0
Virginia Tech,ACC,110.7,94.1,66.2,18.2,18.0,52.5,48.3,17.3,17.6,28.4,24.3,35.7,33.0,1.55,76.4,0,0
Missouri,SEC,110.9,94.4,68.7,16.8,17.0,50.9,48.5,18.9,18.3,28.6,29.2,32.0,32.8,2.47,77.6,0,0
Seton Hall,BE,111.1,94.8,66.8,17.3,18.0,50.0,49.4,18.9,19.2,29.6,29.8,32.1,36.6,2.38,79.2,0,0
Drake,MVC,114.6,98.6,66.8,18.0,18.2,54.5,48.4,15.2,18.8,31.6,24.9,36.6,30.8,2.0,76.1,0,0
Louisville,ACC,108.5,93.0,66.0,17.9,18.3,47.8,48.4,17.2,16.6,32.0,26.2,30.8,30.5,1.02,77.4,0,0
Georgetown,BE,108.4,92.9,69.6,16.8,17.0,49.6,48.0,21.7,16.2,32.4,27.3,36.6,32.6,2.09,78.1,0,0
Michigan St.,B10,107.7,92.2,68.6,17.3,17.4,47.9,47.8,18.9,15.4,30.4,26.0,32.0,31.5,1.72,78.0,0,0
Davidson,A10,114.9,99.5,62.9,19.4,18.4,55.5,49.3,17.3,16.2,28.3,22.2,36.0,33.4,1.76,78.4,0,0
Minnesota,B10,109.4,94.0,70.3,16.7,17.0,45.0,49.7,15.6,19.0,29.2,31.4,28.4,35.2,1.8,77.9,0,0
SMU,Amer,110.2,95.0,69.0,16.1,17.6,51.4,46.3,20.1,20.2,30.5,29.1,33.9,34.1,2.19,77.2,0,0
Boise St.,MWC,109.8,94.8,69.4,16.4,17.7,52.1,48.7,16.5,20.2,27.3,23.8,34.4,32.6,2.07,78.3,0,0
Xavier,BE,111.4,96.7,68.2,16.8,17.6,52.1,47.6,16.0,16.4,26.8,27.3,32.5,33.8,1.77,77.2,0,0
Toledo,MAC,115.6,101.0,69.1,16.7,17.1,54.3,48.3,15.5,17.6,29.6,30.7,37.7,29.5,1.8,76.8,0,0
Colorado St.,MWC,108.6,94.2,69.5,16.8,17.6,54.9,47.5,20.0,19.8,24.7,26.0,36.0,29.9,1.21,75.8,0,0
Auburn,SEC,112.0,97.6,71.3,16.5,16.3,51.2,49.6,22.0,18.5,35.0,31.8,32.6,32.7,0.78,78.7,0,0
Richmond,A10,111.4,97.1,68.9,16.5,17.7,53.0,52.4,15.0,21.4,19.5,27.9,34.3,32.2,2.44,76.2,0,0
Wright St.,Horz,109.3,95.1,71.4,16.3,16.9,54.4,45.1,18.1,16.7,34.2,25.0,37.0,30.6,1.34,77.4,0,0
St. John's,BE,111.9,97.8,73.6,15.0,17.3,50.4,52.6,16.8,21.9,29.2,30.3,34.5,34.2,1.5,77.0,0,0
Buffalo,MAC,108.0,94.2,73.6,15.1,17.1,51.1,46.2,18.4,17.6,37.4,26.8,34.0,28.3,2.2,77.1,0,0
UC Santa Barbara,BW,109.9,96.3,66.1,17.9,18.0,53.0,47.7,16.5,20.8,28.2,24.5,34.8,33.4,2.35,77.3,0,0
