home,away,line,draft_kings,diff,score
Georgetown,Villanova,-15.0,-11.5,3.5,-13
Charleston,South Carolina St.,23.0,19.5,3.5,27
West Virginia,North Texas,15.0,12.0,3.0,12
Iowa,Iowa St.,11.0,13.5,2.5,28
Canisius,Marist,6.0,3.5,2.5,9
North Dakota,South Dakota St.,-13.0,-10.5,2.5,-12
Creighton,Nebraska,15.0,13.0,2.0,24
Fairfield,Iona,-2.0,-4.0,2.0,-28
Davidson,Georgia Southern,15.0,13.5,1.5,32
UCLA,Marquette,3.0,4.5,1.5,9
Delaware,George Washington,2.0,1.0,1.0,3
Grand Canyon,Nevada,-2.0,-1.0,1.0,10
North Dakota St.,South Dakota,5.0,4.0,1.0,7
Kansas St.,Milwaukee,11.0,10.5,0.5,1
Southern Illinois,Murray St.,-7.0,-6.5,0.5,4
Charlotte,Appalachian St.,3.0,3.5,0.5,-4
