home,away,line,draft_kings,diff,score
Bryant,Wagner,6.0,11.5,5.5,12
Purdue,Ohio St.,-1.0,4.0,5.0,7
Arizona St.,UTEP,18.0,13.5,4.5,-13
Tulane,Memphis,-14.0,-10.5,3.5,-6
Cal Poly,San Diego,-8.0,-6.0,2.0,-9
Oklahoma,Oral Roberts,18.0,16.0,2.0,14
Denver,Northern Colorado,-5.0,-7.0,2.0,-8
Oregon St.,UTSA,6.0,8.0,2.0,12
Notre Dame,Duke,-6.0,-4.0,2.0,-10
Belmont,Kennesaw St.,26.0,24.5,1.5,11
Georgia St.,Mercer,6.0,4.5,1.5,7
Mississippi St.,Central Arkansas,15.0,16.5,1.5,16
Marshall,Toledo,5.0,6.5,1.5,-9
Oklahoma St.,TCU,4.0,5.0,1.0,-1
Jacksonville St.,Tennessee Tech,6.0,7.0,1.0,24
Cincinnati,South Florida,7.0,8.0,1.0,-3
Hampton,William & Mary,-5.0,-4.0,1.0,-17
Texas,Sam Houston St.,29.0,28.0,1.0,16
Washington,Montana,8.0,7.5,0.5,-8
Elon,Campbell,4.0,4.5,0.5,10
Villanova,Butler,13.0,12.5,0.5,19
Troy,Samford,-1.0,-1.0,0.0,8
Vanderbilt,Richmond,-7.0,-7.0,0.0,-11
Syracuse,Northeastern,18.0,18.0,0.0,6
SMU,East Carolina,12.0,12.0,0.0,15
