home,away,line,draft_kings,diff,score
Oakland,Wright St.,-11.0,-6.5,4.5,-39
Kennesaw St.,Jacksonville,-6.0,-1.5,4.5,-5
Georgia Southern,South Alabama,-1.0,3.5,4.5,-29
Louisiana Monroe,Arkansas St.,-1.0,2.5,3.5,12
Louisiana Tech,Marshall,-2.0,1.0,3.0,7
Lipscomb,Liberty,-9.0,-7.0,2.0,7
Southern Miss,UTEP,-7.0,-5.0,2.0,8
FIU,Old Dominion,-3.0,-1.5,1.5,15
Coastal Carolina,Georgia St.,-5.0,-3.5,1.5,12
Rice,UTSA,-4.0,-2.5,1.5,9
Louisiana,Texas St.,1.0,2.5,1.5,6
Charlotte,Western Kentucky,-8.0,-6.5,1.5,-4
Youngstown St.,Green Bay,7.0,7.5,0.5,7
Akron,Kent St.,3.0,3.5,0.5,4
Marist,Niagara,-1.0,-1.5,0.5,2
Appalachian St.,Troy,8.0,7.5,0.5,-13
Robert Morris,Milwaukee,2.0,2.5,0.5,3
IUPUI,Cleveland St.,-3.0,-3.0,0.0,-3
