home,away,line,draft_kings,diff,score
Arkansas,Oral Roberts,16.0,19.0,3.0,11
Drake,Chicago St.,29.0,31.5,2.5,44
Purdue Fort Wayne,Cleveland St.,2.0,-0.5,2.5,-9
Georgia Tech,Delaware St.,29.0,31.5,2.5,28
Manhattan,Marist,-3.0,-1.0,2.0,-5
Detroit,Wright St.,-8.0,-6.0,2.0,-13
Tennessee Martin,Western Illinois,6.0,4.0,2.0,-18
St. John's,Georgetown,2.0,4.0,2.0,11
Hartford,Maine,11.0,9.0,2.0,15
Xavier,Marquette,1.0,2.5,1.5,3
Portland St.,Weber St.,-3.0,-4.5,1.5,2
Northern Kentucky,Youngstown St.,2.0,3.5,1.5,-10
Iowa St.,Jackson St.,21.0,19.5,1.5,15
Texas,Oklahoma St.,8.0,6.5,1.5,3
Albany,UMBC,-5.0,-4.0,1.0,-5
Binghamton,Stony Brook,-6.0,-5.0,1.0,-10
Nevada,Air Force,12.0,11.0,1.0,-2
Northwestern,Michigan St.,-6.0,-7.0,1.0,14
Houston,Alcorn St.,34.0,34.5,0.5,33
Minnesota,Saint Louis,-2.0,-2.5,0.5,8
Connecticut,Creighton,-3.0,-3.5,0.5,-2
Green Bay,Milwaukee,1.0,1.0,0.0,-12
Marshall,Robert Morris,15.0,15.0,0.0,14
