home,away,line,draft_kings,diff,score
Indiana,Maryland,1.0,4.5,3.5,8
Holy Cross,Boston University,-12.0,-9.5,2.5,-7
Fresno St.,Wyoming,0.0,2.5,2.5,20
Gardner Webb,Campbell,4.0,5.5,1.5,-9
Coppin St.,Delaware St.,8.0,9.5,1.5,8
Radford,Hampton,5.0,6.0,1.0,13
Montana,Northern Colorado,6.0,5.0,1.0,2
Drake,Southern Illinois,12.0,11.0,1.0,31
Charleston Southern,Winthrop,-13.0,-14.0,1.0,-16
San Diego St.,Colorado St.,8.0,7.5,0.5,13
Alabama St.,Jackson St.,-5.0,-5.5,0.5,-16
Oregon St.,Stanford,-7.0,-6.5,0.5,-10
Oklahoma St.,West Virginia,-2.0,-2.0,0.0,-3
USC Upstate,Longwood,3.0,3.0,0.0,2
