home,away,line,draft_kings,diff,score
California,Washington St.,2.0,-2.5,4.5,-11
Belmont,Southeast Missouri St.,18.0,15.5,2.5,11
Southern Utah,Idaho,16.0,13.5,2.5,5
Stanford,Washington,12.0,9.5,2.5,16
Morehead St.,Tennessee Tech,6.0,3.5,2.5,3
Northwestern,Illinois,-5.0,-7.0,2.0,-25
Northern Arizona,Idaho St.,0.0,2.0,2.0,-4
Wisconsin,Indiana,7.0,8.5,1.5,7
Colorado,Oregon,1.0,2.5,1.5,7
SMU,Cincinnati,7.0,5.5,1.5,-7
Northern Colorado,Montana St.,2.0,3.5,1.5,-12
Eastern Illinois,Murray St.,-2.0,-3.5,1.5,6
Maryland,Iowa,-5.0,-6.0,1.0,-22
Colorado St.,UNLV,7.0,8.0,1.0,3
Arizona,USC,2.0,2.5,0.5,-14
Gonzaga,BYU,18.0,17.5,0.5,17
San Francisco,Portland,18.0,17.5,0.5,24
Eastern Kentucky,Jacksonville St.,4.0,3.5,0.5,3
Merrimack,Sacred Heart,4.0,4.0,0.0,7
Hofstra,Northeastern,4.0,4.0,0.0,-3
Arizona St.,UCLA,-2.0,-2.0,0.0,-6
San Diego St.,Nevada,13.0,13.0,0.0,5
