home,away,line,draft_kings,diff,score
Nebraska,Indiana,-10.0,-6.5,3.5,-8
Fairfield,Siena,-13.0,-9.5,3.5,-7
Binghamton,Vermont,-15.0,-12.0,3.0,-40
Evansville,Illinois St.,3.0,5.5,2.5,-5
Norfolk St.,Morgan St.,5.0,3.0,2.0,4
Lafayette,Bucknell,8.0,6.5,1.5,11
Xavier,Providence,2.0,3.5,1.5,1
Iowa,Minnesota,9.0,10.5,1.5,15
Charleston,Drexel,-3.0,-2.0,1.0,5
Navy,Lehigh,9.0,8.0,1.0,15
Northern Iowa,Bradley,1.0,2.0,1.0,6
UMass Lowell,Hartford,4.0,3.5,0.5,-17
Army,Holy Cross,12.0,11.5,0.5,-9
Illinois,Maryland,9.0,9.5,0.5,-3
Longwood,Campbell,-2.0,-1.5,0.5,9
Valparaiso,Missouri St.,-4.0,-3.5,0.5,-10
Boston University,Colgate,-4.0,-3.5,0.5,-44
Wichita St.,Cincinnati,2.0,2.5,0.5,6
Loyola Marymount,San Francisco,-4.0,-3.5,0.5,8
Florida A&M,South Carolina St.,17.0,16.5,0.5,2
New Hampshire,UMBC,-3.0,-3.0,0.0,-2
Charleston Southern,Radford,-3.0,-3.0,0.0,-20
Virginia Tech,Notre Dame,7.0,7.0,0.0,14
