home,away,line,draft_kings,diff,score
Howard,Hampton,8.0,1.5,6.5,5
Tennessee St.,Belmont,-12.0,-7.0,5.0,-25
Utah,Idaho,26.0,22.5,3.5,38
Loyola Chicago,Richmond,1.0,-2.5,3.5,-2
Washington St.,Montana St.,3.0,6.5,3.5,28
West Virginia,Iowa St.,12.0,15.5,3.5,5
Gardner Webb,VMI,2.0,4.5,2.5,11
Rhode Island,Davidson,2.0,4.5,2.5,-9
Northern Illinois,Chicago St.,16.0,17.5,1.5,10
Tennessee,Tennessee Tech,30.0,28.5,1.5,54
Tulsa,Northwestern St.,14.0,15.5,1.5,27
Nevada,Air Force,11.0,12.5,1.5,17
Norfolk St.,UNC Wilmington,0.0,1.5,1.5,-8
Niagara,Fairfield,6.0,4.5,1.5,17
Presbyterian,South Carolina St.,10.0,9.0,1.0,6
South Dakota,Drake,-5.0,-6.0,1.0,-18
Western Michigan,Central Michigan,-0.0,-0.5,0.5,15
Georgia Tech,Florida A&M,20.0,19.5,0.5,10
Southern Illinois,North Dakota,8.0,8.5,0.5,12
San Diego St.,BYU,8.0,7.5,0.5,-10
Charleston,Western Carolina,2.0,2.5,0.5,-6
Portland St.,Weber St.,2.0,2.0,0.0,-28
