home,away,line,draft_kings,diff,score
Wofford,UNC Greensboro,3.0,-0.5,3.5,-9
Southeastern Louisiana,Sam Houston St.,-2.0,-5.0,3.0,-18
LSU,Georgia,12.0,9.0,3.0,2
Tennessee,Arkansas,6.0,8.5,2.5,5
Houston Baptist,Abilene Christian,-14.0,-16.0,2.0,-3
Chattanooga,Samford,8.0,6.0,2.0,5
Michigan,Minnesota,6.0,7.5,1.5,25
Louisville,Virginia Tech,3.0,4.5,1.5,2
Duke,Boston College,14.0,12.5,1.5,1
Boise St.,Air Force,17.0,18.5,1.5,19
Richmond,Rhode Island,5.0,4.0,1.0,7
Baylor,Oklahoma,13.0,12.0,1.0,15
Virginia,Wake Forest,15.0,14.0,1.0,9
New Mexico,Utah St.,-12.0,-13.0,1.0,-32
South Carolina,Texas A&M,4.0,3.5,0.5,24
South Florida,Tulsa,-1.0,-0.5,0.5,-10
Nicholls St.,Lamar,8.0,7.5,0.5,7
Central Arkansas,New Orleans,8.0,7.5,0.5,4
Northwestern St.,Incarnate Word,8.0,7.5,0.5,-8
Butler,Georgetown,5.0,4.5,0.5,8
Houston,Wichita St.,12.0,11.5,0.5,7
George Mason,VCU,-6.0,-6.5,0.5,-5
