home,away,line,draft_kings,diff,score
BYU,Utah,-5.0,2.0,7.0,18
Eastern Illinois,Western Illinois,18.0,12.5,5.5,4
Auburn,Memphis,-1.0,-6.5,5.5,3
IUPUI,Tennessee St.,7.0,2.0,5.0,3
Ball St.,Illinois St.,9.0,5.0,4.0,16
Miami FL,Florida Gulf Coast,22.0,18.5,3.5,-4
North Dakota,North Dakota St.,-2.0,-5.5,3.5,-1
Arkansas,Central Arkansas,20.0,23.5,3.5,25
Drexel,La Salle,6.0,3.0,3.0,-10
Southern Miss,South Alabama,-7.0,-4.0,3.0,-1
Georgia,Samford,15.0,18.0,3.0,4
VCU,Old Dominion,4.0,7.0,3.0,23
Washington,Oregon,-11.0,-8.0,3.0,-3
Oklahoma,Florida A&M,29.0,26.5,2.5,31
Wichita St.,Oklahoma St.,-6.0,-3.5,2.5,-3
Canisius,Marist,7.0,4.5,2.5,-4
Western Michigan,Detroit,-1.0,1.0,2.0,-10
Alabama,Clemson,-0.0,2.0,2.0,-8
Arizona,UTEP,19.0,17.0,2.0,8
Kentucky,Notre Dame,6.0,7.5,1.5,-1
Louisiana,Louisiana Tech,-3.0,-4.5,1.5,5
Fairfield,Iona,-8.0,-6.5,1.5,15
UNC Asheville,High Point,6.0,4.5,1.5,13
Lipscomb,Belmont,-5.0,-6.5,1.5,-10
North Carolina,North Carolina Central,27.0,25.5,1.5,6
Cal St. Bakersfield,Idaho,13.0,11.5,1.5,10
Boston College,Syracuse,-4.0,-3.0,1.0,-38
Texas A&M,TCU,0.0,-1.0,1.0,-18
Missouri,Illinois,-2.0,-3.0,1.0,3
North Carolina A&T,Western Carolina,-8.0,-7.0,1.0,-6
South Florida,Wofford,3.0,4.0,1.0,2
Central Michigan,Valparaiso,-2.0,-3.0,1.0,5
South Dakota,South Dakota St.,-12.0,-11.5,0.5,13
Louisiana Monroe,Stephen F. Austin,-5.0,-5.5,0.5,11
Bryant,Stony Brook,6.0,5.5,0.5,9
Purdue,Indiana St.,14.0,14.5,0.5,12
USC Upstate,Winthrop,-10.0,-10.5,0.5,-18
Florida St.,Florida,1.0,1.5,0.5,12
Dayton,Mississippi St.,4.0,4.0,0.0,3
Tennessee,Cincinnati,7.0,7.0,0.0,9
Denver,Dixie St.,3.0,3.0,0.0,-3
Utah Valley,Wyoming,-7.0,-7.0,0.0,-5
