home,away,line,draft_kings,diff,score
Southern Illinois,Evansville,12.0,8.0,4.0,6
Vanderbilt,Alcorn St.,19.0,22.0,3.0,28
Loyola Chicago,Illinois St.,18.0,15.0,3.0,30
Northern Iowa,Missouri St.,8.0,6.0,2.0,-20
Detroit,Oakland,5.0,3.0,2.0,-3
Providence,DePaul,5.0,6.5,1.5,5
Indiana St.,Drake,-4.0,-2.5,1.5,-18
Purdue Fort Wayne,Robert Morris,0.0,-1.5,1.5,5
Wright St.,Green Bay,16.0,17.0,1.0,13
UMBC,Binghamton,15.0,14.5,0.5,7
New Hampshire,Hartford,4.0,3.5,0.5,8
Cleveland St.,Youngstown St.,1.0,1.0,0.0,7
