home,away,line,draft_kings,diff,score
Liberty,Kennesaw St.,22,17.5,4.5,29
South Dakota St.,Western Illinois,20,16.0,4.0,29
Houston,Tulane,22,18.0,4.0,21
Green Bay,Oakland,2,-1.5,3.5,9
Vanderbilt,Mississippi St.,-7,-3.5,3.5,-3
Stanford,Washington St.,11,7.5,3.5,15
Cal St. Fullerton,Long Beach St.,-2,1.5,3.5,3
Quinnipiac,Manhattan,6,2.5,3.5,-3
Tarleton St.,Grand Canyon,-11,-8.0,3.0,-11
TCU,Baylor,-15,-12.0,3.0,-18
Appalachian St.,Georgia Southern,5,2.0,3.0,6
Fairfield,Siena,-12,-9.0,3.0,-16
Arizona,UCLA,0,3.0,3.0,-5
Utah,Oregon,-5,-2.0,3.0,-6
Binghamton,Vermont,-14,-11.0,3.0,-16
UNC Greensboro,Wofford,2,5.0,3.0,-3
Charleston,Drexel,-3,-0.5,2.5,1
Bucknell,Lafayette,0,2.5,2.5,-23
Evansville,Illinois St.,2,4.5,2.5,9
Northeastern,Hofstra,1,-1.5,2.5,11
Portland,Gonzaga,-30,-32.5,2.5,-28
Wright St.,Youngstown St.,8,10.5,2.5,38
West Virginia,Texas,-1,1.5,2.5,-2
VCU,Rhode Island,4,6.0,2.0,-15
Kent St.,Western Michigan,9,11.0,2.0,26
Jacksonville,North Florida,0,2.0,2.0,-2
UMKC,South Dakota,-3,-1.0,2.0,-6
Northern Colorado,Montana St.,0,2.0,2.0,-2
East Carolina,South Florida,-1,1.0,2.0,-6
Eastern Michigan,Akron,-4,-6.0,2.0,12
Western Kentucky,Louisiana Tech,5,7.0,2.0,-5
Bellarmine,Lipscomb,-1,1.0,2.0,-7
Buffalo,Ball St.,5,6.5,1.5,17
Central Arkansas,Sam Houston St.,3,1.5,1.5,-11
Colorado St.,UNLV,6,7.5,1.5,3
Norfolk St.,Morgan St.,6,4.5,1.5,-4
Arizona St.,USC,-3,-1.5,1.5,-9
New Orleans,Incarnate Word,5,3.5,1.5,22
Lehigh,Navy,-5,-3.5,1.5,-8
Southern Utah,Idaho,15,13.5,1.5,16
California,Washington,1,2.5,1.5,6
Eastern Kentucky,Tennessee Tech,11,10.0,1.0,10
UTEP,Rice,7,8.0,1.0,-3
Miami OH,Northern Illinois,8,7.0,1.0,12
Kansas,Oklahoma,6,7.0,1.0,4
Duquesne,Fordham,13,14.0,1.0,3
Oral Roberts,North Dakota,10,9.0,1.0,17
Cal St. Bakersfield,Cal Poly,14,13.0,1.0,17
UMass Lowell,Hartford,3,2.0,1.0,9
Auburn,Alabama,-4,-5.0,1.0,-4
Lamar,Houston Baptist,6,7.0,1.0,6
Arkansas Pine Bluff,Alabama St.,6,5.0,1.0,9
Kansas St.,Oklahoma St.,-9,-8.0,1.0,-16
Eastern Illinois,Austin Peay,2,1.0,1.0,-3
Morehead St.,Jacksonville St.,-1,-2.0,1.0,1
Holy Cross,Army,-7,-6.0,1.0,-15
Iowa St.,Texas Tech,-7,-7.5,0.5,-27
North Alabama,Stetson,-1,-0.5,0.5,7
Texas A&M,Tennessee,-11,-10.5,0.5,-14
Duke,Wake Forest,14,14.5,0.5,11
George Mason,Richmond,-7,-6.5,0.5,-20
Florida,Kentucky,5,4.5,0.5,-18
New Hampshire,UMBC,0,-0.5,0.5,-15
William & Mary,Delaware,1,1.5,0.5,5
UTSA,North Texas,-6,-6.5,0.5,8
Old Dominion,Florida Atlantic,8,7.5,0.5,9
San Diego St.,Nevada,12,11.5,0.5,2
Syracuse,Georgetown,11,10.5,0.5,5
Boston University,Colgate,-4,-3.5,0.5,-7
Valparaiso,Missouri St.,-2,-2.5,0.5,-13
Arkansas,Georgia,8,8.5,0.5,30
Boston College,Virginia,-9,-8.5,0.5,-12
Northern Arizona,Idaho St.,-1,-1.5,0.5,-6
UC Riverside,Hawaii,5,5.0,0.0,2
Longwood,Campbell,-2,-2.0,0.0,-6
Charleston Southern,Radford,-1,-1.0,0.0,-15
Milwaukee,IUPUI,7,7.0,0.0,8
Nicholls St.,Southeastern Louisiana,10,10.0,0.0,20
Coastal Carolina,South Alabama,5,5.0,0.0,14
Saint Mary's,Santa Clara,9,9.0,0.0,-2
Cleveland St.,Northern Kentucky,4,4.0,0.0,3
McNeese St.,Northwestern St.,1,1.0,0.0,-3
The Citadel,Chattanooga,-7,-7.0,0.0,5
