home,away,line,draft_kings,diff,score
Gonzaga,Northern Arizona,37.0,40.5,3.5,30
Arizona,Colorado,-1.0,2.5,3.5,14
Cal St. Northridge,New Mexico St.,-12.0,-8.5,3.5,3
Southern Illinois,Evansville,12.0,9.0,3.0,-12
Loyola Chicago,Illinois St.,20.0,17.0,3.0,31
Minnesota,Michigan St.,-0.0,-2.5,2.5,25
Colorado St.,Fresno St.,6.0,8.5,2.5,22
Indiana St.,Drake,-6.0,-4.0,2.0,-7
UMBC,Binghamton,14.0,12.5,1.5,-6
Wisconsin,Maryland,9.0,9.5,0.5,-6
Northern Iowa,Missouri St.,4.0,3.5,0.5,10
New Hampshire,Hartford,4.0,4.0,0.0,2
