home,away,line,draft_kings,diff,score
Tulsa,Houston,-11.0,-7.5,3.5,1
USC,Santa Clara,13.0,10.0,3.0,23
Memphis,South Florida,6.0,9.0,3.0,1
Lamar,Southeastern Louisiana,2.0,5.0,3.0,10
Baylor,Central Arkansas,32.0,34.0,2.0,37
Mercer,Wofford,0.0,2.0,2.0,-13
Gonzaga,Dixie St.,36.0,37.5,1.5,45
Eastern Michigan,Central Michigan,6.0,4.5,1.5,-27
LSU,Texas A&M,8.0,6.5,1.5,23
West Virginia,Northeastern,19.0,18.0,1.0,22
Iowa,Northwestern,10.0,10.5,0.5,15
Texas Tech,Incarnate Word,34.0,34.5,0.5,28
Clemson,Florida St.,2.0,1.5,0.5,10
