home,away,line,draft_kings,diff,score
Gonzaga,Northwestern St.,35.0,39.0,4.0,17
Albany,Niagara,-3.0,1.0,4.0,-5
Eastern Kentucky,High Point,3.0,6.5,3.5,19
Virginia,William & Mary,26.0,22.5,3.5,36
Liberty,Alcorn St.,22.0,25.0,3.0,43
Tennessee St.,Chattanooga,-8.0,-5.0,3.0,-3
Kennesaw St.,Mercer,-17.0,-14.5,2.5,-10
Toledo,Northern Illinois,18.0,15.5,2.5,23
Wagner,Sacred Heart,8.0,5.5,2.5,-1
East Carolina,Tulane,8.0,5.5,2.5,10
Houston,Temple,19.0,16.5,2.5,26
Pittsburgh,Louisville,-5.0,-3.0,2.0,-10
The Citadel,Presbyterian,6.0,4.0,2.0,12
TCU,North Dakota St.,14.0,12.0,2.0,7
Wisconsin,Nebraska,19.0,17.0,2.0,14
UMass Lowell,Vermont,-7.0,-9.0,2.0,-9
Maryland,La Salle,17.0,15.0,2.0,13
UTSA,Lamar,10.0,8.0,2.0,22
California,Seattle,14.0,12.5,1.5,5
Indiana St.,Southeast Missouri St.,15.0,13.5,1.5,6
San Diego St.,Saint Mary's,4.0,2.5,1.5,25
Oregon St.,Portland St.,16.0,14.5,1.5,5
Davidson,Vanderbilt,9.0,7.5,1.5,20
Georgia,Northeastern,8.0,9.5,1.5,18
Arizona,Montana,15.0,13.5,1.5,6
Louisiana Monroe,Louisiana Tech,-10.0,-11.5,1.5,-11
South Florida,Wichita St.,1.0,2.5,1.5,-5
George Washington,Charlotte,-3.0,-1.5,1.5,-1
Missouri,Bradley,12.0,10.5,1.5,1
UCF,Cincinnati,-1.0,-2.5,1.5,5
Iowa,Purdue,6.0,7.0,1.0,15
Northern Colorado,Idaho St.,9.0,10.0,1.0,5
Richmond,Hofstra,13.0,14.0,1.0,-5
Drake,North Dakota,14.0,15.0,1.0,33
Charleston Southern,Hampton,5.0,6.0,1.0,-2
Western Kentucky,Tennessee Tech,23.0,22.0,1.0,20
Boston College,Maine,24.0,23.0,1.0,16
Oklahoma,Texas Tech,-2.0,-2.5,0.5,-2
Arkansas,Abilene Christian,13.0,13.5,0.5,13
Auburn,Appalachian St.,14.0,14.5,0.5,14
Kansas,West Virginia,1.0,1.5,0.5,14
Grand Canyon,Colorado,-12.0,-12.5,0.5,-10
Denver,Northern Arizona,3.0,3.5,0.5,-3
Florida Gulf Coast,Georgia Southern,-0.0,-0.5,0.5,13
VCU,James Madison,20.0,20.5,0.5,1
Western Michigan,Ball St.,-5.0,-5.0,0.0,-8
North Carolina A&T,UNC Greensboro,-12.0,-12.0,0.0,-21
Portland,Montana St.,-3.0,-3.0,0.0,3
Akron,Ohio,-2.0,-2.0,0.0,20
