home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Villanova,Creighton,72,60,12,2021-03-03,BE,120.2,96.6,65.5,18.4,17.2,53.5,52.7,13.7,19.4,28.8,25.1,36.1,35.9,1.91,77.9,3,0,BE,116.8,94.0,69.3,16.0,18.0,56.6,46.8,15.9,18.4,24.2,28.9,36.7,32.8,2.24,77.0,4,0
Seton Hall,Connecticut,58,69,-11,2021-03-03,BE,112.4,95.8,67.4,17.1,18.1,51.0,49.7,18.8,19.4,29.2,29.6,32.5,36.6,2.37,79.2,3,0,BE,112.2,92.5,65.8,18.9,17.4,49.3,46.5,18.1,19.6,36.6,29.8,33.8,31.2,1.84,77.9,4,1
Oregon,UCLA,82,74,8,2021-03-03,P12,112.8,95.5,67.5,17.3,17.7,52.8,48.9,17.0,20.5,29.2,26.9,36.4,33.1,2.26,77.6,4,1,P12,113.6,96.8,64.8,18.5,18.1,51.7,50.0,16.4,17.7,30.6,23.9,37.0,34.8,1.44,77.3,4,0
Syracuse,Clemson,64,54,10,2021-03-03,ACC,112.4,97.8,69.9,15.8,17.7,50.2,48.7,16.2,21.3,30.0,33.6,33.1,31.4,1.57,78.0,3,1,ACC,106.7,89.4,65.3,17.9,18.4,49.6,48.1,19.6,22.1,26.7,26.4,33.1,33.0,1.79,76.9,5,1
Northwestern,Maryland,60,55,5,2021-03-03,B10,106.2,93.8,69.3,16.2,18.1,50.6,50.0,17.0,17.2,19.4,26.3,34.4,32.8,1.51,77.9,1,1,B10,112.5,92.3,65.5,18.3,18.3,52.7,48.5,16.4,16.7,21.5,24.5,35.1,34.1,1.88,78.3,5,1
Penn St.,Minnesota,84,65,19,2021-03-03,B10,111.9,94.9,69.9,16.6,17.9,47.8,53.7,16.5,20.5,31.3,26.4,33.8,34.2,2.23,76.1,1,0,B10,111.5,96.2,70.2,16.7,17.0,45.9,50.0,15.5,19.3,29.4,32.0,28.9,35.0,1.84,77.9,0,0
Florida,Missouri,70,72,-2,2021-03-03,SEC,112.5,92.4,69.4,16.2,17.1,52.8,47.1,20.2,21.1,31.3,31.3,35.9,30.6,1.55,77.4,3,1,SEC,111.6,95.5,69.1,16.7,17.1,51.3,47.5,18.8,17.7,28.5,29.6,31.6,32.1,2.46,77.6,1,0
St. John's,Providence,81,67,14,2021-03-03,BE,111.7,99.2,74.1,14.9,17.2,50.7,53.4,17.0,22.4,29.0,30.4,34.9,35.1,1.48,77.0,2,0,BE,109.7,96.9,66.7,18.2,17.4,48.9,48.9,17.1,16.8,29.9,29.7,33.3,30.4,1.87,78.1,3,1
Notre Dame,N.C. State,69,80,-11,2021-03-03,ACC,115.5,102.2,67.3,17.5,18.4,55.0,50.4,15.3,12.5,20.3,28.5,37.1,36.6,2.21,78.6,2,0,ACC,109.7,97.3,68.5,16.9,18.0,52.8,51.1,18.9,22.6,29.6,32.1,35.9,34.8,1.64,77.1,4,1
USC,Stanford,79,42,37,2021-03-03,P12,112.8,91.3,67.9,17.3,18.1,51.5,45.3,18.3,17.4,36.9,27.7,34.5,33.7,1.72,79.4,2,0,P12,106.0,93.2,69.8,16.8,17.6,52.6,47.3,21.1,20.3,25.7,28.4,32.6,32.9,1.35,78.8,2,0
