home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Oklahoma,Kansas,75,68,7,2021-01-23,B12,112.7,93.6,68.8,16.7,17.7,51.4,48.5,14.6,20.5,29.6,28.2,34.4,36.8,2.11,77.1,3,1,B12,113.5,91.1,68.2,16.4,17.6,50.4,48.7,18.6,18.9,34.9,26.5,35.8,33.9,1.44,78.2,2,0
Wisconsin,Ohio St.,62,74,-12,2021-01-23,B10,113.8,88.9,64.5,18.4,17.9,51.7,45.3,12.5,17.9,23.4,23.4,39.0,32.6,2.34,78.1,4,1,B10,117.8,96.4,66.3,18.2,17.4,51.9,47.9,15.2,16.1,31.9,26.8,34.6,33.2,1.97,77.5,3,0
Louisville,Duke,70,65,5,2021-01-23,ACC,111.4,94.3,66.3,17.4,18.6,52.0,47.5,18.5,17.7,30.1,26.5,32.3,32.3,0.99,77.5,3,0,ACC,112.4,94.0,69.2,16.2,17.0,51.1,52.6,19.0,20.5,33.4,24.1,33.3,37.3,0.86,76.9,3,0
Stanford,UCLA,73,72,1,2021-01-23,P12,106.6,90.9,71.4,16.2,16.8,50.1,45.8,21.7,20.5,29.1,29.2,31.1,33.0,1.33,78.8,3,0,P12,115.5,96.6,64.8,18.5,17.8,52.5,49.5,16.5,18.0,33.7,23.9,38.6,31.9,1.54,77.5,5,1
Syracuse,Virginia Tech,78,60,18,2021-01-23,ACC,112.0,95.6,69.5,15.4,17.2,51.5,46.2,16.4,21.3,29.4,31.7,32.2,28.7,1.51,77.9,2,1,ACC,111.1,93.4,66.8,17.7,18.0,53.2,48.1,18.0,18.6,30.5,24.7,34.9,32.9,1.64,76.3,4,1
Kentucky,LSU,82,69,13,2021-01-23,SEC,105.7,91.6,66.8,17.2,17.7,45.9,46.2,22.0,18.1,35.7,32.1,28.4,31.3,0.93,79.0,2,0,SEC,117.6,99.5,70.7,16.0,16.5,54.8,49.3,18.2,21.0,34.0,31.2,35.2,30.5,1.07,77.5,4,0
Creighton,Connecticut,74,66,8,2021-01-23,BE,115.2,93.1,70.3,15.8,17.7,57.1,46.0,15.6,18.0,24.2,28.8,36.7,33.3,2.21,77.0,3,0,BE,110.7,92.1,64.6,18.9,17.2,49.1,46.5,19.2,22.5,39.2,31.1,35.7,30.4,1.97,77.9,4,0
Oklahoma St.,Baylor,66,81,-15,2021-01-23,B12,110.3,92.5,71.2,15.8,17.6,51.5,47.0,19.2,19.7,31.6,30.0,32.5,32.6,1.12,77.6,3,1,B12,119.9,87.2,69.4,16.0,17.5,58.6,46.4,17.9,26.7,38.4,29.1,42.6,31.7,1.95,76.7,5,1
Tennessee,Missouri,64,73,-9,2021-01-23,SEC,110.3,87.4,66.1,17.3,17.7,50.4,45.7,15.5,25.1,32.9,26.0,33.2,30.4,1.62,77.6,3,0,SEC,109.1,92.0,69.1,16.7,17.3,51.0,44.0,20.5,17.4,30.1,30.3,27.9,27.4,2.5,77.6,3,1
Minnesota,Maryland,49,63,-14,2021-01-23,B10,112.6,92.7,71.3,16.1,16.7,47.4,47.1,14.8,18.7,29.1,31.5,29.9,32.1,1.89,78.0,2,1,B10,112.7,97.7,66.7,17.6,18.6,53.4,51.5,16.2,16.1,23.9,25.8,35.6,36.9,1.83,78.4,2,0
Florida St.,Clemson,80,61,19,2021-01-23,ACC,114.9,93.6,69.5,17.1,17.2,54.3,47.9,19.3,20.7,34.4,30.8,38.6,35.2,1.98,79.6,4,1,ACC,107.4,91.5,66.2,17.5,18.5,50.2,49.8,19.7,24.6,28.2,27.2,33.9,36.0,1.76,76.9,3,0
South Carolina,Auburn,86,109,-23,2021-01-23,SEC,107.0,94.8,73.3,16.0,17.3,48.3,50.9,21.5,22.7,36.2,26.1,30.4,31.6,1.63,77.5,2,0,SEC,108.6,96.3,71.1,16.4,16.3,52.8,48.7,23.3,20.6,34.2,30.4,32.6,29.9,0.77,78.7,2,0
North Carolina,N.C. State,86,76,10,2021-01-23,ACC,109.1,91.8,71.2,15.8,17.6,46.4,49.7,21.0,19.8,40.9,24.9,30.7,35.8,1.09,78.8,4,1,ACC,109.7,96.7,69.4,16.5,17.6,53.4,51.8,17.6,24.7,29.4,31.1,36.6,35.5,1.72,77.0,2,0
Georgia,Florida,84,92,-8,2021-01-23,SEC,105.9,97.7,74.5,15.2,16.6,50.7,50.6,21.9,22.8,35.0,31.1,32.1,31.1,1.93,76.0,2,1,SEC,111.9,92.4,71.0,16.0,17.3,52.6,46.7,19.6,21.9,31.5,30.9,37.0,34.8,1.5,77.3,2,1
UCF,SMU,65,78,-13,2021-01-23,Amer,103.6,96.0,66.9,17.5,18.0,46.5,48.8,21.1,20.5,28.0,33.4,33.3,32.3,1.46,77.7,1,0,Amer,110.8,96.3,70.4,15.5,17.3,53.1,45.7,18.3,20.1,31.0,27.4,35.9,33.2,2.11,77.4,3,1
Penn St.,Northwestern,81,78,3,2021-01-23,B10,112.2,96.2,69.2,16.5,17.7,49.6,52.2,16.5,20.1,34.2,28.6,35.5,30.3,2.2,76.0,1,1,B10,108.1,96.5,69.6,15.7,18.1,51.8,50.8,14.3,15.7,19.0,25.0,35.8,34.2,1.51,77.8,0,0
VCU,Dayton,66,43,23,2021-01-23,A10,104.1,92.0,71.6,15.5,17.1,52.4,45.7,21.3,25.5,28.1,31.8,34.6,31.4,1.28,77.2,3,0,A10,108.7,97.4,65.2,18.9,18.2,57.7,48.1,22.4,19.3,23.1,29.8,38.1,32.0,2.04,77.8,4,1
Duquesne,St. Bonaventure,61,65,-4,2021-01-23,A10,102.2,96.6,67.9,17.3,18.1,46.8,46.6,20.2,19.4,29.8,31.4,29.8,27.4,1.84,76.2,2,1,A10,108.8,94.1,66.7,17.5,18.0,47.6,45.6,17.2,21.8,34.3,28.3,30.7,28.5,1.93,77.2,5,1
San Francisco,Saint Mary's,63,67,-4,2021-01-23,WCC,106.9,95.6,68.8,17.6,16.3,52.9,46.0,18.2,20.3,25.8,25.1,36.1,28.3,2.06,77.8,3,1,WCC,103.8,93.9,63.4,20.1,16.1,49.5,46.8,16.8,18.3,28.3,20.5,32.6,34.3,1.54,77.6,2,1
Wake Forest,Pittsburgh,76,75,1,2021-01-23,ACC,104.4,99.7,69.6,18.4,16.2,51.7,53.1,21.2,21.8,27.5,25.2,33.7,32.3,1.79,77.4,0,0,ACC,106.2,92.8,71.0,16.5,16.5,48.8,44.3,19.0,18.9,35.6,26.9,31.2,26.1,1.17,77.7,4,1
Villanova,Providence,71,56,15,2021-01-23,BE,120.1,93.9,64.1,18.3,17.4,55.9,53.8,11.8,19.1,26.6,21.0,37.8,36.6,1.88,77.9,5,1,BE,111.5,97.4,66.5,18.0,17.4,50.4,50.4,16.7,17.6,31.2,29.9,32.5,32.1,1.88,78.0,2,1
Virginia,Georgia Tech,64,62,2,2021-01-23,ACC,115.3,90.3,59.2,19.7,19.2,58.6,47.6,13.3,16.4,23.9,22.1,38.5,33.1,1.86,77.8,5,1,ACC,110.8,97.4,66.3,17.8,16.4,55.1,52.3,16.4,22.6,25.8,27.7,36.9,37.5,2.55,76.1,5,1
East Tennessee St.,Furman,71,62,9,2021-01-23,SC,99.5,98.1,67.6,17.4,16.9,49.0,47.7,22.8,21.3,30.1,27.4,31.9,33.7,1.89,77.0,4,1,SC,110.6,101.1,69.0,15.9,16.9,58.1,51.9,18.2,22.2,28.6,31.1,36.5,34.5,1.93,76.5,4,0
Vanderbilt,Arkansas,71,92,-21,2021-01-23,SEC,104.9,102.3,69.7,17.7,16.8,50.7,51.4,19.3,17.7,31.1,25.1,34.2,32.5,1.31,77.1,1,0,SEC,109.9,93.8,73.7,15.4,15.9,51.0,47.2,17.1,19.9,33.9,24.6,33.9,31.6,1.56,77.9,2,1
Toledo,Kent St.,76,74,2,2021-01-23,MAC,114.0,101.9,67.9,17.4,17.2,53.3,48.3,16.4,18.7,32.9,31.1,39.3,28.6,1.73,76.7,4,1,MAC,106.6,101.1,72.0,17.2,16.4,54.1,47.5,19.9,17.7,36.3,28.5,35.3,33.3,2.26,77.2,4,1
Marquette,DePaul,61,68,-7,2021-01-23,BE,111.6,97.0,67.4,18.0,17.0,51.9,47.1,20.4,15.7,33.6,28.7,36.6,35.5,1.71,78.1,3,1,BE,103.0,96.3,72.6,15.4,17.9,49.7,48.7,23.2,21.8,31.7,30.7,34.1,29.7,1.86,76.8,1,0
Alabama,Mississippi St.,81,73,8,2021-01-23,SEC,114.7,90.5,74.5,14.3,17.4,52.2,45.5,17.9,21.0,32.2,30.1,35.9,29.8,1.9,77.9,5,1,SEC,108.7,98.6,65.5,18.4,17.8,50.8,48.0,19.8,17.9,37.5,25.3,37.2,35.2,1.3,78.9,3,0
UTEP,Louisiana Tech,55,73,-18,2021-01-23,CUSA,102.6,102.8,67.9,17.3,18.2,48.1,51.2,14.7,19.1,25.1,28.2,33.8,35.8,1.94,77.8,2,1,CUSA,102.4,97.1,69.7,16.5,16.5,49.4,46.1,17.7,18.1,27.3,24.0,34.0,30.5,2.12,76.2,3,0
California,USC,68,76,-8,2021-01-23,P12,103.3,101.0,66.1,18.5,17.2,52.2,53.4,19.6,18.9,20.9,25.2,34.6,40.3,2.02,77.3,2,0,P12,111.3,91.2,68.6,17.1,17.8,52.4,43.4,18.0,17.5,35.1,27.5,33.2,32.2,1.75,79.6,4,0
Ohio,Ball St.,85,77,8,2021-01-23,MAC,108.8,105.1,69.2,17.0,17.0,56.0,53.5,16.8,20.6,26.6,28.7,38.2,35.3,1.47,76.9,3,0,MAC,103.1,101.1,70.3,16.9,16.9,50.8,48.4,18.7,19.1,26.6,30.8,33.8,31.0,1.97,76.9,2,0
Washington St.,Colorado,59,70,-11,2021-01-23,P12,98.3,95.5,69.0,17.4,16.7,47.8,43.7,21.0,17.7,28.3,27.8,33.7,28.5,1.14,78.6,1,0,P12,114.4,92.8,67.7,16.9,18.4,51.6,47.3,15.8,20.4,32.3,24.8,34.9,32.3,2.3,77.3,4,0
Mississippi,Texas A&M,61,50,11,2021-01-23,SEC,106.1,91.3,66.9,17.3,16.9,49.3,47.4,19.5,24.7,33.7,25.8,29.6,36.1,1.98,77.2,2,1,SEC,101.4,95.6,65.1,17.8,18.2,48.7,52.3,24.6,24.6,32.6,30.7,29.8,34.0,1.59,77.4,2,0
Chattanooga,UNC Greensboro,66,74,-8,2021-01-23,SC,101.7,104.2,68.1,17.6,16.3,50.9,53.2,16.4,19.5,21.6,24.1,36.4,34.1,1.88,77.2,3,1,SC,101.9,97.1,69.2,16.6,16.5,47.0,46.4,18.0,21.6,35.2,26.8,28.0,30.4,1.74,77.3,4,1
UC Riverside,Cal St. Bakersfield,70,63,7,2021-01-23,BW,98.8,96.4,66.0,19.5,16.7,53.2,41.7,19.4,15.8,29.0,23.4,37.6,28.2,2.01,78.7,3,0,BW,99.5,96.9,64.8,19.4,16.5,44.3,46.9,19.7,21.8,39.9,25.7,30.9,30.4,2.71,77.0,5,1
Appalachian St.,Georgia St.,74,61,13,2021-01-23,SB,102.1,105.1,66.3,18.3,17.8,51.2,53.1,19.5,20.3,25.9,29.6,35.1,35.0,1.79,76.5,4,1,SB,105.5,100.5,70.7,15.2,17.8,51.4,48.6,17.0,21.0,29.5,34.8,33.5,34.2,1.61,76.4,3,0
Saint Joseph's,George Mason,62,71,-9,2021-01-23,A10,102.8,105.6,74.0,16.0,16.6,49.5,54.1,20.5,18.8,22.1,34.3,30.2,37.9,1.18,78.0,1,0,A10,100.1,98.7,67.6,17.4,17.4,48.2,49.8,19.4,19.7,30.9,24.7,30.8,35.7,1.64,76.0,2,1
Loyola Marymount,Santa Clara,69,72,-3,2021-01-23,WCC,100.8,96.4,69.1,17.2,17.0,49.0,47.7,24.6,19.2,31.3,22.2,29.8,35.0,1.76,78.1,3,0,WCC,96.7,95.3,70.7,15.4,18.1,44.0,43.9,19.0,17.0,24.0,23.4,28.1,30.7,1.98,79.1,2,0
UT Arlington,Little Rock,66,61,5,2021-01-23,SB,100.0,103.7,71.8,15.8,16.6,45.7,53.1,16.4,19.9,24.5,29.1,34.3,38.5,1.65,76.7,3,0,SB,104.6,104.0,67.9,17.2,16.9,53.8,50.7,22.6,21.0,30.7,29.8,34.4,34.0,1.93,77.9,2,1
Northern Colorado,Eastern Washington,76,82,-6,2021-01-23,BSky,98.6,103.1,68.3,18.4,17.3,50.2,48.4,20.6,17.3,22.8,24.5,37.5,27.7,1.8,76.6,3,1,BSky,104.4,102.0,72.0,15.3,17.7,50.6,49.4,16.5,15.8,19.5,27.7,33.0,33.5,1.82,77.2,2,0
Temple,Houston,51,68,-17,2021-01-23,Amer,100.7,98.1,68.8,17.4,17.3,44.9,46.6,19.8,15.6,28.4,27.7,34.1,35.3,1.65,77.5,2,1,Amer,114.1,88.4,66.5,19.3,16.4,47.9,41.9,18.1,24.2,42.1,26.9,33.2,26.2,1.76,77.0,5,1
Siena,Saint Peter's,47,40,7,2021-01-23,MAAC,104.0,102.1,67.6,19.3,15.9,54.3,47.2,17.6,15.9,27.2,26.8,38.6,35.6,1.8,76.5,4,0,MAAC,97.5,97.7,67.3,17.3,16.5,48.1,46.2,21.2,21.8,29.7,31.4,35.3,36.3,1.27,76.1,3,1
Southern Utah,Weber St.,77,72,5,2021-01-23,BSky,104.0,107.9,70.9,16.9,16.4,50.1,55.4,16.2,17.6,29.9,20.4,32.0,38.4,2.38,76.9,3,0,BSky,99.5,103.0,71.8,15.5,16.8,55.7,47.2,19.7,18.2,22.6,27.6,37.1,32.1,2.06,77.5,4,1
Kansas St.,West Virginia,47,69,-22,2021-01-23,B12,102.1,102.4,65.1,18.4,17.9,49.2,55.0,21.6,19.3,31.9,28.3,31.5,36.6,1.08,76.8,0,0,B12,113.4,91.9,68.5,17.4,16.5,46.8,48.2,16.7,20.0,38.3,30.8,34.3,29.1,1.83,77.5,2,0
BYU,Pepperdine,65,54,11,2021-01-23,WCC,110.1,94.5,68.8,16.8,16.5,53.5,46.5,20.1,17.4,29.7,24.4,33.7,33.0,2.03,78.0,4,1,WCC,105.3,101.9,71.2,15.7,17.5,50.7,51.0,19.3,18.7,22.6,30.1,32.1,29.8,1.91,76.7,2,1
Florida Atlantic,Charlotte,71,74,-3,2021-01-23,CUSA,100.1,102.1,67.4,16.9,18.1,50.6,52.4,19.7,19.8,33.2,23.6,34.5,38.6,1.66,76.9,3,1,CUSA,98.2,99.4,63.2,18.9,18.2,50.8,48.8,21.0,20.5,22.1,24.1,33.8,31.0,1.79,77.5,2,0
Eastern Michigan,Miami OH,63,85,-22,2021-01-23,MAC,98.7,104.7,68.0,17.3,16.6,46.1,61.7,18.8,19.8,29.5,31.7,26.4,39.8,2.28,76.3,2,0,MAC,103.3,104.9,65.9,18.5,16.7,50.1,51.8,15.6,20.1,26.7,30.6,37.8,33.8,1.96,75.2,3,1
Oakland,Detroit,72,82,-10,2021-01-23,Horz,102.9,109.6,70.6,16.9,16.5,46.6,56.1,18.4,19.3,28.6,35.3,32.2,37.4,1.42,75.8,3,1,Horz,103.0,107.6,68.3,17.4,16.7,50.4,54.9,17.5,19.1,27.2,30.2,36.1,39.1,2.48,77.6,2,0
