home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Indiana,Minnesota,82,72,10,2021-02-17,B10,111.1,92.3,65.8,18.1,17.4,49.9,48.4,17.2,17.6,25.3,26.0,34.5,34.1,1.35,77.3,2,0,B10,112.3,95.2,69.5,16.6,17.1,46.5,48.3,15.1,18.7,29.5,32.1,29.4,32.9,1.88,78.0,2,0
Boise St.,Utah St.,79,70,9,2021-02-17,MWC,109.5,95.6,68.7,16.2,17.8,52.9,48.1,16.0,20.8,28.9,21.8,35.2,32.1,2.07,78.3,3,1,MWC,106.2,90.3,69.3,16.7,17.5,50.8,45.4,20.1,21.1,35.2,20.7,35.1,33.3,1.49,78.2,3,1
VCU,Richmond,68,56,12,2021-02-17,A10,106.7,90.9,69.8,15.8,17.7,51.2,46.0,20.9,25.1,30.3,31.4,34.3,30.6,1.26,77.3,5,1,A10,113.4,98.1,68.9,16.3,17.7,54.6,53.0,15.1,22.3,20.8,28.4,34.9,33.2,2.46,76.2,4,1
Pittsburgh,N.C. State,73,74,-1,2021-02-17,ACC,108.4,97.1,69.1,17.0,17.3,48.8,49.2,18.0,18.3,34.2,26.5,32.8,31.5,1.25,77.6,1,0,ACC,108.6,98.1,68.3,16.7,17.7,52.6,52.4,19.3,22.8,30.0,30.7,35.6,36.1,1.72,76.9,1,0
Wake Forest,Duke,60,84,-24,2021-02-17,ACC,105.8,99.1,67.8,18.6,16.4,51.4,52.3,20.3,18.9,27.6,24.8,36.7,36.3,1.71,77.5,2,0,ACC,115.0,97.2,69.0,17.0,16.9,53.0,53.0,19.0,20.0,32.5,26.5,35.0,38.3,0.86,77.1,2,1
Vanderbilt,Kentucky,78,82,-4,2021-02-17,SEC,108.3,101.9,68.5,17.8,16.3,51.7,53.4,20.0,19.7,30.3,26.1,35.3,35.3,1.43,77.1,2,1,SEC,106.8,92.4,67.6,17.2,17.1,46.6,46.5,20.7,17.0,33.3,30.3,32.7,31.6,0.95,78.9,1,1
Butler,Marquette,57,73,-16,2021-02-17,BE,103.1,96.7,64.6,19.4,17.4,48.1,53.3,17.3,19.5,25.4,23.3,34.0,37.1,1.78,76.5,2,0,BE,107.9,98.5,66.9,18.3,17.0,50.7,48.3,20.8,15.7,30.4,28.4,33.5,36.5,1.76,78.1,1,0
UCF,South Florida,81,65,16,2021-02-17,Amer,105.1,97.8,66.3,17.9,17.5,48.6,50.4,22.2,20.5,29.7,33.0,35.2,32.7,1.55,77.7,2,0,Amer,102.5,97.1,66.6,18.0,17.1,46.9,49.4,22.4,18.8,35.2,25.0,33.9,29.3,1.9,78.3,2,0
Tennessee,South Carolina,93,73,20,2021-02-17,SEC,109.1,87.4,66.9,17.4,17.3,50.3,45.8,17.2,23.1,30.9,26.8,34.2,29.9,1.54,77.5,3,0,SEC,106.5,96.3,74.2,15.5,16.7,48.1,51.0,21.0,22.9,35.1,32.1,31.2,34.2,1.65,77.5,1,0
VMI,UNC Greensboro,88,77,11,2021-02-17,SC,107.2,107.5,70.2,16.4,16.9,54.1,50.6,17.9,14.3,22.8,25.8,38.2,34.3,1.58,76.4,3,1,SC,101.7,95.3,68.3,16.7,16.9,47.9,47.1,16.9,21.7,32.8,26.4,29.2,30.5,1.72,77.2,4,1
USC,Arizona St.,89,71,18,2021-02-17,P12,112.9,89.4,67.6,17.2,18.0,51.9,43.6,18.3,17.6,36.5,27.4,33.4,30.4,1.72,79.5,5,1,P12,108.0,98.9,73.0,15.8,17.0,49.3,51.5,15.3,22.0,21.1,30.8,31.9,35.1,1.82,76.6,3,1
Northern Iowa,Drake,69,77,-8,2021-02-17,MVC,103.6,104.2,69.0,17.2,17.7,49.9,53.3,19.7,16.0,25.9,21.6,33.7,36.0,1.35,76.8,2,1,MVC,110.8,95.7,67.2,17.6,17.8,53.9,46.5,16.1,20.2,33.1,23.8,35.9,29.6,2.04,76.2,3,1
East Tennessee St.,Mercer,64,71,-7,2021-02-17,SC,102.7,97.8,65.4,17.9,17.5,50.2,50.0,20.4,20.4,31.3,26.4,34.8,33.5,1.94,77.2,2,0,SC,107.2,106.3,68.8,16.9,16.9,54.8,50.8,18.0,17.3,26.8,28.2,36.8,32.2,1.94,77.2,2,0
Maryland,Nebraska,79,71,8,2021-02-17,B10,110.5,92.4,65.5,18.1,18.4,52.2,48.9,17.1,16.6,21.9,24.5,34.5,34.2,1.84,78.4,3,1,B10,100.1,94.3,71.4,15.1,17.9,45.8,48.8,19.1,19.4,24.8,28.8,30.8,31.2,1.97,78.2,1,0
Seton Hall,DePaul,60,52,8,2021-02-17,BE,114.0,96.0,67.2,17.1,18.0,51.9,49.7,18.8,18.3,28.5,28.4,33.5,36.3,2.37,79.2,3,1,BE,99.8,95.0,70.6,15.8,18.1,46.0,47.9,21.6,20.7,32.3,29.6,31.7,30.0,1.89,76.9,1,0
Southern Illinois,Missouri St.,53,68,-15,2021-02-17,MVC,99.5,104.1,66.9,18.1,17.7,52.1,53.7,18.6,19.6,17.8,25.3,37.3,36.2,0.97,76.2,2,1,MVC,107.8,99.5,68.8,17.5,17.3,53.8,47.5,18.4,15.4,23.5,23.0,34.2,33.1,1.65,77.5,5,1
Radford,Gardner Webb,57,69,-12,2021-02-17,BSth,99.4,101.6,63.9,19.6,17.1,51.0,48.6,23.3,18.1,34.1,24.0,29.9,36.7,1.2,75.5,3,0,BSth,103.5,107.1,67.6,16.8,17.8,51.8,49.2,17.9,18.1,25.9,28.1,35.9,34.1,1.14,75.9,2,0
Quinnipiac,Iona,74,70,4,2021-02-17,MAAC,91.7,102.5,71.2,16.5,17.1,47.3,43.0,20.7,15.7,20.8,29.2,33.3,29.0,1.16,77.5,2,0,MAAC,101.0,105.9,67.1,17.5,17.4,51.2,48.0,21.8,20.8,33.6,29.0,34.1,31.9,1.72,76.1,4,0
