home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Indiana,Rutgers,70,74,-4,2021-01-24,B10,110.9,91.1,66.9,17.7,17.4,51.6,47.7,16.8,18.5,23.3,26.4,33.3,33.1,1.36,77.2,3,1,B10,109.3,93.0,69.3,16.8,17.4,51.2,49.0,15.0,18.3,28.9,28.2,35.3,31.8,1.91,77.9,0,0
Massachusetts,Davidson,60,69,-9,2021-01-24,A10,107.2,100.2,73.4,16.2,15.8,49.3,52.0,16.0,21.6,25.6,23.8,32.6,37.0,1.01,76.8,3,1,A10,113.0,100.3,64.3,19.1,18.2,55.8,49.9,17.6,15.3,30.1,18.7,36.2,32.2,1.76,78.4,4,1
Miami FL,Notre Dame,59,73,-14,2021-01-24,ACC,104.2,95.6,69.0,17.8,16.4,47.9,49.4,20.4,18.5,29.3,24.9,26.9,36.1,1.45,78.4,2,0,ACC,112.6,103.3,67.4,18.1,18.2,53.2,52.4,15.7,12.6,20.6,28.8,37.4,38.0,2.16,78.7,1,1
Bradley,Loyola Chicago,56,69,-13,2021-01-24,MVC,102.8,97.2,67.0,16.7,18.9,50.1,47.3,19.2,18.0,30.7,26.9,32.7,37.9,1.62,77.4,3,0,MVC,110.5,91.3,65.6,17.9,18.0,57.6,46.9,17.3,21.9,25.3,21.3,37.0,33.8,2.19,76.2,4,1
Washington,Utah,83,79,4,2021-01-24,P12,103.7,100.8,70.8,16.6,17.7,46.7,49.3,19.1,16.4,25.5,38.4,30.9,33.0,1.93,78.0,1,1,P12,107.8,95.9,67.5,17.7,17.7,50.0,48.1,17.3,21.5,25.7,29.8,31.1,33.1,1.39,77.4,2,1
East Carolina,Memphis,53,80,-27,2021-01-24,Amer,100.5,97.2,68.1,17.5,17.4,47.9,45.6,19.8,20.9,27.0,25.9,34.5,28.8,1.99,77.8,2,0,Amer,102.4,89.2,71.9,15.8,17.1,47.5,43.9,21.3,22.1,33.9,23.3,32.4,28.0,1.1,77.8,3,1
Wyoming,Nevada,93,88,5,2021-01-24,MWC,104.8,107.6,70.2,16.8,17.4,53.8,51.1,15.2,18.4,23.5,29.1,37.4,30.9,1.08,77.9,2,1,MWC,103.6,98.3,70.7,16.9,17.4,49.5,46.8,19.7,18.2,26.2,23.9,33.3,32.6,1.03,78.2,2,0
Navy,Army,78,87,-9,2021-01-24,Pat,102.9,103.2,66.0,18.6,17.0,50.2,53.5,17.2,21.4,31.2,24.4,33.3,33.6,1.66,75.9,5,1,Pat,97.8,100.5,68.6,16.9,16.7,53.3,51.8,18.9,20.8,23.1,24.0,33.5,34.1,1.98,75.2,3,0
Illinois St.,Valparaiso,66,70,-4,2021-01-24,MVC,97.5,104.7,70.7,16.1,18.3,51.1,52.4,19.0,17.1,22.2,26.1,37.9,33.1,1.07,77.2,2,0,MVC,97.1,101.6,68.3,17.1,17.3,45.5,51.0,18.4,18.7,20.0,26.6,27.1,34.0,1.43,76.8,1,1
UNC Asheville,Radford,76,68,8,2021-01-24,BSth,101.4,107.5,70.0,16.8,16.8,54.9,50.2,20.4,19.3,27.2,29.1,34.3,33.0,1.77,76.9,4,0,BSth,98.1,103.4,64.9,19.6,17.3,50.7,48.8,23.9,18.2,34.6,22.8,29.6,35.9,1.19,75.5,5,1
