home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Ohio St.,Iowa,57,73,-16,2021-02-28,B10,124.1,97.4,67.3,18.1,17.3,53.6,48.8,15.3,15.9,29.9,26.7,36.6,34.1,1.99,77.5,3,0,B10,125.5,97.0,69.8,16.2,17.5,55.0,48.3,13.6,16.0,32.2,30.4,40.1,35.1,1.7,78.0,4,0
Maryland,Michigan St.,73,55,18,2021-02-28,B10,111.7,92.5,65.5,18.2,18.3,52.6,48.8,16.6,16.8,21.8,24.2,34.7,34.4,1.88,78.3,4,1,B10,108.2,93.4,69.1,17.0,17.2,49.1,47.9,19.2,15.5,30.8,26.5,33.3,31.4,1.71,78.0,3,1
Cincinnati,Memphis,74,80,-6,2021-02-28,Amer,105.0,96.7,71.2,16.8,16.9,48.3,49.3,20.5,18.6,29.1,23.9,29.7,33.0,1.55,77.3,4,1,Amer,102.8,86.9,72.1,16.0,17.0,50.3,43.5,22.6,23.0,33.8,24.4,35.4,26.6,1.12,77.8,4,1
N.C. State,Pittsburgh,65,62,3,2021-02-28,ACC,110.1,97.6,68.4,16.9,17.9,53.1,51.8,19.1,22.6,30.0,31.2,36.2,34.9,1.66,77.1,3,1,ACC,108.4,97.8,69.2,17.2,17.3,48.6,49.8,17.8,18.3,34.3,27.1,32.4,31.6,1.28,77.6,1,0
Utah St.,Nevada,87,66,21,2021-02-28,MWC,107.3,92.0,69.6,16.8,17.4,51.0,46.7,20.1,20.3,35.1,20.8,35.1,34.5,1.49,78.2,3,1,MWC,107.1,98.3,69.7,16.7,17.5,51.1,48.0,18.1,18.3,24.1,23.6,34.9,33.9,1.02,78.2,4,0
Butler,Villanova,73,61,12,2021-02-28,BE,101.0,95.5,64.9,19.4,17.4,47.0,52.3,17.7,19.5,25.9,24.1,32.5,34.5,1.75,76.6,2,1,BE,120.9,95.9,65.1,18.4,17.1,54.4,52.3,13.8,19.5,28.7,24.8,37.7,35.5,1.9,77.9,4,1
South Dakota,North Dakota St.,77,89,-12,2021-02-28,Sum,105.8,105.5,69.2,17.4,16.7,52.2,49.5,15.4,15.6,22.4,23.2,37.8,35.8,1.64,76.5,2,1,Sum,101.5,100.5,64.4,19.2,16.7,50.5,49.3,19.2,13.9,27.3,19.9,33.3,33.2,1.46,78.1,2,0
New Hampshire,UMass Lowell,64,72,-8,2021-02-28,AE,96.6,104.8,67.1,18.5,17.0,45.7,48.9,17.1,17.8,27.4,22.0,32.1,33.6,1.49,77.0,0,0,AE,99.7,105.9,69.6,17.2,17.4,51.1,49.0,21.4,17.1,27.9,26.6,34.5,31.8,1.44,77.5,0,0
Hartford,Albany,83,77,6,2021-02-28,AE,96.1,100.9,66.8,18.5,17.4,49.5,47.7,19.3,20.7,25.4,29.4,32.1,29.3,1.93,76.1,0,0,AE,97.0,102.8,69.8,17.3,17.6,49.9,50.8,17.9,21.3,22.7,27.9,33.8,34.2,2.31,77.1,0,0
American,Bucknell,81,68,13,2021-02-28,Pat,96.6,104.3,67.5,18.1,17.3,50.4,47.7,23.0,18.5,25.7,31.9,36.8,28.8,1.63,77.6,2,1,Pat,97.0,104.9,72.4,15.2,17.4,51.2,46.1,17.9,16.4,19.2,28.5,33.7,32.8,1.51,77.8,4,0
Marist,Quinnipiac,76,67,9,2021-02-28,MAAC,92.0,101.1,66.0,18.4,17.4,49.3,46.8,22.0,18.7,22.8,25.5,30.9,31.7,1.4,75.9,3,1,MAAC,92.1,100.5,71.9,16.6,16.8,49.0,43.5,19.8,16.1,20.5,28.0,34.1,29.8,1.16,77.5,3,1
Lehigh,Lafayette,70,71,-1,2021-02-28,Pat,94.4,109.6,70.5,16.9,16.6,47.5,52.6,18.6,16.8,24.5,25.3,30.2,35.8,1.33,77.5,1,0,Pat,103.7,110.4,68.0,17.1,17.2,50.0,50.5,15.4,16.1,25.6,28.5,35.3,31.1,1.89,77.7,3,1
Navy,Loyola MD,66,58,8,2021-02-28,Pat,104.2,102.3,66.5,18.3,16.8,49.6,51.8,17.6,22.0,31.6,23.3,32.9,33.0,1.65,76.0,4,1,Pat,96.0,101.1,70.6,17.4,17.0,49.7,48.0,19.3,20.1,30.1,25.1,28.5,34.6,1.76,77.2,3,0
Army,Boston University,57,55,2,2021-02-28,Pat,97.9,101.1,69.1,16.6,16.9,51.9,52.3,18.9,19.5,23.1,24.4,33.7,35.9,1.98,75.1,1,0,Pat,102.1,110.7,66.5,17.9,17.2,50.0,55.2,18.8,15.1,30.7,25.7,31.9,38.0,1.94,77.4,2,1
UTEP,Charlotte,77,62,15,2021-02-28,CUSA,102.2,100.2,67.8,17.3,18.0,47.3,49.8,16.1,18.9,23.8,25.4,32.8,34.2,1.88,77.7,3,1,CUSA,97.7,103.5,62.4,19.0,18.4,50.4,50.2,21.2,19.4,21.7,25.0,32.8,30.9,1.87,77.5,0,0
Houston,South Florida,98,52,46,2021-02-28,Amer,116.8,88.1,65.8,18.9,17.0,49.7,42.4,17.0,22.5,39.6,27.6,34.7,27.6,1.81,77.1,4,1,Amer,101.8,98.8,66.8,18.1,17.3,45.5,50.6,21.2,18.9,35.2,25.9,33.6,32.3,1.88,78.3,1,0
Delaware St.,Coppin St.,74,94,-20,2021-02-28,MEAC,90.4,114.6,73.9,15.5,15.7,45.8,54.5,22.5,18.6,25.7,32.9,31.9,34.6,1.65,75.7,2,0,MEAC,90.5,102.5,77.6,14.0,16.1,48.0,48.4,19.8,20.8,18.4,32.3,30.5,31.0,1.77,77.2,2,1
Oral Roberts,Western Illinois,95,59,36,2021-02-28,Sum,109.2,110.0,71.2,16.0,17.1,53.0,52.1,15.9,18.0,24.4,32.8,39.0,37.1,1.57,76.7,3,1,Sum,98.8,110.1,71.6,16.8,15.9,46.9,53.7,17.4,16.1,28.0,23.5,33.3,39.2,2.11,77.3,4,0
South Carolina St.,Florida A&M,58,63,-5,2021-02-28,MEAC,88.0,112.3,72.6,16.4,16.4,44.8,55.5,24.2,22.5,26.4,34.4,31.5,36.2,1.01,76.6,1,1,MEAC,91.0,101.1,68.4,16.4,17.1,47.6,48.2,23.8,21.4,31.4,33.0,30.9,27.8,2.1,76.7,3,0
Idaho,Montana St.,61,71,-10,2021-02-28,BSky,89.1,114.1,67.3,17.7,17.6,48.0,54.5,23.9,17.1,21.9,29.6,33.7,38.4,1.82,76.2,1,1,BSky,99.3,104.9,68.5,17.0,17.6,49.8,50.4,17.5,18.8,22.7,27.3,32.8,34.8,2.0,76.7,0,0
Western Kentucky,FIU,91,58,33,2021-02-28,CUSA,108.1,98.5,68.3,17.5,16.3,51.3,50.2,20.8,19.3,31.8,23.9,34.4,36.7,2.18,76.3,4,0,CUSA,98.1,108.9,70.8,16.4,17.1,51.2,53.7,21.0,21.4,26.0,32.3,33.0,37.1,1.88,74.6,0,0
