home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Indiana,Purdue,69,81,-12,2021-01-14,B10,109.9,90.6,66.4,17.7,17.4,51.6,47.1,17.4,18.4,23.6,25.2,33.6,32.2,1.35,77.3,3,1,B10,110.3,92.8,66.0,18.5,17.3,52.4,50.0,20.0,17.4,31.8,21.4,35.8,32.1,1.09,78.4,2,1
Utah St.,San Diego St.,57,45,12,2021-01-14,MWC,105.8,91.8,69.1,16.5,17.3,51.4,44.7,19.1,21.7,36.7,19.5,33.8,32.7,1.42,78.2,5,1,MWC,109.7,92.4,64.8,17.1,18.6,52.5,47.8,18.3,22.2,26.9,26.5,37.7,33.6,2.52,76.7,4,1
Utah,Stanford,79,65,14,2021-01-14,P12,107.4,96.1,66.9,17.8,17.6,49.0,48.2,15.3,21.9,25.3,32.4,31.5,31.1,1.41,77.4,1,0,P12,107.4,89.9,71.6,16.2,16.7,51.5,45.0,21.9,21.2,30.6,28.8,29.6,33.6,1.37,78.8,4,1
Saint Mary's,BYU,52,62,-10,2021-01-14,WCC,105.8,94.6,63.1,20.2,16.1,50.5,45.9,17.0,17.1,30.7,19.1,32.7,35.9,1.45,77.7,3,0,WCC,108.2,95.8,70.2,16.8,16.0,53.2,46.5,21.0,18.0,29.1,26.3,34.0,33.0,2.05,77.9,4,0
Oregon St.,Arizona,64,98,-34,2021-01-14,P12,104.4,101.6,65.5,18.1,17.2,45.8,48.8,16.0,19.0,31.1,28.7,34.7,31.2,1.98,78.4,3,0,P12,112.3,95.6,69.6,16.3,17.9,50.0,47.3,16.6,19.6,37.0,23.6,35.5,32.0,1.36,78.6,3,0
Temple,UCF,62,55,7,2021-01-14,Amer,100.7,99.6,69.3,17.1,17.4,42.9,50.8,19.2,16.7,30.4,32.0,32.2,37.0,1.59,77.4,1,0,Amer,103.8,95.6,67.5,17.5,17.4,47.7,48.7,19.7,21.4,25.6,33.5,34.8,31.0,1.53,77.5,2,0
Pacific,Santa Clara,79,58,21,2021-01-14,WCC,101.5,98.7,65.6,20.3,17.0,40.9,51.8,12.0,19.3,35.2,22.4,26.8,35.7,2.22,76.8,3,1,WCC,98.6,93.8,71.2,15.4,17.8,43.8,42.1,17.7,18.4,25.9,22.4,23.2,30.1,1.95,79.1,3,1
UCLA,Washington St.,91,61,30,2021-01-14,P12,114.6,96.0,64.5,18.7,17.6,52.4,48.3,16.7,17.7,32.7,26.2,36.6,29.5,1.62,77.5,4,1,P12,98.1,93.7,68.0,17.4,16.5,46.9,40.1,20.5,17.9,29.7,26.1,33.1,25.6,1.15,78.6,3,0
Eastern Washington,Southern Utah,75,63,12,2021-01-14,BSky,103.9,100.5,71.6,15.6,17.7,50.4,48.1,18.2,15.7,16.9,27.4,32.0,33.9,1.81,77.2,2,1,BSky,103.7,106.0,69.9,17.3,16.7,52.1,55.4,16.5,18.7,31.8,18.4,34.9,37.4,2.44,76.9,5,1
St. Francis PA,Bryant,89,82,7,2021-01-14,NEC,98.3,107.6,70.2,16.4,17.1,47.8,52.1,21.8,19.2,24.7,32.7,32.6,25.5,1.22,76.9,0,0,NEC,103.2,105.1,76.5,14.4,15.9,55.9,46.5,20.4,17.8,26.8,30.7,40.2,28.6,1.61,75.8,5,1
