home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Wisconsin,Iowa,62,77,-15,2021-02-18,B10,112.7,89.4,64.9,18.5,17.7,50.2,46.4,13.8,17.7,23.0,23.9,35.8,32.3,2.39,78.0,2,0,B10,127.7,98.8,69.7,16.0,17.5,55.4,48.7,13.0,16.8,33.2,30.8,39.6,34.6,1.65,77.9,3,1
Penn St.,Ohio St.,82,92,-10,2021-02-18,B10,112.6,94.9,68.7,16.7,18.1,47.9,52.0,16.6,20.5,32.8,27.3,33.8,31.4,2.22,76.1,2,0,B10,122.8,95.6,66.9,18.1,17.3,52.8,47.7,15.2,15.9,30.4,26.1,35.5,33.1,1.99,77.5,5,1
Oregon,Colorado,60,56,4,2021-02-18,P12,112.4,94.8,68.1,16.9,17.2,53.0,48.1,17.7,20.5,30.2,25.0,35.8,32.3,2.31,77.3,3,1,P12,116.4,94.0,66.6,17.3,18.6,53.0,47.6,16.2,20.1,29.3,25.3,37.5,33.1,2.28,77.4,3,0
UCLA,Arizona,74,60,14,2021-02-18,P12,113.2,97.1,64.1,18.4,18.1,50.7,49.8,16.5,18.5,31.8,24.9,36.2,34.2,1.47,77.4,2,1,P12,114.5,97.5,67.7,16.6,18.3,51.0,48.9,17.4,18.7,35.0,24.0,38.1,34.3,1.27,78.8,2,0
Michigan,Rutgers,71,64,7,2021-02-18,B10,118.7,89.1,67.5,16.9,17.8,56.8,43.1,17.9,15.5,30.4,24.9,37.9,32.2,2.13,77.9,4,1,B10,110.7,90.6,67.3,17.1,17.7,51.3,47.6,16.3,19.3,29.5,28.9,32.5,32.8,2.01,77.9,4,1
Wichita St.,Houston,68,63,5,2021-02-18,Amer,109.7,99.1,68.1,17.1,17.7,46.2,46.8,15.7,17.5,30.2,33.8,32.3,30.1,1.85,76.6,4,1,Amer,116.1,88.9,65.7,19.0,16.8,49.1,42.1,17.6,22.2,40.1,27.3,34.0,26.9,1.79,77.0,4,1
Oregon St.,Utah,74,56,18,2021-02-18,P12,106.8,101.3,65.2,18.6,17.2,47.0,49.7,16.9,17.4,28.9,29.5,34.7,31.2,2.01,78.3,2,0,P12,110.9,98.0,67.0,17.9,17.6,51.7,50.4,17.7,20.7,25.2,29.6,33.7,35.8,1.37,77.5,3,0
Pacific,BYU,52,80,-28,2021-02-18,WCC,104.4,99.0,66.1,18.9,16.6,46.6,52.6,16.4,19.5,28.8,24.9,30.5,36.4,2.27,77.0,1,0,WCC,111.3,93.1,67.8,16.8,16.7,54.3,46.4,19.7,16.2,29.5,23.5,35.0,33.2,2.02,78.0,3,0
San Francisco,Loyola Marymount,63,68,-5,2021-02-18,WCC,106.9,98.0,68.2,17.7,16.4,51.7,48.5,18.0,19.6,25.6,24.7,35.0,30.9,2.01,77.8,1,0,WCC,105.5,99.7,67.1,18.0,17.1,50.9,49.1,22.9,18.1,32.8,20.9,33.1,33.9,1.8,78.3,3,1
UMBC,Vermont,71,80,-9,2021-02-18,AE,100.2,100.3,67.5,16.4,18.1,50.3,45.1,19.6,18.3,25.9,25.7,33.4,32.0,2.5,75.7,4,1,AE,105.9,99.9,66.6,17.7,17.9,53.9,45.1,18.6,19.5,28.2,23.2,35.1,29.4,2.45,76.4,5,1
