home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Texas Tech,Oklahoma,57,52,5,2021-02-01,B12,113.0,90.2,66.8,17.7,17.5,49.3,47.1,16.0,25.0,35.2,28.4,33.0,34.3,1.42,76.9,3,1,B12,113.0,92.3,68.6,17.0,17.2,51.0,48.8,15.0,20.1,29.1,26.5,34.2,35.8,2.09,77.0,5,1
Louisville,Georgia Tech,74,58,16,2021-02-01,ACC,110.2,93.4,66.1,17.5,18.7,50.8,47.6,18.4,18.0,30.0,25.5,31.5,31.0,1.0,77.4,2,0,ACC,111.3,95.9,67.2,17.8,16.7,54.2,51.8,16.2,22.3,24.0,28.5,37.2,36.7,2.56,76.2,3,1
Miami FL,Duke,77,75,2,2021-02-01,ACC,101.5,96.7,68.1,18.1,16.4,47.5,50.8,19.8,18.9,26.8,26.1,28.4,37.5,1.49,78.6,1,0,ACC,112.7,93.4,69.3,16.7,16.9,51.4,51.2,18.9,20.0,32.4,24.0,33.0,35.7,0.88,77.0,2,1
Memphis,UCF,96,69,27,2021-02-01,Amer,103.2,88.6,70.7,16.1,17.2,49.6,44.2,21.4,21.9,33.2,24.5,35.1,28.3,1.11,77.8,3,0,Amer,104.4,97.1,67.1,17.6,17.4,48.6,50.0,21.4,19.2,28.5,31.6,34.7,31.9,1.46,77.6,1,0
Missouri St.,Loyola Chicago,50,70,-20,2021-02-01,MVC,104.7,100.7,71.1,16.9,16.8,52.9,47.0,18.3,14.1,23.1,23.4,32.6,32.4,1.62,77.5,2,0,MVC,110.5,88.8,65.7,17.8,18.1,56.9,45.7,17.6,22.2,24.6,22.2,35.0,31.6,2.21,76.2,5,1
Indiana St.,Bradley,67,55,12,2021-02-01,MVC,102.2,99.6,68.2,17.4,17.3,48.6,52.4,20.5,22.1,25.9,27.8,34.7,32.2,1.83,76.7,5,1,MVC,101.5,96.4,66.9,16.9,18.8,49.5,47.6,20.0,18.3,29.7,27.5,30.9,36.3,1.6,77.3,0,0
Wofford,East Tennessee St.,67,62,5,2021-02-01,SC,105.9,102.1,66.0,17.9,17.2,54.8,51.4,19.5,18.0,28.5,29.2,35.7,34.5,1.52,75.6,4,1,SC,101.4,98.1,67.3,17.7,16.6,50.5,49.0,21.6,21.0,31.9,27.0,34.2,33.6,1.88,77.1,4,1
SIU Edwardsville,Austin Peay,59,74,-15,2021-02-01,OVC,95.4,106.2,70.1,17.2,16.3,51.6,51.3,24.5,20.8,28.1,32.5,32.7,33.2,1.83,76.4,3,1,OVC,103.7,108.7,67.0,18.0,16.3,49.5,56.5,22.1,21.8,36.2,26.9,31.7,35.6,1.58,75.0,3,1
Evansville,Valparaiso,58,51,7,2021-02-01,MVC,100.0,107.5,61.7,21.2,16.3,51.9,54.7,17.4,19.0,19.2,24.9,37.4,40.0,2.2,76.5,2,1,MVC,97.3,102.4,67.7,17.2,17.7,45.7,51.4,18.3,18.7,22.2,27.3,27.8,34.3,1.42,76.8,3,0
Southeast Missouri St.,Murray St.,60,77,-17,2021-02-01,OVC,94.6,105.4,68.2,17.4,17.3,49.1,51.2,21.4,19.5,27.6,19.5,34.0,34.5,1.75,76.2,3,1,OVC,102.3,101.8,67.1,17.0,17.9,53.6,48.8,21.5,19.8,29.8,27.3,33.4,30.0,1.57,76.7,3,0
Western Carolina,The Citadel,76,75,1,2021-02-01,SC,100.6,106.7,70.9,16.5,17.0,50.9,53.9,19.7,16.9,24.5,25.2,32.4,35.9,1.82,76.0,0,0,SC,103.0,113.6,77.2,14.6,16.7,55.3,53.8,17.3,13.9,24.3,28.8,39.2,33.0,1.85,76.5,1,0
Eastern Washington,Sacramento St.,94,79,15,2021-02-01,BSky,104.2,101.6,72.3,15.4,17.7,50.2,49.4,17.0,16.4,22.9,26.4,31.8,33.6,1.79,77.2,3,1,BSky,98.3,104.3,64.9,18.9,19.1,47.4,49.0,15.5,20.6,27.8,28.0,36.2,28.3,2.42,76.8,2,0
Texas Southern,Alabama A&M,66,49,17,2021-02-01,SWAC,98.0,105.5,70.4,16.4,16.5,46.1,49.7,21.8,17.9,31.1,27.2,27.0,33.7,2.52,77.7,2,1,SWAC,90.1,106.6,70.2,17.9,14.9,48.8,44.8,21.9,18.8,26.8,29.4,26.8,22.4,0.7,76.4,4,0
Drake,Illinois St.,95,60,35,2021-02-01,MVC,109.7,95.9,67.3,17.3,17.6,56.2,45.1,16.8,21.3,34.8,23.5,38.3,29.6,2.06,76.2,5,1,MVC,98.1,104.1,70.0,16.2,18.3,50.9,51.3,19.2,17.1,22.7,28.0,38.4,31.0,1.07,77.1,1,0
Jackson St.,Arkansas Pine Bluff,63,55,8,2021-02-01,SWAC,91.7,102.5,69.8,16.8,16.2,42.7,47.1,23.3,22.6,28.3,32.2,31.1,32.6,2.23,76.3,3,1,SWAC,89.5,114.4,68.9,18.3,15.5,41.8,57.1,22.7,16.6,26.7,30.6,30.4,43.5,2.26,75.8,0,0
Prairie View A&M,Alabama St.,87,63,24,2021-02-01,SWAC,94.6,101.8,67.4,17.6,17.3,50.8,46.8,21.3,25.6,30.8,33.3,31.3,29.6,2.06,76.8,5,1,SWAC,84.0,107.5,69.1,15.7,17.6,40.3,46.8,21.7,22.1,31.9,27.2,28.6,30.0,1.86,75.1,2,0
North Carolina Central,South Carolina St.,91,77,14,2021-02-01,MEAC,96.8,105.3,66.9,18.1,15.7,51.1,52.2,20.4,22.4,21.5,39.8,36.4,32.5,2.63,74.8,2,1,MEAC,86.0,113.1,72.5,16.4,16.3,43.7,56.6,24.4,21.9,25.3,34.6,32.6,34.3,1.09,76.5,0,0
