home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Northwestern,Rutgers,56,64,-8,2021-01-31,B10,108.3,96.6,69.5,15.8,18.0,52.4,51.2,14.7,16.2,18.9,26.0,36.4,34.9,1.51,77.8,0,0,B10,109.9,90.9,68.4,16.9,17.5,51.4,48.1,15.3,19.2,29.4,28.2,34.8,32.6,1.96,77.9,2,1
Syracuse,N.C. State,76,73,3,2021-01-31,ACC,111.7,95.5,70.2,15.5,17.4,51.0,46.8,16.2,20.7,28.2,31.5,31.4,29.9,1.54,77.9,2,0,ACC,108.9,96.9,69.8,16.4,17.4,53.2,52.0,17.8,24.3,28.4,32.3,37.1,35.3,1.77,77.0,1,1
Marquette,St. John's,73,75,-2,2021-01-31,BE,109.1,96.9,67.2,18.0,17.1,51.2,46.6,20.3,15.3,31.4,28.1,35.1,34.6,1.7,78.1,2,0,BE,109.3,98.8,74.1,14.6,17.2,50.6,54.2,16.7,23.4,28.9,30.0,34.3,36.9,1.49,77.0,4,1
Ohio St.,Michigan St.,79,62,17,2021-01-31,B10,119.1,95.8,66.7,18.2,17.3,52.4,48.1,15.8,16.0,31.5,26.5,34.4,33.3,1.98,77.5,4,1,B10,108.5,94.1,69.7,16.3,17.4,49.9,47.7,19.9,16.5,30.9,25.6,33.7,32.5,1.7,77.9,2,0
Houston,SMU,70,48,22,2021-01-31,Amer,114.2,87.3,65.9,19.2,16.5,49.1,41.1,18.1,23.2,41.3,27.7,34.5,25.4,1.75,77.0,5,1,Amer,112.5,97.2,68.9,16.0,17.5,53.3,47.5,18.4,20.1,30.3,28.0,36.0,35.4,2.15,77.4,3,1
Missouri St.,Loyola Chicago,46,72,-26,2021-01-31,MVC,105.8,100.5,71.3,16.6,16.8,55.1,46.3,18.2,14.2,23.0,23.9,33.5,33.2,1.62,77.5,3,0,MVC,110.2,90.0,65.8,17.9,18.0,57.0,46.8,17.9,22.4,25.2,22.0,35.7,32.4,2.22,76.2,5,1
Nevada,UNLV,89,60,29,2021-01-31,MWC,103.9,99.4,70.3,16.8,17.4,49.4,47.7,19.1,17.8,26.3,23.9,32.8,32.6,1.04,78.2,2,0,MWC,105.4,100.7,68.2,17.6,16.8,50.5,51.4,19.5,19.9,25.6,27.7,35.0,37.6,1.58,77.4,4,0
Hawaii,UC Irvine,51,53,-2,2021-01-31,BW,99.5,103.4,67.5,17.5,18.1,48.8,49.7,19.0,18.3,28.7,28.1,33.3,31.2,1.72,76.9,2,1,BW,99.7,94.1,67.5,18.3,16.8,46.3,46.0,21.0,20.0,33.2,23.7,31.3,31.6,0.99,77.5,4,0
Washington,Washington St.,62,77,-15,2021-01-31,P12,104.4,101.3,70.5,16.6,17.7,47.8,49.8,18.9,16.8,25.7,38.1,32.4,33.3,1.93,77.9,2,1,P12,98.4,95.3,68.3,17.6,16.9,47.9,44.9,21.3,17.9,28.1,27.0,34.2,30.7,1.1,78.7,0,0
James Madison,Drexel,73,64,9,2021-01-31,CAA,101.4,105.4,71.5,15.8,17.4,51.2,49.5,18.6,21.8,26.5,30.1,34.7,30.8,1.34,76.3,4,1,CAA,103.4,102.4,64.8,19.0,16.5,51.6,49.4,18.3,19.4,29.4,20.8,31.5,29.1,1.79,77.3,2,1
Southern Illinois,Northern Iowa,71,68,3,2021-01-31,MVC,100.3,105.0,67.4,17.5,18.1,52.5,54.4,18.1,20.3,17.3,27.6,37.0,38.8,0.98,76.2,0,0,MVC,104.9,102.9,70.2,17.2,17.3,50.3,53.8,19.1,15.0,24.5,20.5,33.7,35.6,1.39,76.6,2,1
UNC Wilmington,Hofstra,83,89,-6,2021-01-31,CAA,102.1,106.7,69.2,16.6,17.7,48.5,51.1,16.1,20.1,26.4,31.9,32.9,30.6,1.83,76.6,1,0,CAA,104.0,104.1,67.7,16.9,18.0,49.8,49.9,18.1,17.5,28.7,28.2,31.0,31.5,1.72,76.7,4,1
Stephen F. Austin,Sam Houston St.,78,68,10,2021-01-31,Slnd,101.9,102.0,71.3,16.4,16.0,56.7,52.7,25.3,25.2,34.9,28.5,33.1,36.5,2.42,76.7,4,0,Slnd,100.5,103.3,71.5,16.2,16.1,49.3,50.4,21.4,21.6,29.8,33.3,36.7,30.7,1.86,75.2,5,1
NJIT,UMBC,69,65,4,2021-01-31,AE,95.4,102.7,68.8,17.5,17.6,45.7,49.3,16.2,20.0,24.3,31.2,33.3,29.9,2.23,76.1,1,0,AE,98.1,100.0,68.5,16.0,18.0,49.6,45.2,19.0,19.3,25.3,25.6,31.1,33.0,2.45,75.7,3,1
Stony Brook,Hartford,63,49,14,2021-01-31,AE,94.8,102.6,67.8,17.3,17.4,47.6,49.1,20.8,18.5,29.8,26.4,28.7,34.3,2.16,77.1,1,0,AE,96.4,101.6,66.9,18.4,17.6,49.3,48.1,18.7,21.2,24.9,29.9,32.8,29.6,1.91,76.0,3,1
Evansville,Valparaiso,70,52,18,2021-01-31,MVC,98.5,108.1,61.8,21.1,16.3,50.9,54.7,17.0,18.6,18.9,25.5,37.6,40.6,2.2,76.5,2,0,MVC,97.9,101.2,67.9,17.2,17.3,45.3,50.5,17.8,18.4,22.6,27.4,27.6,34.3,1.42,76.7,3,1
Marist,Siena,50,63,-13,2021-01-31,MAAC,93.1,101.7,66.5,18.3,17.3,50.7,47.6,21.2,18.4,22.8,25.4,32.0,32.9,1.43,75.9,3,1,MAAC,101.6,100.0,66.2,19.3,16.9,51.3,45.6,18.3,16.6,27.1,26.1,35.6,35.3,1.79,76.4,3,0
Fairleigh Dickinson,Bryant,95,84,11,2021-01-31,NEC,100.2,112.3,70.6,16.3,16.9,50.2,54.8,20.0,19.5,28.8,32.9,37.5,31.7,1.45,75.3,2,1,NEC,102.6,104.8,76.0,14.5,16.0,54.5,46.3,21.0,17.6,28.3,31.4,39.2,29.6,1.63,75.8,3,0
Towson,William & Mary,74,75,-1,2021-01-31,CAA,99.6,108.8,67.1,18.7,16.3,45.4,52.2,19.9,15.7,35.8,30.6,28.2,38.8,1.67,76.9,1,0,CAA,98.7,108.0,68.6,18.1,17.1,47.2,51.5,20.3,16.9,29.4,31.9,30.7,30.5,1.21,77.3,3,1
North Carolina A&T,Florida A&M,67,65,2,2021-01-31,MEAC,95.6,108.0,71.0,16.1,16.3,46.4,54.8,18.3,23.3,24.5,35.6,31.0,38.4,2.15,76.2,4,1,MEAC,92.6,104.1,69.3,16.3,16.7,48.9,52.6,23.2,20.4,26.0,31.8,33.1,29.7,2.07,76.9,2,0
Delaware,Elon,75,70,5,2021-01-31,CAA,96.6,101.4,66.9,18.4,17.3,49.7,46.9,22.2,17.8,28.3,25.5,30.0,32.5,1.74,78.0,3,1,CAA,96.7,104.4,67.3,16.7,19.1,44.4,53.1,19.8,18.3,19.7,21.3,30.0,34.4,1.64,75.9,1,0
Temple,Tulane,64,81,-17,2021-01-31,Amer,100.9,97.4,69.1,17.6,17.3,45.7,47.6,19.7,16.2,26.8,26.1,33.5,36.2,1.61,77.5,3,1,Amer,96.3,100.5,66.4,17.2,18.5,43.1,48.2,16.5,22.9,24.1,30.6,29.4,35.6,1.04,76.4,1,0
Cleveland St.,Green Bay,74,68,6,2021-01-31,Horz,97.8,98.5,66.4,17.9,17.2,49.1,47.1,20.3,21.3,30.6,32.9,32.4,29.0,2.0,76.9,3,1,Horz,102.1,109.5,67.5,18.4,16.4,49.8,54.4,17.0,18.2,26.0,30.1,35.5,35.8,1.28,76.3,2,0
Binghamton,New Hampshire,65,71,-6,2021-01-31,AE,95.6,113.4,66.1,18.5,17.5,48.5,53.7,20.6,16.2,28.8,26.6,34.4,40.0,1.18,76.8,1,1,AE,94.8,104.4,67.6,18.6,16.6,44.5,49.6,17.8,17.8,28.0,20.1,31.4,33.7,1.53,77.0,3,0
Eastern Washington,Sacramento St.,68,60,8,2021-01-31,BSky,104.5,102.0,72.4,15.3,17.6,50.5,50.2,16.6,16.2,21.6,26.5,32.7,33.8,1.81,77.2,3,1,BSky,98.7,104.6,65.1,18.8,19.5,48.2,49.3,15.0,20.6,28.1,26.9,37.1,29.2,2.39,76.9,3,1
North Dakota,Western Illinois,83,81,2,2021-01-31,Sum,94.1,107.7,68.1,17.6,17.3,48.1,53.9,19.4,17.7,22.6,28.2,31.2,38.8,1.48,77.4,2,0,Sum,97.2,111.4,71.8,16.7,16.2,45.8,55.0,15.4,16.1,25.8,25.2,32.2,39.0,2.14,77.2,1,1
Bucknell,Lehigh,92,68,24,2021-01-31,Pat,95.6,103.4,72.7,15.3,17.4,50.0,46.2,18.2,16.3,18.0,29.6,32.5,31.2,1.48,77.9,3,1,Pat,96.3,109.9,69.1,17.3,16.8,49.8,52.2,17.5,16.3,24.8,24.9,32.1,36.6,1.38,77.5,2,0
Mount St. Mary's,Sacred Heart,76,64,12,2021-01-31,NEC,96.0,103.5,61.5,20.2,17.0,48.6,46.9,21.7,16.8,31.2,24.4,32.8,30.0,1.54,76.9,3,0,NEC,96.1,108.7,68.0,17.9,16.9,45.8,48.2,19.3,15.5,29.9,31.0,30.5,29.0,1.07,75.5,4,1
St. Francis PA,Central Connecticut,77,85,-8,2021-01-31,NEC,96.7,106.1,70.5,16.8,16.3,48.1,50.4,20.0,19.1,28.9,30.3,31.8,27.9,1.3,76.9,3,1,NEC,92.6,108.9,70.1,16.2,17.2,48.9,53.8,19.4,20.1,21.4,32.2,32.3,36.6,1.66,75.6,1,0
Drake,Illinois St.,78,76,2,2021-01-31,MVC,110.0,95.4,67.3,17.1,17.8,57.2,44.5,16.8,21.1,34.6,23.3,41.5,28.4,2.05,76.2,5,1,MVC,97.4,104.9,70.0,16.2,18.3,50.9,51.8,18.8,17.1,22.4,27.2,38.1,32.6,1.09,77.1,1,0
UAB,Middle Tennessee,63,52,11,2021-01-31,CUSA,105.3,96.9,67.9,17.1,17.7,50.2,44.9,14.2,25.1,29.4,26.6,29.9,30.3,2.27,76.8,4,1,CUSA,89.4,98.9,71.0,17.1,16.2,43.3,49.4,23.6,21.7,24.6,25.8,29.9,26.9,1.94,76.7,0,0
Holy Cross,Colgate,60,78,-18,2021-01-31,Pat,93.2,110.1,71.1,17.0,16.3,48.5,52.9,18.8,17.4,26.6,32.6,32.0,35.4,1.37,76.7,0,0,Pat,107.8,101.2,70.9,15.4,17.3,57.9,43.1,13.6,17.1,26.5,25.3,39.5,23.8,1.83,76.5,5,1
