home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Boise St.,Utah St.,81,77,4,2021-02-19,MWC,110.5,95.5,68.8,16.3,17.7,52.8,48.2,15.9,20.6,28.6,22.1,35.2,31.6,2.07,78.3,3,1,MWC,106.6,90.9,69.3,16.7,17.5,50.7,45.7,20.0,20.7,34.9,20.9,34.4,33.3,1.5,78.2,2,0
Buffalo,Toledo,70,80,-10,2021-02-19,MAC,108.1,98.4,73.6,14.5,17.3,51.5,45.6,17.7,18.8,35.0,27.7,34.1,26.9,2.26,77.0,4,1,MAC,116.1,102.6,68.3,17.0,17.0,54.1,48.9,16.3,17.5,30.7,30.4,37.9,30.2,1.79,76.8,3,1
Dayton,Saint Louis,76,53,23,2021-02-19,A10,108.7,98.8,65.1,18.9,17.4,55.0,48.2,21.2,17.6,22.6,28.4,35.9,31.1,1.94,77.9,2,0,A10,112.1,94.2,68.3,16.4,18.0,53.8,46.2,16.6,21.3,35.2,23.5,35.7,32.6,1.84,76.2,4,1
Ball St.,Akron,79,88,-9,2021-02-19,MAC,100.4,100.0,69.9,16.8,16.7,49.4,47.8,20.1,18.0,26.0,30.7,32.8,29.6,1.9,76.8,1,0,MAC,108.8,100.4,68.5,17.2,17.4,53.9,47.9,18.2,16.9,29.4,26.5,35.0,30.7,1.93,75.6,4,1
North Dakota St.,South Dakota St.,67,68,-1,2021-02-19,Sum,101.4,100.3,63.6,19.3,16.7,49.5,48.2,19.5,13.7,28.0,20.4,32.4,32.4,1.46,78.1,3,0,Sum,109.0,103.5,71.5,15.7,16.9,54.9,49.2,16.5,14.7,23.2,22.3,40.7,33.2,1.57,77.3,3,1
UMBC,Vermont,66,55,11,2021-02-19,AE,101.1,101.5,67.3,16.5,18.2,50.4,46.1,19.2,18.2,25.9,25.5,33.6,32.7,2.5,75.8,3,0,AE,107.6,100.9,66.3,17.9,17.8,54.7,45.7,18.3,19.0,27.8,23.5,36.0,30.0,2.46,76.4,5,1
UC Santa Barbara,Cal St. Bakersfield,71,66,5,2021-02-19,BW,107.6,97.0,66.0,17.4,18.1,53.5,46.2,16.1,21.7,26.7,24.7,35.8,32.2,2.32,77.3,5,1,BW,103.8,100.9,64.4,19.1,17.2,46.6,49.3,19.2,20.6,39.0,24.8,32.8,33.8,2.7,77.0,4,1
Iona,Monmouth,91,86,5,2021-02-19,MAAC,101.2,106.5,67.3,17.3,17.4,51.3,48.3,21.7,20.4,32.7,28.2,34.3,32.4,1.73,76.1,3,0,MAAC,103.1,103.6,74.5,14.7,17.4,50.2,47.0,18.0,20.2,26.3,27.7,38.5,30.2,2.05,76.0,4,1
UAB,Old Dominion,76,69,7,2021-02-19,CUSA,104.8,96.0,66.8,17.3,17.9,49.9,45.0,15.0,23.4,28.5,25.5,30.6,29.3,2.28,76.8,3,0,CUSA,102.2,100.9,67.3,17.8,17.2,48.0,52.3,18.5,19.4,29.6,25.2,27.9,36.5,2.28,76.9,4,1
Milwaukee,Oakland,81,85,-4,2021-02-19,Horz,100.7,106.6,69.8,16.3,17.4,50.1,53.0,16.0,18.6,22.2,26.1,32.7,38.8,1.71,76.8,1,0,Horz,105.5,110.5,69.5,17.3,16.6,48.4,56.8,18.5,19.6,29.9,34.0,33.2,38.3,1.44,75.8,2,1
Appalachian St.,South Alabama,63,65,-2,2021-02-19,SB,102.8,106.1,65.1,18.1,17.9,49.3,51.8,18.6,20.4,26.8,29.4,32.8,33.6,1.84,76.4,3,0,SB,103.9,107.4,66.0,17.2,18.3,51.6,51.0,18.3,20.5,26.9,31.6,35.6,34.5,2.02,75.9,5,1
UC San Diego,UC Riverside,75,81,-6,2021-02-19,BW,99.2,105.2,70.0,17.2,17.5,53.5,52.0,23.7,18.8,17.6,34.1,34.0,36.9,1.93,76.9,1,0,BW,102.6,97.0,66.7,19.3,16.6,53.6,43.1,18.6,16.5,27.0,24.7,39.2,30.9,1.99,78.7,3,0
Northern Kentucky,Wright St.,81,75,6,2021-02-19,Horz,104.7,108.4,64.7,18.2,17.9,51.1,51.5,19.1,19.8,34.8,33.5,30.5,35.1,1.27,75.7,4,1,Horz,110.4,94.9,70.3,16.3,17.0,54.9,44.2,18.0,16.9,34.7,25.1,37.5,29.2,1.35,77.4,5,1
Illinois Chicago,Green Bay,61,58,3,2021-02-19,Horz,95.6,104.1,69.1,17.1,16.9,50.0,48.1,18.7,14.9,23.3,27.7,33.0,30.6,2.38,77.6,0,0,Horz,103.7,111.2,66.7,18.6,16.5,49.5,54.1,16.3,17.2,26.3,30.0,34.2,36.4,1.29,76.2,2,0
