home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Oklahoma St.,Oklahoma,79,75,4,2021-03-01,B12,108.9,91.2,71.7,15.8,17.4,51.1,46.4,21.2,19.6,31.7,29.2,33.7,31.8,1.1,77.5,4,1,B12,112.1,93.6,67.9,17.2,17.4,50.7,48.1,15.5,19.0,28.1,27.9,33.2,35.4,2.09,76.9,3,0
Syracuse,North Carolina,72,70,2,2021-03-01,ACC,112.7,98.2,69.7,15.8,17.7,50.3,49.1,16.2,21.0,29.9,32.3,33.3,31.8,1.55,78.0,3,0,ACC,109.8,91.5,71.7,15.6,17.9,48.3,49.2,20.6,19.2,40.1,25.6,30.9,35.4,1.06,78.8,3,1
Oregon,Arizona,80,69,11,2021-03-01,P12,111.9,95.4,67.5,17.2,17.7,52.7,48.8,17.2,20.7,29.0,27.2,35.5,33.0,2.26,77.5,4,1,P12,113.6,97.1,68.3,16.8,18.3,50.5,48.9,17.3,18.2,34.8,24.1,37.3,33.3,1.21,78.7,3,1
Nebraska,Rutgers,72,51,21,2021-03-01,B10,101.0,93.8,72.4,15.3,17.7,47.6,49.3,19.3,18.5,23.2,29.3,33.0,31.3,1.95,78.3,1,1,B10,110.3,90.2,68.1,17.1,17.8,50.9,47.7,16.2,19.1,28.4,28.6,32.2,33.4,2.01,77.9,2,1
St. Bonaventure,Dayton,52,55,-3,2021-03-01,A10,111.9,93.3,65.2,18.6,18.3,51.4,45.8,17.3,18.9,33.1,28.8,37.1,30.2,1.93,77.3,4,1,A10,108.5,98.8,66.0,18.6,17.5,55.5,48.0,20.8,17.5,22.5,29.0,36.2,31.6,1.93,77.8,2,0
Saint Louis,Massachusetts,78,57,21,2021-03-01,A10,110.5,94.8,68.4,16.8,17.9,52.1,47.6,17.4,20.0,36.0,21.9,34.7,34.0,1.9,76.3,3,1,A10,105.6,99.1,72.6,16.5,16.3,48.5,51.2,16.4,20.3,24.7,23.3,31.9,33.2,1.04,77.0,3,0
Campbell,Gardner Webb,63,57,6,2021-03-01,BSth,102.6,108.1,64.5,18.7,17.7,55.9,51.6,18.3,21.6,18.8,31.3,37.4,30.3,1.79,75.4,0,0,BSth,105.3,105.3,67.3,17.1,18.1,52.6,48.5,17.5,18.2,26.5,28.0,36.5,33.6,1.13,75.9,0,0
UNC Asheville,Longwood,61,77,-16,2021-03-01,BSth,101.9,106.6,68.6,16.9,17.1,54.6,49.3,20.9,19.5,27.0,32.6,36.6,32.2,1.79,76.8,0,0,BSth,97.7,104.9,65.6,18.5,17.4,49.5,51.6,19.4,20.7,27.0,26.2,34.2,31.6,1.22,75.7,0,0
Marist,Quinnipiac,65,52,13,2021-03-01,MAAC,93.0,101.5,66.1,18.3,17.3,49.5,46.6,21.6,18.4,22.3,25.5,31.1,31.9,1.38,75.9,3,1,MAAC,92.3,101.2,72.0,16.6,16.8,48.6,44.0,19.4,15.9,20.9,27.4,34.1,30.1,1.16,77.4,3,0
Incarnate Word,New Orleans,72,88,-16,2021-03-01,Slnd,93.8,110.7,64.4,18.5,17.0,51.5,51.9,20.8,19.2,22.4,31.6,40.9,29.0,1.15,75.8,2,0,Slnd,96.5,108.1,72.6,16.2,16.0,51.0,52.2,22.4,21.1,28.7,32.7,33.9,33.2,2.15,74.5,2,0
Virginia,Miami FL,62,51,11,2021-03-01,ACC,115.7,92.7,60.2,20.1,18.7,56.6,48.5,15.6,15.7,22.3,21.9,39.3,34.1,1.94,77.7,2,0,ACC,101.2,99.2,68.1,18.4,16.5,46.9,52.5,18.8,18.0,27.5,26.4,29.5,37.0,1.7,78.6,0,0
