away_x,away_y,bet,date,draft_kings,home,home_cover,lasso,linear,percent_chance,predict_kp,rf,score
San Diego,San Diego,San Diego,2021-01-23,-3.0,Portland,0.0,,,0.614,-4,,-8.0
Houston,Houston,Temple,2021-01-23,-12.0,Temple,1.0,,,0.6132,-14,,-17.0
Santa Clara,Santa Clara,Santa Clara,2021-01-23,4.0,Loyola Marymount,0.0,,,0.6104,5,,-3.0
Weber St.,Weber St.,Weber St.,2021-01-23,1.0,Southern Utah,0.0,,,0.6084,2,,5.0
Texas A&M,Texas A&M,Mississippi,2021-01-23,8.5,Mississippi,1.0,,,0.606,8,,11.0
Loyola MD,Loyola MD,Loyola MD,2021-01-23,-1.0,American,0.0,,,0.6052,2,,1.0
Jacksonville St.,Jacksonville St.,Jacksonville St.,2021-01-23,3.5,Austin Peay,0.0,,,0.6042,3,,-6.0
Alcorn St.,Alcorn St.,Alabama St.,2021-01-23,-2.5,Alabama St.,1.0,,,0.6039,-2,,-5.0
Tennessee Martin,Tennessee Martin,Morehead St.,2021-01-23,12.0,Morehead St.,1.0,,,0.5966,13,,32.0
Northwestern St.,Northwestern St.,Southeastern Louisiana,2021-01-23,1.0,Southeastern Louisiana,1.0,,,0.5965,1,,-5.0
N.C. State,N.C. State,North Carolina,2021-01-23,6.0,North Carolina,1.0,,,0.5947,5,,10.0
Akron,Akron,Western Michigan,2021-01-23,-7.5,Western Michigan,1.0,,,0.5936,-7,,-11.0
VMI,VMI,Mercer,2021-01-23,9.0,Mercer,1.0,,,0.5926,7,,3.0
Texas Southern,Texas Southern,Texas Southern,2021-01-23,-10.0,Arkansas Pine Bluff,0.0,,,0.5854,-10,,-9.0
Maryland,Maryland,Minnesota,2021-01-23,6.0,Minnesota,1.0,,,0.5837,6,,-14.0
Milwaukee,Milwaukee,Milwaukee,2021-01-23,3.5,Cleveland St.,0.0,,,0.5806,6,,-1.0
UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,2021-01-23,-12.5,Cal St. Northridge,0.0,,,0.5751,-11,,-14.0
Dayton,Dayton,VCU,2021-01-23,6.0,VCU,1.0,,,0.5734,3,,23.0
Georgia Tech,Georgia Tech,Virginia,2021-01-23,8.0,Virginia,1.0,,,0.5732,9,,2.0
Kent St.,Kent St.,Toledo,2021-01-23,4.0,Toledo,1.0,,,0.5728,7,,2.0
Saint Mary's,Saint Mary's,San Francisco,2021-01-23,2.0,San Francisco,1.0,,,0.5716,3,,-4.0
UCLA,UCLA,Stanford,2021-01-23,-4.5,Stanford,1.0,,,0.5626,-1,,1.0
San Jose St.,San Jose St.,New Mexico,2021-01-23,10.0,New Mexico,1.0,,,0.5612,5,,-12.0
UC Davis,UC Davis,UC Davis,2021-01-23,1.5,UC San Diego,0.0,,,0.5575,2,,-7.0
Eastern Illinois,Eastern Illinois,Tennessee St.,2021-01-23,-2.5,Tennessee St.,1.0,,,0.5539999999999999,-2,,11.0
Denver,Denver,North Dakota St.,2021-01-23,14.0,North Dakota St.,1.0,,,0.5522,14,,26.0
Miami OH,Miami OH,Eastern Michigan,2021-01-23,-2.0,Eastern Michigan,1.0,,,0.5504,-1,,-22.0
Purdue Fort Wayne,Purdue Fort Wayne,Purdue Fort Wayne,2021-01-23,2.0,Green Bay,0.0,,,0.5503,1,,15.0
Texas A&M Corpus Chris,Texas A&M Corpus Chris,Incarnate Word,2021-01-23,1.0,Incarnate Word,1.0,,,0.5494,1,,19.0
St. Bonaventure,St. Bonaventure,Duquesne,2021-01-23,-5.5,Duquesne,1.0,,,0.5485,-3,,-4.0
