away_x,away_y,bet,date,draft_kings,home,home_cover,lasso,linear,percent_chance,predict_kp,rf,score
Detroit,Detroit,Youngstown St.,2021-01-29,1.5,Youngstown St.,1.0,,,0.5465,-1,,-3.0
Iowa,Iowa,Iowa,2021-01-29,2.0,Illinois,0.0,,,0.5364,1,,5.0
Illinois Chicago,Illinois Chicago,Northern Kentucky,2021-01-29,2.5,Northern Kentucky,1.0,,,0.5361,2,,4.0
Longwood,Longwood,Presbyterian,2021-01-29,-1.5,Presbyterian,1.0,,,0.5303,-4,,-4.0
Louisiana,Louisiana,Texas St.,2021-01-29,4.0,Texas St.,1.0,,,0.5241,4,,-2.0
Nebraska Omaha,Nebraska Omaha,South Dakota,2021-01-29,8.0,South Dakota,1.0,,,0.5201,8,,32.0
Tarleton St.,Tarleton St.,Tarleton St.,2021-01-29,7.0,Utah Valley,0.0,,,0.5152,8,,13.0
Dixie St.,Dixie St.,Cal Baptist,2021-01-29,9.5,Cal Baptist,1.0,,,0.5112,7,,15.0
Green Bay,Green Bay,Cleveland St.,2021-01-30,4.5,Cleveland St.,1.0,,,0.8491,7,,8.0
Morehead St.,Morehead St.,Morehead St.,2021-01-30,-6.5,Tennessee Tech,0.0,,,0.8485,-6,,-19.0
Clemson,Clemson,Duke,2021-01-30,5.0,Duke,1.0,,,0.8433,4,,26.0
Wyoming,Wyoming,San Diego St.,2021-01-30,17.5,San Diego St.,1.0,,,0.8252,18,,27.0
Hartford,Hartford,Hartford,2021-01-30,2.5,Stony Brook,0.0,,,0.8235,1,,-2.0
Arkansas,Arkansas,Oklahoma St.,2021-01-30,2.0,Oklahoma St.,1.0,,,0.8039,2,,4.0
Mississippi,Mississippi,Georgia,2021-01-30,-3.5,Georgia,1.0,,,0.797,-3,,10.0
Western Illinois,Western Illinois,Western Illinois,2021-01-30,4.5,North Dakota,0.0,,,0.7958,4,,-12.0
Saint Joseph's,Saint Joseph's,Duquesne,2021-01-30,9.5,Duquesne,1.0,,,0.7935,10,,17.0
Appalachian St.,Appalachian St.,Troy,2021-01-30,-3.5,Troy,1.0,,,0.7905,-3,,6.0
New Mexico St.,New Mexico St.,Grand Canyon,2021-01-30,3.0,Grand Canyon,1.0,,,0.7876,2,,12.0
Eastern Illinois,Eastern Illinois,Eastern Illinois,2021-01-30,2.5,Southeast Missouri St.,0.0,,,0.784,1,,31.0
Stanford,Stanford,Arizona St.,2021-01-30,2.0,Arizona St.,1.0,,,0.7715,-3,,4.0
George Mason,George Mason,St. Bonaventure,2021-01-30,10.5,St. Bonaventure,1.0,,,0.7542,11,,17.0
Abilene Christian,Abilene Christian,Abilene Christian,2021-01-30,-15.0,Incarnate Word,0.0,,,0.7524,-14,,-8.0
Merrimack,,Wagner,2021-01-30,4.0,Wagner,1.0,,,0.7508,4,,
UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,2021-01-30,-9.0,UC Davis,0.0,,,0.7467,-8,,-3.0
Hofstra,Hofstra,UNC Wilmington,2021-01-30,-1.5,UNC Wilmington,1.0,,,0.7435,1,,-9.0
UT Arlington,UT Arlington,Arkansas St.,2021-01-30,-3.0,Arkansas St.,1.0,,,0.7345,-1,,-1.0
Dixie St.,Dixie St.,Cal Baptist,2021-01-30,10.0,Cal Baptist,1.0,,,0.7252,9,,-4.0
Minnesota,Minnesota,Purdue,2021-01-30,2.5,Purdue,1.0,,,0.721,2,,19.0
Cal St. Northridge,Cal St. Northridge,Cal Poly,2021-01-30,-3.5,Cal Poly,1.0,,,0.7163,-1,,-13.0
Creighton,Creighton,Creighton,2021-01-30,-9.5,DePaul,0.0,,,0.7132,-10,,-7.0
Louisiana,Louisiana,Louisiana,2021-01-30,3.5,Texas St.,0.0,,,0.7056,3,,-1.0
Weber St.,Weber St.,Weber St.,2021-01-30,-13.0,Idaho,0.0,,,0.7025,-12,,-19.0
North Alabama,North Alabama,North Alabama,2021-01-30,1.5,North Florida,0.0,,,0.7022,-1,,10.0
UCF,UCF,Wichita St.,2021-01-30,5.5,Wichita St.,1.0,,,0.6976,5,,5.0
Louisiana Monroe,Louisiana Monroe,Louisiana Monroe,2021-01-30,10.5,Little Rock,0.0,,,0.6959,10,,16.0
Bucknell,Bucknell,Bucknell,2021-01-30,-1.0,Lehigh,0.0,,,0.6898,-1,,-14.0
Miami FL,Miami FL,Wake Forest,2021-01-30,2.0,Wake Forest,1.0,,,0.6863,2,,12.0
New Hampshire,New Hampshire,New Hampshire,2021-01-30,-6.5,Binghamton,0.0,,,0.6855,-6,,21.0
Sacred Heart,Sacred Heart,Mount St. Mary's,2021-01-30,5.0,Mount St. Mary's,1.0,,,0.6816,6,,-3.0
New Mexico,New Mexico,New Mexico,2021-01-30,6.5,Fresno St.,0.0,,,0.6815,7,,10.0
Rhode Island,Rhode Island,Dayton,2021-01-30,1.5,Dayton,1.0,,,0.6753,1,,11.0
Delaware St.,Delaware St.,Norfolk St.,2021-01-30,13.0,Norfolk St.,1.0,,,0.6738,13,,28.0
Northern Iowa,Northern Iowa,Southern Illinois,2021-01-30,-1.5,Southern Illinois,1.0,,,0.6712,-2,,-12.0
High Point,High Point,High Point,2021-01-30,6.0,Gardner Webb,0.0,,,0.6689,7,,-3.0
FIU,FIU,Charlotte,2021-01-30,6.0,Charlotte,1.0,,,0.6687,5,,3.0
New Orleans,New Orleans,New Orleans,2021-01-30,1.0,Southeastern Louisiana,0.0,,,0.6676,1,,6.0
The Citadel,The Citadel,East Tennessee St.,2021-01-30,10.5,East Tennessee St.,1.0,,,0.6643,11,,28.0
Central Michigan,Central Michigan,Kent St.,2021-01-30,13.5,Kent St.,1.0,,,0.6628,13,,7.0
Illinois Chicago,Illinois Chicago,Northern Kentucky,2021-01-30,2.5,Northern Kentucky,1.0,,,0.6518,2,,2.0
Tulsa,Tulsa,East Carolina,2021-01-30,-3.0,East Carolina,1.0,,,0.6516,-2,,-9.0
Liberty,Liberty,Jacksonville,2021-01-30,-9.5,Jacksonville,1.0,,,0.6466,-10,,-6.0
Robert Morris,Robert Morris,Robert Morris,2021-01-30,14.5,Wright St.,0.0,,,0.6459999999999999,16,,30.0
Houston Baptist,,Houston Baptist,2021-01-30,2.5,Texas A&M Corpus Chris,0.0,,,0.644,2,,
Coastal Carolina,Coastal Carolina,Coastal Carolina,2021-01-30,-3.0,Georgia Southern,0.0,,,0.6378,-5,,3.0
La Salle,La Salle,VCU,2021-01-30,13.5,VCU,1.0,,,0.6305,13,,11.0
Detroit,Detroit,Detroit,2021-01-30,0.0,Youngstown St.,0.0,,,0.6266,-1,,-5.0
Longwood,Longwood,Longwood,2021-01-30,-2.5,Presbyterian,0.0,,,0.6261,-4,,12.0
Tennessee St.,Tennessee St.,Austin Peay,2021-01-30,9.5,Austin Peay,1.0,,,0.6258,8,,15.0
Air Force,Air Force,San Jose St.,2021-01-30,-3.0,San Jose St.,1.0,,,0.6221,-1,,13.0
Morgan St.,Morgan St.,Coppin St.,2021-01-30,-2.0,Coppin St.,1.0,,,0.6209,-1,,-3.0
Quinnipiac,,Quinnipiac,2021-01-30,2.5,Canisius,0.0,,,0.6185,5,,
Colgate,Colgate,Colgate,2021-01-30,-15.0,Holy Cross,0.0,,,0.6178,-15,,-11.0
Kansas,Kansas,Kansas,2021-01-30,3.0,Tennessee,0.0,,,0.6135,2,,19.0
Central Connecticut,Central Connecticut,St. Francis PA,2021-01-30,8.5,St. Francis PA,1.0,,,0.6102,8,,3.0
North Dakota St.,North Dakota St.,North Dakota St.,2021-01-30,-5.0,UMKC,0.0,,,0.6086,-2,,2.0
VMI,VMI,UNC Greensboro,2021-01-30,9.5,UNC Greensboro,1.0,,,0.6076,8,,17.0
Toledo,Toledo,Toledo,2021-01-30,-4.0,Bowling Green,0.0,,,0.6072,-4,,-18.0
Ball St.,Ball St.,Ball St.,2021-01-30,5.0,Akron,0.0,,,0.6062,4,,32.0
Tarleton St.,Tarleton St.,Utah Valley,2021-01-30,7.5,Utah Valley,1.0,,,0.6017,8,,-8.0
Florida,Florida,West Virginia,2021-01-30,4.5,West Virginia,1.0,,,0.5962,4,,-5.0
Mississippi Valley St.,Mississippi Valley St.,Jackson St.,2021-01-30,26.5,Jackson St.,1.0,,,0.5939,23,,50.0
Bellarmine,Bellarmine,Bellarmine,2021-01-30,-8.0,Kennesaw St.,0.0,,,0.5927,-9,,-5.0
Stetson,Stetson,Stetson,2021-01-30,2.0,Florida Gulf Coast,0.0,,,0.5889,1,,-11.0
Elon,Elon,Delaware,2021-01-30,6.0,Delaware,1.0,,,0.5877,2,,23.0
Belmont,Belmont,Murray St.,2021-01-30,-2.5,Murray St.,1.0,,,0.5876,-3,,-1.0
UTSA,UTSA,UTEP,2021-01-30,4.0,UTEP,1.0,,,0.5836,4,,18.0
Southern,Southern,Alcorn St.,2021-01-30,-4.0,Alcorn St.,1.0,,,0.5820000000000001,-3,,-17.0
Loyola Marymount,,San Diego,2021-01-30,-3.5,San Diego,1.0,,,0.5819,-3,,
Florida St.,Florida St.,Georgia Tech,2021-01-30,-4.0,Georgia Tech,1.0,,,0.5813,-3,,11.0
Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,2021-01-30,10.0,Grambling St.,0.0,,,0.5811,11,,3.0
Furman,Furman,Furman,2021-01-30,-9.0,Western Carolina,0.0,,,0.5784,-8,,-6.0
California,California,California,2021-01-30,10.0,Arizona,0.0,,,0.5756,13,,21.0
Oakland,Oakland,Purdue Fort Wayne,2021-01-30,-1.0,Purdue Fort Wayne,1.0,,,0.5747,1,,-7.0
Virginia,Virginia,Virginia,2021-01-30,-4.5,Virginia Tech,0.0,,,0.5717,-3,,14.0
Providence,Providence,Georgetown,2021-01-30,-4.0,Georgetown,1.0,,,0.57,-3,,1.0
McNeese St.,McNeese St.,Lamar,2021-01-30,5.0,Lamar,1.0,,,0.5685,4,,8.0
Mercer,Mercer,Wofford,2021-01-30,4.0,Wofford,1.0,,,0.5682,4,,3.0
Northwestern St.,Northwestern St.,Central Arkansas,2021-01-30,3.5,Central Arkansas,1.0,,,0.5659,3,,-4.0
William & Mary,William & Mary,Towson,2021-01-30,4.5,Towson,1.0,,,0.5642,4,,-10.0
UC Irvine,UC Irvine,Hawaii,2021-01-30,-2.5,Hawaii,1.0,,,0.5635,-5,,1.0
Southern Miss,Southern Miss,Louisiana Tech,2021-01-30,11.5,Louisiana Tech,1.0,,,0.5627,12,,3.0
Gonzaga,Gonzaga,Gonzaga,2021-01-30,-21.0,Pepperdine,0.0,,,0.5625,-21,,-22.0
SIU Edwardsville,SIU Edwardsville,Tennessee Martin,2021-01-30,-4.0,Tennessee Martin,1.0,,,0.5615,-3,,-16.0
Cal St. Fullerton,Cal St. Fullerton,Cal St. Bakersfield,2021-01-30,9.0,Cal St. Bakersfield,1.0,,,0.5574,10,,10.0
Wisconsin,Wisconsin,Wisconsin,2021-01-30,-4.5,Penn St.,0.0,,,0.5571,-2,,10.0
Milwaukee,Milwaukee,Milwaukee,2021-01-30,-3.0,IUPUI,0.0,,,0.5569,-1,,-7.0
Xavier,Xavier,Butler,2021-01-30,0.5,Butler,1.0,,,0.5554,-2,,-13.0
Texas A&M,Texas A&M,Texas A&M,2021-01-30,-2.0,Kansas St.,0.0,,,0.5454,-2,,-7.0
Texas Tech,Texas Tech,Texas Tech,2021-01-30,-3.5,LSU,0.0,,,0.5453,-1,,-5.0
Florida A&M,Florida A&M,North Carolina A&T,2021-01-30,2.5,North Carolina A&T,1.0,,,0.5382,1,,12.0
Notre Dame,Notre Dame,Notre Dame,2021-01-30,4.0,Pittsburgh,0.0,,,0.5362,4,,-26.0
Alabama,Alabama,Oklahoma,2021-01-30,-1.0,Oklahoma,1.0,,,0.5348,-1,,5.0
Nebraska Omaha,Nebraska Omaha,South Dakota,2021-01-30,10.0,South Dakota,1.0,,,0.5306,10,,4.0
Utah,Utah,Colorado,2021-01-30,8.5,Colorado,1.0,,,0.5291,9,,-3.0
Loyola MD,Loyola MD,Navy,2021-01-30,3.5,Navy,1.0,,,0.528,7,,18.0
Lafayette,,Lafayette,2021-01-30,0.0,American,0.0,,,0.522,1,,
Auburn,Auburn,Auburn,2021-01-30,14.5,Baylor,0.0,,,0.5219,16,,12.0
Alabama A&M,Alabama A&M,Alabama A&M,2021-01-30,8.5,Prairie View A&M,0.0,,,0.5218,7,,22.0
Iowa St.,Iowa St.,Mississippi St.,2021-01-30,9.5,Mississippi St.,1.0,,,0.5206,6,,39.0
Western Michigan,Western Michigan,Western Michigan,2021-01-30,9.5,Miami OH,0.0,,,0.5197,9,,9.0
LIU,LIU,LIU,2021-01-30,-1.0,St. Francis NY,0.0,,,0.5197,1,,-14.0
TCU,TCU,Missouri,2021-01-30,10.0,Missouri,1.0,,,0.5125,9,,4.0
Siena,Siena,Siena,2021-01-30,-6.0,Marist,0.0,,,0.5089,-5,,1.0
Alabama St.,Alabama St.,Alabama St.,2021-01-30,14.0,Texas Southern,0.0,,,0.5077,14,,7.0
Oregon St.,Oregon St.,Oregon St.,2021-01-30,11.5,UCLA,0.0,,,0.5072,11,,5.0
South Carolina,South Carolina,South Carolina,2021-01-30,-4.0,Vanderbilt,0.0,,,0.5063,-5,,12.0
Hartford,Hartford,Hartford,2021-01-31,3.0,Stony Brook,0.0,,,0.8113,1,,14.0
Illinois St.,Illinois St.,Drake,2021-01-31,18.5,Drake,1.0,,,0.7674,18,,2.0
Rice,,North Texas,2021-01-31,11.5,North Texas,1.0,,,0.7392,9,,
Tulane,Tulane,Tulane,2021-01-31,7.5,Temple,0.0,,,0.7027,7,,-17.0
Michigan St.,Michigan St.,Michigan St.,2021-01-31,6.5,Ohio St.,0.0,,,0.695,9,,17.0
Siena,Siena,Marist,2021-01-31,-6.0,Marist,1.0,,,0.6658,-5,,-13.0
UNLV,UNLV,Nevada,2021-01-31,2.5,Nevada,1.0,,,0.6643,2,,29.0
Colgate,Colgate,Holy Cross,2021-01-31,-14.5,Holy Cross,1.0,,,0.637,-15,,-18.0
St. John's,St. John's,Marquette,2021-01-31,4.5,Marquette,1.0,,,0.6277,4,,-2.0
Morgan St.,,Morgan St.,2021-01-31,-2.5,Coppin St.,0.0,,,0.6245,-2,,
Quinnipiac,,Quinnipiac,2021-01-31,3.0,Canisius,0.0,,,0.6181,4,,
Bradley,,Indiana St.,2021-01-31,-1.0,Indiana St.,1.0,,,0.6167,1,,
Northern Iowa,Northern Iowa,Southern Illinois,2021-01-31,-2.5,Southern Illinois,1.0,,,0.6163,-2,,3.0
Florida A&M,Florida A&M,North Carolina A&T,2021-01-31,2.5,North Carolina A&T,1.0,,,0.6048,2,,2.0
Sacramento St.,Sacramento St.,Eastern Washington,2021-01-31,9.5,Eastern Washington,1.0,,,0.6012,8,,8.0
Middle Tennessee,Middle Tennessee,UAB,2021-01-31,14.5,UAB,1.0,,,0.6002,15,,11.0
Elon,Elon,Delaware,2021-01-31,6.5,Delaware,1.0,,,0.5883,5,,5.0
Central Connecticut,Central Connecticut,Central Connecticut,2021-01-31,7.5,St. Francis PA,0.0,,,0.5721,7,,-8.0
Washington St.,Washington St.,Washington,2021-01-31,2.5,Washington,1.0,,,0.5662,3,,-15.0
N.C. State,N.C. State,Syracuse,2021-01-31,5.0,Syracuse,1.0,,,0.5624,5,,3.0
New Hampshire,New Hampshire,Binghamton,2021-01-31,-4.0,Binghamton,1.0,,,0.5522,-3,,-6.0
Sam Houston St.,Sam Houston St.,Sam Houston St.,2021-01-31,6.0,Stephen F. Austin,0.0,,,0.5519,4,,10.0
Navy,,Loyola MD,2021-01-31,-3.0,Loyola MD,1.0,,,0.5483,-4,,
Loyola Chicago,Loyola Chicago,Loyola Chicago,2021-01-31,-6.5,Missouri St.,0.0,,,0.5468,-8,,-26.0
Valparaiso,Valparaiso,Valparaiso,2021-01-31,-1.5,Evansville,0.0,,,0.5447,-2,,18.0
Lehigh,Lehigh,Bucknell,2021-01-31,5.5,Bucknell,1.0,,,0.5404,6,,24.0
Sacred Heart,Sacred Heart,Sacred Heart,2021-01-31,5.0,Mount St. Mary's,0.0,,,0.5223,5,,12.0
William & Mary,William & Mary,William & Mary,2021-01-31,3.5,Towson,0.0,,,0.5167,2,,-1.0
SMU,SMU,Houston,2021-01-31,10.0,Houston,1.0,,,0.5111,10,,22.0
Drexel,Drexel,Drexel,2021-01-31,2.5,James Madison,0.0,,,0.5067,-1,,9.0
Hofstra,Hofstra,Hofstra,2021-01-31,-2.0,UNC Wilmington,0.0,,,0.5006,-1,,-6.0
Loyola Chicago,Loyola Chicago,Loyola Chicago,2021-02-01,-7.5,Missouri St.,0.0,,,0.7441,-10,,-20.0
Alabama A&M,Alabama A&M,Alabama A&M,2021-02-01,7.5,Texas Southern,0.0,,,0.6945,9,,17.0
The Citadel,The Citadel,Western Carolina,2021-02-01,6.5,Western Carolina,1.0,,,0.6604,5,,1.0
Georgia Tech,Georgia Tech,Louisville,2021-02-01,4.0,Louisville,1.0,,,0.6351,3,,16.0
Sacramento St.,Sacramento St.,Sacramento St.,2021-02-01,9.5,Eastern Washington,0.0,,,0.6284,8,,15.0
Austin Peay,Austin Peay,SIU Edwardsville,2021-02-01,-6.0,SIU Edwardsville,1.0,,,0.6241,-2,,-15.0
Alabama St.,Alabama St.,Prairie View A&M,2021-02-01,16.0,Prairie View A&M,1.0,,,0.6203,13,,24.0
Mississippi Valley St.,Mississippi Valley St.,Grambling St.,2021-02-01,24.5,Grambling St.,1.0,,,0.6194,21,,13.0
East Tennessee St.,East Tennessee St.,Wofford,2021-02-01,1.5,Wofford,1.0,,,0.6092,3,,5.0
Valparaiso,Valparaiso,Evansville,2021-02-01,2.5,Evansville,1.0,,,0.6018,1,,7.0
Murray St.,Murray St.,Murray St.,2021-02-01,-8.0,Southeast Missouri St.,0.0,,,0.5663,-5,,-17.0
UCF,UCF,Memphis,2021-02-01,8.5,Memphis,1.0,,,0.5557,7,,27.0
Bradley,Bradley,Indiana St.,2021-02-01,-1.0,Indiana St.,1.0,,,0.5537,1,,12.0
Oklahoma,Oklahoma,Texas Tech,2021-02-01,6.5,Texas Tech,1.0,,,0.5461,3,,5.0
Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,2021-02-01,11.5,Jackson St.,0.0,,,0.5419,12,,8.0
Duke,Duke,Duke,2021-02-01,-11.0,Miami FL,0.0,,,0.5368,-8,,2.0
Illinois St.,Illinois St.,Illinois St.,2021-02-01,17.5,Drake,0.0,,,0.5246,16,,35.0
South Carolina St.,South Carolina St.,South Carolina St.,2021-02-01,16.5,North Carolina Central,0.0,,,0.5099,15,,14.0
Kansas St.,Kansas St.,Kansas,2021-02-02,18.0,Kansas,1.0,,,0.7533,18,,23.0
BYU,,BYU,2021-02-02,-11.0,San Diego,0.0,,,0.7407,-10,,
Baylor,Baylor,Baylor,2021-02-02,-5.5,Texas,0.0,,,0.7324,-5,,-14.0
Illinois,Illinois,Indiana,2021-02-02,-2.5,Indiana,1.0,,,0.7293,-2,,-4.0
USC,USC,Stanford,2021-02-02,-2.0,Stanford,1.0,,,0.7035,-1,,-6.0
Michigan St.,Michigan St.,Michigan St.,2021-02-02,9.5,Iowa,0.0,,,0.6825,11,,6.0
South Carolina St.,South Carolina St.,South Carolina St.,2021-02-02,17.0,North Carolina Central,0.0,,,0.6659,15,,1.0
Morgan St.,Morgan St.,Morgan St.,2021-02-02,-2.0,Coppin St.,0.0,,,0.6436,-2,,-13.0
North Carolina,North Carolina,Clemson,2021-02-02,-2.5,Clemson,1.0,,,0.6315,-1,,13.0
West Virginia,West Virginia,Iowa St.,2021-02-02,-11.5,Iowa St.,1.0,,,0.6257,-10,,-4.0
Georgia,Georgia,Georgia,2021-02-02,8.5,Auburn,0.0,,,0.6151,8,,-5.0
Purdue,Purdue,Maryland,2021-02-02,2.5,Maryland,1.0,,,0.6132,-1,,1.0
Akron,Akron,Akron,2021-02-02,5.5,Toledo,0.0,,,0.609,7,,15.0
Miami OH,Miami OH,Miami OH,2021-02-02,8.5,Kent St.,0.0,,,0.5985,7,,9.0
Ohio,Ohio,Central Michigan,2021-02-02,-9.0,Central Michigan,1.0,,,0.5737,-7,,-14.0
Buffalo,Buffalo,Ball St.,2021-02-02,-4.5,Ball St.,1.0,,,0.5706,-2,,-20.0
Butler,Butler,Marquette,2021-02-02,3.5,Marquette,1.0,,,0.5583,5,,3.0
Mississippi St.,Mississippi St.,Mississippi St.,2021-02-02,7.5,Arkansas,0.0,,,0.5573,6,,16.0
Tennessee,Tennessee,Tennessee,2021-02-02,-3.5,Mississippi,0.0,,,0.5536,-5,,2.0
Dayton,Dayton,Dayton,2021-02-02,-1.5,Duquesne,0.0,,,0.5496,-1,,5.0
Penn St.,Penn St.,Wisconsin,2021-02-02,8.5,Wisconsin,1.0,,,0.5422,6,,16.0
UNLV,UNLV,Nevada,2021-02-02,4.5,Nevada,1.0,,,0.523,5,,10.0
Eastern Kentucky,Eastern Kentucky,Jacksonville St.,2021-02-02,2.0,Jacksonville St.,1.0,,,0.5167,-1,,-4.0
Eastern Illinois,Eastern Illinois,Eastern Illinois,2021-02-02,3.0,SIU Edwardsville,0.0,,,0.5097,3,,-9.0
Wake Forest,Wake Forest,Notre Dame,2021-02-02,5.5,Notre Dame,1.0,,,0.5064,7,,21.0
Kentucky,Kentucky,Missouri,2021-02-03,4.5,Missouri,1.0,,,0.9028,4,,5.0
Houston,Houston,Houston,2021-02-03,-16.0,East Carolina,0.0,,,0.8327,-16,,9.0
VCU,VCU,Rhode Island,2021-02-03,-1.5,Rhode Island,1.0,,,0.7959,1,,-1.0
San Diego St.,,San Diego St.,2021-02-03,-19.5,New Mexico,0.0,,,0.7742,-19,,
Fordham,Fordham,Fordham,2021-02-03,13.5,Massachusetts,0.0,,,0.6644,12,,6.0
Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,2021-02-03,-13.0,Texas A&M Corpus Chris,0.0,,,0.643,-10,,-9.0
Incarnate Word,Incarnate Word,Incarnate Word,2021-02-03,5.5,Lamar,0.0,,,0.6274,3,,-9.0
Tulane,Tulane,Tulane,2021-02-03,11.5,Wichita St.,0.0,,,0.6129,11,,8.0
Saint Louis,Saint Louis,Saint Louis,2021-02-03,-11.5,La Salle,0.0,,,0.6111,-10,,7.0
UCF,UCF,Memphis,2021-02-03,11.0,Memphis,1.0,,,0.6104,9,,14.0
LSU,LSU,LSU,2021-02-03,8.5,Alabama,0.0,,,0.6103,7,,18.0
VMI,VMI,Wofford,2021-02-03,8.0,Wofford,1.0,,,0.5988,7,,-4.0
SMU,SMU,Tulsa,2021-02-03,-3.0,Tulsa,1.0,,,0.5943,-1,,-2.0
Georgetown,Georgetown,Georgetown,2021-02-03,14.0,Creighton,0.0,,,0.5931,14,,-7.0
Western Michigan,Western Michigan,Western Michigan,2021-02-03,12.5,Bowling Green,0.0,,,0.5724,12,,-6.0
Virginia Tech,Virginia Tech,Pittsburgh,2021-02-03,-3.5,Pittsburgh,1.0,,,0.5689,-5,,11.0
East Tennessee St.,East Tennessee St.,Mercer,2021-02-03,1.5,Mercer,1.0,,,0.5423,1,,-6.0
Chattanooga,Chattanooga,Chattanooga,2021-02-03,1.5,Western Carolina,0.0,,,0.5381,-1,,-7.0
UNC Greensboro,UNC Greensboro,UNC Greensboro,2021-02-03,-11.0,The Citadel,0.0,,,0.5374,-10,,-19.0
Elon,Elon,Elon,2021-02-03,8.0,James Madison,0.0,,,0.5308,6,,21.0
South Carolina,South Carolina,South Carolina,2021-02-03,8.0,Florida,0.0,,,0.5181,9,,-6.0
Oklahoma St.,Oklahoma St.,TCU,2021-02-03,-4.5,TCU,1.0,,,0.5159,-5,,3.0
Virginia,Virginia,N.C. State,2021-02-03,-6.5,N.C. State,1.0,,,0.5019,-6,,-7.0
Villanova,Villanova,St. John's,2021-02-03,-9.5,St. John's,1.0,,,0.5011,-8,,11.0
Montana,Montana,Montana,2021-02-04,-1.0,Portland St.,0.0,,,0.7683,-4,,-6.0
BYU,BYU,BYU,2021-02-04,-19.0,Portland,0.0,,,0.7271,-18,,-45.0
Ohio St.,Ohio St.,Ohio St.,2021-02-04,5.5,Iowa,0.0,,,0.6828,4,,-4.0
Montana St.,Montana St.,Montana St.,2021-02-04,7.5,Weber St.,0.0,,,0.6644,3,,8.0
Arizona,Arizona,Utah,2021-02-04,-1.5,Utah,1.0,,,0.6588,-3,,15.0
Washington,Washington,Oregon St.,2021-02-04,6.0,Oregon St.,1.0,,,0.6381,4,,20.0
Tennessee Tech,Tennessee Tech,Tennessee Tech,2021-02-04,4.0,Southeast Missouri St.,0.0,,,0.6291,4,,4.0
Stanford,Stanford,California,2021-02-04,-6.0,California,1.0,,,0.6229,-7,,-15.0
Murray St.,Murray St.,Morehead St.,2021-02-04,-2.5,Morehead St.,1.0,,,0.6073,1,,10.0
Gonzaga,Gonzaga,Gonzaga,2021-02-04,-23.5,Pacific,0.0,,,0.6005,-20,,-18.0
Tennessee St.,Tennessee St.,Tennessee St.,2021-02-04,1.0,SIU Edwardsville,0.0,,,0.5992,2,,8.0
St. Francis PA,St. Francis PA,St. Francis PA,2021-02-04,3.0,Merrimack,0.0,,,0.5862,1,,6.0
Presbyterian,Presbyterian,Presbyterian,2021-02-04,9.5,Gardner Webb,0.0,,,0.5699,10,,6.0
Utah St.,Utah St.,Utah St.,2021-02-04,-11.0,Fresno St.,0.0,,,0.5643,-9,,-16.0
Colorado St.,Colorado St.,Colorado St.,2021-02-04,-8.0,Wyoming,0.0,,,0.5612,-9,,-2.0
Austin Peay,Austin Peay,Eastern Kentucky,2021-02-04,2.5,Eastern Kentucky,1.0,,,0.5424,6,,-15.0
Mount St. Mary's,,Mount St. Mary's,2021-02-04,6.5,Bryant,0.0,,,0.5334,5,,
USC Upstate,USC Upstate,Radford,2021-02-04,9.0,Radford,1.0,,,0.5323,8,,2.0
Washington St.,Washington St.,Washington St.,2021-02-04,11.5,Oregon,0.0,,,0.532,12,,-3.0
Belmont,Belmont,Eastern Illinois,2021-02-04,-14.5,Eastern Illinois,1.0,,,0.5249,-12,,-28.0
Jacksonville St.,Jacksonville St.,Tennessee Martin,2021-02-04,-10.0,Tennessee Martin,1.0,,,0.5244,-9,,-12.0
Wagner,Wagner,St. Francis NY,2021-02-04,3.0,St. Francis NY,1.0,,,0.5086,1,,-7.0
Eastern Washington,Eastern Washington,Eastern Washington,2021-02-04,-15.0,Idaho,0.0,,,0.5016,-16,,-14.0
Cal Baptist,Cal Baptist,New Mexico St.,2021-02-05,10.5,New Mexico St.,1.0,,,0.8059999999999999,11,,-10.0
UTEP,UTEP,UAB,2021-02-05,7.0,UAB,1.0,,,0.8,8,,12.0
Wright St.,Wright St.,Wright St.,2021-02-05,-10.5,Illinois Chicago,0.0,,,0.7975,-11,,-25.0
George Mason,George Mason,Dayton,2021-02-05,6.0,Dayton,1.0,,,0.7825,8,,9.0
Coastal Carolina,Coastal Carolina,South Alabama,2021-02-05,-1.0,South Alabama,1.0,,,0.7179,-2,,6.0
Little Rock,Little Rock,Texas St.,2021-02-05,3.0,Texas St.,1.0,,,0.7132,3,,10.0
Southern Miss,Southern Miss,Southern Miss,2021-02-05,4.0,Rice,0.0,,,0.6859,5,,26.0
Charlotte,Charlotte,Charlotte,2021-02-05,-4.0,Middle Tennessee,0.0,,,0.6727,-4,,1.0
North Alabama,North Alabama,North Alabama,2021-02-05,2.0,Florida Gulf Coast,0.0,,,0.6699,1,,26.0
Purdue Fort Wayne,Purdue Fort Wayne,Purdue Fort Wayne,2021-02-05,7.0,Detroit,0.0,,,0.6578,7,,10.0
UC Davis,UC Davis,Cal St. Northridge,2021-02-05,-2.5,Cal St. Northridge,1.0,,,0.6542,-3,,3.0
