team,off,def,tempo,luck
Gonzaga,121.4,90.5,76.9,0.049
Baylor,119.0,88.4,69.7,0.013
Villanova,118.7,91.9,64.9,0.026
Wisconsin,113.4,88.3,66.8,-0.039
Iowa,120.8,96.4,72.5,-0.073
Illinois,116.4,92.5,72.8,-0.048
Kansas,112.2,88.3,69.8,0.153
Houston,112.4,89.2,67.2,0.066
Tennessee,110.2,87.1,67.6,0.061
Texas,110.8,87.9,69.1,0.055
Texas Tech,108.0,85.4,67.1,-0.049
Duke,111.5,89.8,70.6,-0.027
West Virginia,111.8,90.2,68.5,0.077
Creighton,114.2,92.7,72.3,-0.042
Michigan,113.3,91.8,69.3,0.021
Ohio St.,114.0,93.5,67.2,-0.01
Oregon,111.6,91.4,70.0,0.037
Rutgers,110.2,90.1,71.3,0.05
Virginia,109.2,89.1,60.9,-0.061
Clemson,106.3,86.6,68.1,0.007
North Carolina,109.7,90.2,72.1,-0.07
Florida,110.2,90.9,71.4,0.017
Indiana,108.2,89.0,68.0,-0.091
San Diego St.,109.4,90.5,66.8,0.026
Florida St.,110.2,91.6,70.5,0.078
Minnesota,111.1,92.9,73.9,0.157
Syracuse,109.5,91.3,72.7,0.059
UCLA,112.5,94.3,66.3,0.005
Saint Louis,110.1,92.0,69.5,0.018
Louisville,109.3,91.2,66.7,0.223
Colorado,111.0,92.9,68.7,-0.042
Purdue,110.1,92.4,68.3,0.043
Mississippi,105.7,88.0,69.3,-0.063
USC,109.4,91.8,68.9,-0.054
Stanford,106.3,88.8,71.2,0.019
Arkansas,109.4,92.0,72.8,0.083
LSU,115.5,98.1,70.8,-0.003
Arizona,110.4,93.1,70.0,0.04
Maryland,112.8,95.5,67.4,-0.033
Virginia Tech,110.0,92.7,66.6,0.121
Missouri,108.5,91.5,69.6,0.133
N.C. State,108.9,92.1,73.0,-0.005
Oklahoma,112.1,95.3,70.8,0.004
Loyola Chicago,109.1,92.8,68.1,-0.109
Xavier,111.3,95.0,69.2,0.122
Oklahoma St.,107.6,91.4,73.2,-0.054
Connecticut,109.6,93.4,67.6,-0.05
SMU,110.2,94.0,70.4,0.045
Michigan St.,110.9,95.1,73.0,0.096
Seton Hall,109.8,94.2,69.7,-0.052
Kentucky,106.1,90.6,70.0,-0.324
Marquette,111.8,96.3,69.0,-0.091
Northwestern,108.4,93.1,70.9,0.014
Penn St.,110.3,95.1,70.0,-0.085
Alabama,109.4,94.4,73.9,-0.038
Arizona St.,109.5,95.6,75.5,0.063
VCU,104.3,90.7,72.0,-0.03
Richmond,109.8,96.2,71.8,0.084
