team,off,def,tempo,luck
Gonzaga,117.9,88.6,75.6,0.083
Baylor,116.3,87.2,69.7,0.003
Villanova,116.3,90.5,65.9,0.049
Iowa,118.8,94.4,74.1,0.01
West Virginia,110.9,87.3,70.9,-0.049
Wisconsin,110.6,87.1,67.6,-0.03
Texas,109.4,86.2,69.7,0.021
Kansas,109.3,86.5,72.2,0.167
Texas Tech,107.1,84.6,67.2,-0.099
Illinois,111.8,89.8,73.6,-0.043
Tennessee,108.2,86.2,67.7,0.161
Duke,111.0,89.0,71.1,-0.027
Houston,111.4,89.6,68.9,0.124
Florida St.,110.0,88.6,70.6,0.096
Creighton,115.4,94.0,72.0,-0.136
Michigan,112.0,91.0,70.0,0.024
Indiana,108.2,87.5,70.0,-0.051
Virginia,106.9,86.3,62.1,-0.088
Rutgers,108.0,87.6,71.1,0.001
Michigan St.,111.7,91.4,74.1,0.016
Clemson,105.7,85.7,68.9,0.014
Louisville,109.7,89.8,69.1,0.084
Oregon,110.6,90.9,70.7,0.019
Ohio St.,110.7,91.1,68.2,0.043
Florida,109.3,89.7,72.2,0.017
UCLA,110.8,91.7,67.3,0.062
North Carolina,108.4,89.4,72.3,-0.023
Saint Louis,109.1,90.4,70.0,0.085
San Diego St.,108.0,89.4,67.9,0.017
Syracuse,107.9,89.5,72.6,0.039
Purdue,108.9,90.6,69.4,0.002
LSU,114.4,96.0,71.6,-0.056
Colorado,106.7,89.0,70.1,-0.065
Stanford,105.4,87.7,71.5,-0.061
Arkansas,108.0,90.3,72.5,0.055
Missouri,109.1,91.7,70.2,0.09
Oklahoma,111.4,94.0,72.0,0.099
Mississippi,105.0,87.7,69.7,0.008
USC,108.2,91.0,69.5,-0.054
Kentucky,106.4,89.5,70.7,-0.318
Virginia Tech,108.3,91.4,67.0,0.188
Marquette,109.0,92.2,69.3,-0.046
N.C. State,108.6,91.9,72.8,-0.097
Arizona,106.8,90.1,70.5,0.111
Penn St.,108.7,92.5,70.9,-0.108
Connecticut,109.0,92.8,68.0,0.101
Seton Hall,109.2,93.0,69.8,-0.025
SMU,109.0,92.9,71.1,0.045
Xavier,109.6,93.7,69.4,0.178
Oklahoma St.,106.3,90.3,74.2,-0.01
Maryland,109.5,93.7,68.3,-0.032
Alabama,108.7,93.0,74.8,0.029
Richmond,108.7,93.4,72.9,0.112
VCU,104.0,88.9,71.1,-0.08
Minnesota,107.4,92.4,73.9,0.166
Loyola Chicago,106.7,91.8,69.2,-0.003
Memphis,103.3,88.7,75.5,-0.101
Arizona St.,108.5,94.6,75.8,0.063
TCU,105.5,92.1,67.3,0.055
Dayton,107.2,94.2,68.5,-0.016
Providence,107.8,94.9,68.5,0.1
Miami FL,103.8,91.1,71.0,-0.024
Utah,107.0,94.6,69.3,0.119
Butler,106.4,94.0,68.6,0.178
Saint Mary's,107.2,94.8,65.3,0.104
Furman,108.4,96.0,69.9,-0.233
Cincinnati,104.5,92.2,71.2,-0.081
Northwestern,104.8,92.6,72.6,-0.201
South Carolina,104.9,92.8,73.4,-0.01
San Francisco,106.4,95.1,71.4,-0.11
Georgia Tech,106.1,95.1,69.1,-0.118
St. Bonaventure,107.0,95.9,70.9,0.0
Rhode Island,105.2,94.1,72.2,-0.16
Pittsburgh,102.8,91.9,72.4,0.06
Auburn,105.8,94.9,71.9,0.146
Notre Dame,108.4,98.4,68.6,0.064
BYU,104.2,94.3,71.9,0.083
Mississippi St.,106.7,96.8,66.6,-0.073
Texas A&M,102.3,92.4,69.1,0.095
Western Kentucky,107.6,98.0,70.1,0.159
DePaul,104.4,94.8,72.4,0.0
Davidson,108.5,99.1,65.0,-0.13
Marshall,105.3,96.0,75.2,-0.042
Duquesne,104.9,95.5,71.0,-0.033
Utah St.,103.3,94.5,71.1,-0.046
Northern Iowa,105.9,97.1,71.3,-0.038
UAB,102.9,94.3,73.2,0.032
Iowa St.,106.4,98.0,71.3,-0.132
Vermont,103.6,95.1,69.2,0.0
Boise St.,104.1,96.0,70.7,0.049
St. John's,105.7,97.7,75.5,0.021
South Dakota St.,108.2,100.3,72.4,0.08
Georgia,103.3,95.5,74.0,0.099
Wichita St.,103.5,96.1,69.1,0.054
Georgetown,103.8,96.4,72.5,-0.037
Toledo,106.4,99.2,68.8,-0.025
South Florida,100.7,93.5,69.7,0.163
Tulsa,101.0,93.8,68.9,-0.204
North Texas,102.3,95.4,67.7,-0.166
Boston College,103.8,97.0,73.1,-0.049
Yale,105.4,98.5,70.7,0.0
Murray St.,103.3,96.5,69.9,-0.107
Pepperdine,105.7,99.0,72.3,-0.18
Wright St.,101.3,94.8,72.4,0.002
New Mexico St.,103.1,96.6,68.2,0.0
Washington,98.9,92.6,70.8,-0.206
Georgia St.,105.4,99.4,73.8,0.207
Colorado St.,106.7,100.7,71.2,0.0
Ohio,103.2,97.2,71.6,-0.109
Massachusetts,105.3,99.4,73.1,-0.147
Winthrop,105.1,99.3,74.4,0.09
Belmont,102.9,97.2,73.8,0.037
UCF,99.5,94.0,69.9,0.145
Liberty,103.3,97.9,65.1,-0.094
Old Dominion,102.4,97.1,70.4,0.103
Bradley,100.6,95.3,69.0,-0.125
Santa Clara,98.3,93.2,70.6,0.046
UNC Greensboro,100.5,95.4,72.0,-0.047
Nebraska,101.1,96.1,74.9,-0.101
Drake,103.6,98.8,69.8,0.007
George Mason,102.8,98.2,68.8,-0.05
Buffalo,103.1,98.6,74.5,-0.154
Abilene Christian,97.6,93.2,70.6,-0.014
Nevada,101.9,97.6,72.0,0.159
Louisiana Tech,102.1,97.9,70.9,0.102
Wake Forest,102.4,98.2,70.7,0.138
East Carolina,100.0,96.2,70.0,0.144
UC Santa Barbara,102.1,98.3,68.4,-0.114
Vanderbilt,100.9,97.2,70.2,-0.009
Oregon St.,102.5,98.8,68.6,-0.231
Wofford,102.8,99.6,68.7,-0.233
Ball St.,101.2,98.2,70.4,0.059
Pacific,99.6,96.8,67.4,0.198
Eastern Washington,101.6,98.9,73.6,-0.15
California,99.7,96.9,66.9,0.037
Loyola Marymount,101.3,98.9,69.9,0.053
UNLV,102.8,100.4,70.7,-0.065
Little Rock,102.6,100.4,70.9,0.035
Siena,101.0,98.8,69.9,0.0
Princeton,102.3,100.4,69.4,0.0
Indiana St.,102.6,100.7,70.1,-0.005
Kent St.,102.0,100.2,71.9,-0.054
Grand Canyon,100.7,98.9,68.4,-0.082
Akron,101.2,99.5,72.7,0.0
Colgate,103.2,101.6,70.5,0.0
Kansas St.,99.6,98.3,66.5,0.158
Temple,98.3,97.0,72.4,0.0
Mercer,101.9,100.8,72.7,0.051
Washington St.,95.7,94.8,70.4,0.036
Montana,97.6,96.7,69.1,-0.124
Fresno St.,99.8,99.1,68.8,0.0
Harvard,100.2,99.6,70.8,0.0
UC Riverside,96.6,96.3,67.8,-0.087
Drexel,100.2,100.0,67.8,0.011
Hofstra,101.5,101.3,71.3,0.053
Texas St.,97.8,97.6,67.4,0.168
UC Irvine,96.8,96.7,70.3,-0.08
UTEP,96.9,96.8,70.0,-0.072
Valparaiso,98.2,98.4,71.5,-0.219
