team,off,def,tempo,luck
Gonzaga,117.7,88.4,75.6,0.083
Baylor,116.2,87.1,70.1,0.003
Villanova,115.2,89.9,66.0,0.065
Iowa,118.8,94.3,74.5,0.01
Texas,109.7,85.8,69.5,0.025
West Virginia,110.8,87.3,71.0,-0.049
Wisconsin,109.9,87.0,67.3,-0.047
Texas Tech,107.6,84.9,68.2,-0.032
Kansas,109.6,87.0,73.0,0.131
Houston,111.3,89.4,68.9,0.124
Creighton,113.1,91.5,72.7,-0.111
Duke,110.2,88.6,72.7,-0.074
Florida St.,109.5,88.4,71.5,0.146
Michigan,111.9,90.9,70.3,0.024
Indiana,108.2,87.4,70.1,-0.051
Illinois,111.3,90.7,72.5,-0.064
Tennessee,107.3,86.7,69.1,0.0
Virginia,106.7,86.2,62.2,-0.088
Clemson,106.3,85.7,68.5,0.08
Michigan St.,111.6,91.4,73.9,0.016
Ohio St.,111.3,91.0,68.2,0.113
Louisville,109.6,89.7,69.2,0.084
Florida,109.2,89.7,72.2,0.017
Oregon,110.7,91.2,70.7,0.016
North Carolina,108.4,89.3,72.5,-0.023
UCLA,110.8,91.7,67.3,0.062
Syracuse,109.0,90.0,73.0,-0.003
Rutgers,107.1,88.1,71.5,0.002
San Diego St.,107.8,89.1,68.1,0.017
LSU,114.5,96.2,71.2,-0.078
Stanford,105.1,87.0,72.0,-0.125
Purdue,109.0,91.0,69.3,-0.038
Arkansas,107.8,90.2,72.7,0.055
Oklahoma,111.7,94.2,72.3,0.079
N.C. State,109.2,91.8,71.6,0.0
Saint Louis,108.2,90.9,69.7,0.082
Mississippi,106.2,89.0,70.5,0.004
Missouri,108.9,91.7,70.4,0.09
USC,108.0,90.9,69.7,-0.054
Maryland,109.9,92.8,69.0,0.005
Kentucky,106.3,89.4,70.5,-0.318
Marquette,107.5,90.6,70.9,-0.044
Minnesota,108.1,91.6,72.9,0.1
Oklahoma St.,106.4,89.9,72.8,0.075
Arizona,106.6,90.2,70.7,0.111
Arizona St.,110.2,93.9,75.6,0.088
Virginia Tech,108.1,91.8,66.9,0.172
Connecticut,108.8,92.7,68.2,0.101
Penn St.,108.6,92.4,71.1,-0.108
Xavier,109.6,93.5,69.8,0.178
Alabama,107.7,91.8,75.8,-0.033
Loyola Chicago,106.6,91.0,68.9,0.09
SMU,109.1,93.6,71.3,0.055
Colorado,106.0,90.6,70.0,-0.059
Seton Hall,108.8,93.5,70.1,-0.064
Memphis,103.0,87.9,75.2,-0.152
Miami FL,105.4,90.8,71.2,-0.043
Richmond,108.0,93.4,73.4,0.123
VCU,103.0,88.7,71.7,-0.081
Utah,107.5,94.1,69.5,0.075
Cincinnati,104.3,91.1,71.2,-0.008
Butler,106.0,92.8,68.1,0.0
TCU,105.0,91.9,66.6,0.01
Providence,107.8,94.8,68.6,0.1
Dayton,107.0,94.1,68.6,-0.016
Saint Mary's,106.4,93.7,65.4,0.083
Furman,107.3,95.0,70.8,-0.138
South Carolina,104.8,92.7,73.5,-0.01
Northwestern,104.6,92.6,72.8,-0.201
Davidson,109.7,98.1,65.7,-0.12
Georgia Tech,106.0,94.5,70.1,-0.137
San Francisco,106.5,95.2,71.6,-0.084
St. Bonaventure,107.0,95.9,69.7,0.0
Rhode Island,105.0,94.0,72.4,-0.16
Auburn,105.5,94.8,72.7,0.186
Notre Dame,107.9,97.4,70.0,0.071
Marshall,105.7,95.4,74.6,0.0
Iowa St.,107.4,97.3,70.7,-0.089
BYU,104.1,94.1,72.1,0.083
Texas A&M,102.2,92.3,70.5,0.107
Mississippi St.,106.2,96.4,67.6,-0.093
Western Kentucky,107.5,97.9,70.3,0.159
DePaul,104.3,94.7,72.6,0.0
Duquesne,104.7,95.4,71.1,-0.033
Pittsburgh,102.5,93.4,72.3,0.067
St. John's,105.6,96.7,75.6,-0.002
Utah St.,103.2,94.4,71.2,-0.046
Northern Iowa,105.8,97.1,71.5,-0.038
Vermont,103.5,95.0,69.4,0.0
Boise St.,104.0,95.9,71.0,0.049
South Dakota St.,108.2,100.2,72.7,0.08
Washington,100.1,92.2,70.7,-0.188
Tulsa,100.6,92.8,69.8,-0.16
Georgia,103.1,95.5,74.4,0.099
Georgetown,103.8,96.4,72.8,-0.037
UAB,102.6,95.4,72.3,0.05
Boston College,103.8,96.8,73.4,-0.049
Murray St.,103.3,96.4,70.2,-0.107
Yale,105.3,98.4,70.8,0.0
Wichita St.,102.4,95.7,70.2,-0.024
Wright St.,101.3,94.6,72.8,0.002
Pepperdine,105.5,98.9,72.4,-0.18
Belmont,103.9,97.3,74.3,0.043
New Mexico St.,103.0,96.5,68.4,0.0
South Florida,99.7,93.3,69.9,0.11
North Texas,101.9,95.7,67.8,-0.287
Toledo,105.7,99.6,68.3,-0.063
Ohio,103.0,97.1,72.0,-0.109
Georgia St.,104.5,98.6,74.2,0.184
UNC Greensboro,101.7,95.8,72.6,-0.107
Winthrop,104.9,99.1,74.5,0.09
UCF,99.4,93.9,70.0,0.145
