team,off,def,tempo,luck
Gonzaga,117.2,87.9,76.1,0.083
Baylor,115.8,87.1,70.2,0.012
Villanova,114.1,89.2,67.4,0.012
Texas,109.4,85.4,69.6,0.165
Kansas,109.8,86.0,73.9,0.064
Duke,110.8,87.2,74.5,-0.072
Wisconsin,109.4,86.0,68.2,0.045
West Virginia,110.1,87.0,72.6,-0.036
Texas Tech,108.3,85.4,70.7,-0.095
Michigan St.,111.0,88.6,73.3,0.026
Houston,110.3,88.5,69.4,0.122
Iowa,115.3,93.5,74.5,0.0
Ohio St.,109.3,87.8,69.6,0.037
Virginia,106.3,85.0,63.8,-0.187
North Carolina,108.5,87.6,72.8,-0.065
Creighton,112.0,91.2,71.8,0.029
Indiana,107.8,87.5,71.0,0.069
Florida St.,108.4,88.1,73.3,0.0
Tennessee,108.5,88.5,70.2,0.0
Kentucky,107.3,87.4,72.0,-0.285
Louisville,109.1,89.3,69.7,0.084
Michigan,110.4,90.8,72.5,0.003
Florida,108.8,89.4,71.8,0.064
Illinois,109.7,90.5,72.1,-0.005
Purdue,110.2,91.0,70.5,-0.052
Oklahoma,108.6,89.6,74.5,0.0
Oregon,109.7,90.9,70.2,0.0
Clemson,106.0,87.3,70.0,0.099
Virginia Tech,108.2,89.5,68.7,0.017
Arizona St.,110.9,92.4,75.8,0.052
Oklahoma St.,106.8,88.3,72.9,0.067
Rutgers,105.8,87.5,72.7,0.0
San Diego St.,107.5,89.6,69.0,0.0
Marquette,106.5,88.8,74.3,-0.119
Stanford,104.5,86.9,72.8,-0.129
N.C. State,108.7,91.3,72.2,0.0
Minnesota,107.1,89.7,74.3,0.098
Maryland,109.3,92.1,69.5,0.001
LSU,114.0,96.8,71.0,-0.094
UCLA,108.9,91.8,68.4,0.072
Syracuse,106.7,90.0,73.7,0.227
Saint Louis,106.9,90.4,70.2,0.183
Arizona,105.5,89.0,72.5,0.0
Mississippi,105.5,89.0,71.4,0.0
Miami FL,107.0,90.8,72.6,0.0
Missouri,107.4,91.2,71.4,0.089
Memphis,103.9,87.8,75.0,-0.143
Alabama,108.1,92.1,76.5,0.048
Connecticut,108.2,92.2,69.2,0.101
Colorado,106.9,91.0,71.2,0.0
USC,106.6,90.8,70.0,-0.062
Arkansas,106.8,91.1,72.4,0.147
Richmond,107.3,91.7,73.9,0.001
Utah,107.6,92.1,70.5,0.0
Loyola Chicago,105.3,89.8,69.4,0.0
SMU,108.8,93.6,72.3,0.0
Seton Hall,106.5,92.1,71.4,-0.223
Cincinnati,104.0,89.9,71.2,0.0
Dayton,108.2,94.1,69.7,0.0
Penn St.,106.2,92.4,73.5,0.171
TCU,102.3,88.7,67.8,0.16
Butler,105.5,92.2,68.3,0.0
Xavier,105.7,92.7,70.7,0.209
Providence,105.8,93.3,69.0,-0.005
Northwestern,104.5,92.1,71.0,0.0
South Carolina,104.1,92.0,74.4,0.074
Saint Mary's,104.6,92.7,66.8,0.115
VCU,101.8,90.1,72.4,-0.098
Texas A&M,101.9,90.4,70.9,0.128
Iowa St.,106.7,95.4,72.3,-0.191
Furman,105.0,93.9,73.0,0.0
St. Bonaventure,106.4,95.3,70.4,0.0
Rhode Island,105.1,94.1,73.5,-0.126
Western Kentucky,106.8,96.0,71.0,0.125
Auburn,104.0,93.4,73.1,0.074
St. John's,103.7,93.4,76.9,0.096
Notre Dame,105.6,95.3,72.0,0.0
San Francisco,104.5,94.3,71.5,0.006
Davidson,108.5,98.4,67.6,-0.182
South Dakota St.,107.1,97.2,71.5,-0.037
DePaul,103.7,94.2,73.3,0.0
Duquesne,104.2,94.7,72.0,-0.033
Mississippi St.,104.7,95.4,68.5,-0.127
Utah St.,103.4,94.3,72.2,0.04
Northern Iowa,105.6,96.5,72.3,-0.075
Boston College,103.9,94.9,73.9,0.002
Belmont,103.9,95.0,74.3,0.0
Marshall,103.3,94.5,77.0,0.0
Georgia Tech,103.4,94.9,72.3,-0.148
BYU,103.6,95.1,73.0,0.147
Vermont,102.9,94.5,70.1,0.0
Boise St.,103.4,95.9,72.2,-0.137
Pittsburgh,102.2,94.6,71.4,0.003
Georgia,103.8,96.5,73.6,0.0
Pepperdine,105.2,98.0,73.4,-0.102
Tulsa,99.5,92.4,70.5,-0.008
Wichita St.,102.4,95.4,71.9,0.0
UNC Greensboro,102.2,95.3,72.6,-0.005
Georgetown,102.0,95.1,74.7,0.002
Yale,104.7,97.8,71.5,0.0
South Florida,100.4,93.7,69.6,-0.073
UAB,102.4,95.8,73.0,0.005
New Mexico St.,102.4,95.9,69.1,0.0
Old Dominion,102.5,96.1,70.7,0.137
Washington,99.2,92.8,71.3,-0.035
UCF,98.9,92.5,71.8,0.0
Louisiana Tech,104.0,97.8,71.3,0.029
North Texas,101.5,95.4,69.9,-0.14
Nebraska,101.0,95.0,75.5,-0.052
Murray St.,102.1,96.4,71.7,0.0
Santa Clara,97.4,91.8,71.9,0.058
Oregon St.,102.1,96.6,69.8,-0.092
Toledo,103.0,97.8,70.2,-0.212
George Mason,102.4,97.3,69.6,-0.05
Georgia St.,103.1,98.3,75.3,0.209
Bradley,99.0,94.1,68.9,-0.068
East Carolina,100.4,95.7,72.1,0.0
Colorado St.,105.4,100.8,72.1,0.0
Ohio,101.7,97.1,72.7,-0.134
Liberty,102.0,97.4,66.2,-0.06
Nevada,100.2,95.7,72.5,0.218
Winthrop,102.2,98.1,75.4,0.0
Wake Forest,101.8,97.6,71.2,0.138
California,98.7,94.6,69.2,-0.11
Massachusetts,102.5,98.6,71.6,0.0
Wright St.,100.1,96.3,73.3,0.0
Vanderbilt,99.9,96.3,73.8,0.0
Drake,102.5,98.9,69.8,0.0
Abilene Christian,98.2,94.7,72.1,0.042
Buffalo,101.4,98.1,75.0,-0.115
UC Santa Barbara,100.4,97.1,69.4,0.0
Ball St.,100.1,97.3,71.4,-0.214
Little Rock,101.9,99.2,71.5,-0.038
Pacific,98.9,96.3,68.2,0.198
Washington St.,96.8,94.5,72.1,0.0
Indiana St.,101.7,99.4,71.3,0.0
Siena,100.3,98.2,70.8,0.0
Loyola Marymount,102.0,99.9,71.0,0.067
Kansas St.,98.1,96.2,68.0,0.092
Princeton,101.6,99.7,70.2,0.0
Wofford,101.1,99.3,70.3,0.0
Eastern Washington,101.1,99.4,74.2,0.0
Akron,100.6,99.0,72.3,0.0
Texas St.,98.4,96.8,69.9,0.063
Colgate,102.5,101.0,71.4,0.0
UNLV,101.8,100.3,71.7,-0.072
Hofstra,99.9,98.5,71.6,-0.021
Austin Peay,102.5,101.2,72.6,0.186
Temple,97.6,96.4,73.3,0.0
UC Irvine,98.2,97.0,70.8,-0.0
Stephen F. Austin,97.9,96.8,74.0,0.0
Mercer,100.5,99.4,73.0,0.001
Drexel,101.3,100.4,69.9,-0.032
