team,off,def,tempo,luck
Gonzaga,117.6,88.4,76.0,0.083
Baylor,116.1,86.9,70.5,0.003
Villanova,115.3,89.8,66.4,0.065
Texas,109.6,85.7,70.0,0.025
Iowa,118.2,94.4,74.5,0.002
West Virginia,110.3,87.3,71.1,-0.046
Wisconsin,109.9,86.9,67.7,-0.047
Texas Tech,107.2,84.3,69.3,-0.037
Kansas,109.4,86.8,73.1,0.131
Houston,111.2,89.3,69.2,0.124
Duke,110.1,88.5,73.5,-0.074
Creighton,113.0,91.3,72.9,-0.111
Ohio St.,111.7,90.2,69.0,0.091
Michigan,112.7,91.6,71.4,0.003
Illinois,111.1,90.2,71.8,0.036
Michigan St.,110.9,90.1,72.9,0.029
Virginia,106.7,86.2,62.7,-0.088
Florida,109.5,89.1,71.9,0.122
Tennessee,107.9,87.5,68.8,0.0
Indiana,108.3,87.9,69.4,-0.055
North Carolina,109.0,88.6,72.9,-0.076
Florida St.,108.8,88.6,71.1,0.206
Clemson,106.9,87.0,69.0,0.063
Louisville,109.5,89.6,69.5,0.084
Oregon,110.5,90.7,70.8,-0.047
UCLA,110.8,91.6,67.6,0.062
San Diego St.,107.8,89.0,68.6,0.017
Rutgers,107.0,88.1,72.0,0.002
LSU,114.4,96.0,71.5,-0.078
Purdue,108.9,90.7,69.5,-0.082
Stanford,105.0,86.8,72.5,-0.125
Kentucky,107.1,89.3,71.5,-0.274
Arkansas,107.3,89.9,72.8,0.061
N.C. State,109.1,91.8,71.9,0.0
Saint Louis,108.1,90.9,70.1,0.082
Maryland,109.8,92.6,69.3,0.005
Arizona St.,110.8,93.6,75.9,0.021
Mississippi,106.1,89.0,71.0,0.0
Arizona,106.9,89.8,71.4,0.093
Oklahoma,111.4,94.4,73.0,0.093
USC,107.9,90.9,70.0,-0.054
Marquette,107.4,90.5,71.3,-0.044
Syracuse,107.6,90.7,72.5,0.014
Miami FL,106.6,89.8,71.8,0.057
Missouri,108.4,91.6,70.0,0.047
Oklahoma St.,106.8,90.2,73.3,0.049
Minnesota,108.1,91.5,73.1,0.1
Alabama,108.7,92.5,76.2,0.048
Virginia Tech,107.8,91.6,67.3,0.172
Connecticut,108.7,92.6,68.6,0.101
Xavier,109.4,93.4,70.1,0.178
Penn St.,109.1,93.3,72.1,-0.024
Memphis,103.4,87.7,75.3,-0.09
Loyola Chicago,105.8,90.2,69.3,0.0
SMU,109.0,93.5,71.6,0.055
Seton Hall,108.7,93.3,70.3,-0.064
Utah,108.1,92.8,69.8,0.0
Colorado,105.8,90.5,70.5,-0.059
Richmond,107.8,92.7,73.2,0.015
Cincinnati,105.0,91.6,71.1,0.042
Butler,106.0,92.6,68.2,0.0
Dayton,107.1,94.0,69.2,-0.054
VCU,102.4,89.5,72.0,-0.085
Providence,107.5,94.7,69.1,0.1
Saint Mary's,106.4,93.6,66.0,0.083
Furman,107.2,94.8,71.3,-0.138
South Carolina,104.7,92.6,73.8,-0.01
Northwestern,104.4,92.4,73.3,-0.201
TCU,104.2,92.4,66.9,0.019
San Francisco,105.9,94.1,72.2,-0.018
Davidson,109.6,98.1,66.2,-0.12
Georgia Tech,105.9,94.4,70.4,-0.137
Texas A&M,102.9,91.6,70.6,0.077
Rhode Island,105.5,94.2,73.2,-0.113
St. Bonaventure,106.9,95.8,70.0,0.0
Auburn,105.4,95.1,73.0,0.115
Iowa St.,107.4,97.2,71.2,-0.089
South Dakota St.,108.4,98.6,72.5,0.105
Mississippi St.,106.0,96.2,68.2,-0.014
Notre Dame,107.8,98.0,70.9,-0.072
DePaul,104.2,94.6,72.9,0.0
Western Kentucky,107.7,98.2,71.0,0.121
Marshall,104.9,95.6,75.9,0.0
Duquesne,104.5,95.2,71.5,-0.033
Boston College,104.6,95.3,73.4,-0.033
St. John's,104.9,95.7,75.8,0.064
Pittsburgh,103.5,94.4,71.9,0.072
Northern Iowa,105.7,97.0,71.8,-0.038
Utah St.,103.1,94.4,71.7,-0.046
Georgia,103.6,95.0,74.6,0.047
Vermont,103.4,94.9,69.8,0.0
BYU,103.2,94.9,72.5,0.083
Pepperdine,105.7,97.4,72.5,-0.133
Boise St.,104.3,96.1,71.6,0.015
Washington,99.9,92.0,70.9,-0.138
Tulsa,100.5,92.8,70.2,-0.16
Georgetown,102.9,95.6,73.3,-0.128
UAB,103.0,95.8,72.8,0.004
Murray St.,103.2,96.3,70.7,-0.107
Yale,105.2,98.3,71.2,0.0
Wichita St.,102.6,96.1,70.9,0.099
Ohio,103.0,96.5,73.1,-0.071
New Mexico St.,102.9,96.4,68.8,0.0
Old Dominion,103.0,96.5,70.5,0.137
South Florida,100.7,94.3,69.6,0.021
Toledo,105.5,99.3,69.6,-0.112
Belmont,103.3,97.1,74.8,0.037
North Texas,101.9,95.7,68.1,-0.287
Georgia St.,104.4,98.5,74.7,0.184
UCF,99.2,93.8,70.2,0.145
UNC Greensboro,102.1,96.8,73.2,-0.054
Wright St.,100.5,95.2,72.9,-0.069
Santa Clara,98.1,93.0,71.1,0.046
Nebraska,101.0,96.0,75.4,-0.101
Bradley,100.3,95.4,69.2,-0.135
George Mason,102.6,97.9,69.2,-0.05
Liberty,102.7,98.0,65.8,-0.087
Colorado St.,105.9,101.3,71.7,0.0
Massachusetts,104.2,99.6,72.4,0.0
Abilene Christian,97.4,92.9,70.9,-0.014
Louisiana Tech,103.5,99.2,70.8,0.235
Wake Forest,102.3,98.0,71.0,0.138
UC Santa Barbara,101.2,97.0,68.1,0.0
East Carolina,100.4,96.4,70.8,0.004
Winthrop,102.6,98.6,74.9,0.0
Nevada,101.5,97.7,71.9,0.123
Vanderbilt,100.5,96.8,73.3,0.0
Drake,102.7,99.4,70.0,0.0
Oregon St.,102.7,99.4,69.4,-0.251
Pacific,99.4,96.6,68.0,0.198
Buffalo,101.9,99.2,74.8,-0.13
California,98.7,96.1,68.0,-0.058
Ball St.,101.0,98.4,70.3,0.07
UNLV,102.7,100.1,71.1,-0.065
Wofford,102.4,99.9,69.4,0.0
Eastern Washington,100.5,98.1,73.9,-0.176
Indiana St.,102.2,99.9,71.0,0.0
Loyola Marymount,101.9,99.7,70.9,-0.076
Siena,100.8,98.7,70.5,0.0
Little Rock,102.3,100.3,71.3,0.035
Princeton,102.1,100.2,69.9,0.0
Akron,101.1,99.4,71.9,0.0
Colgate,103.0,101.5,71.0,0.0
Mercer,101.1,99.7,73.0,0.001
Drexel,101.4,100.1,68.9,-0.023
Temple,98.1,96.8,73.0,0.0
Washington St.,96.1,95.0,71.5,0.0
Grand Canyon,100.4,99.4,69.1,0.073
Texas St.,98.6,97.9,69.1,0.111
Fresno St.,99.6,98.9,69.3,0.0
Kent St.,100.7,100.1,71.4,-0.079
Harvard,100.0,99.4,71.4,0.0
UC Riverside,96.5,96.0,68.5,-0.087
Stephen F. Austin,97.7,97.3,75.3,0.141
Valparaiso,97.7,97.3,71.8,-0.191
Bowling Green,102.7,102.4,73.5,0.14
UC Irvine,98.3,98.1,71.4,-0.012
Saint Peter's,96.6,96.9,70.3,0.064
San Diego,97.6,97.9,72.8,0.0
UT Arlington,99.2,99.5,71.9,-0.044
Kansas St.,98.7,99.0,66.6,0.167
Hofstra,100.1,100.5,71.1,0.002
Saint Joseph's,102.2,102.6,75.3,-0.135
Montana,97.2,97.7,69.5,-0.156
Austin Peay,102.6,103.2,71.7,0.189
North Dakota St.,98.2,99.1,67.4,-0.061
Eastern Illinois,100.4,101.5,69.5,-0.096
Wyoming,99.4,100.6,70.6,-0.023
Eastern Michigan,98.7,99.9,70.6,0.0
Louisiana,99.6,100.8,75.9,0.216
Missouri St.,99.7,100.9,71.1,0.0
Chattanooga,99.5,100.7,71.5,0.0
La Salle,97.1,98.5,70.0,-0.026
East Tennessee St.,95.0,96.4,71.2,-0.085
Coastal Carolina,100.4,101.9,74.9,0.0
UTSA,102.3,103.7,74.0,-0.016
Southern Illinois,97.8,99.6,69.9,0.007
Navy,99.7,101.5,67.2,0.31
Boston University,99.1,101.0,70.6,0.0
Southern Utah,99.9,101.7,71.8,0.061
FIU,100.5,102.5,74.4,0.138
Northeastern,99.7,101.8,70.9,0.0
Fordham,91.9,94.0,69.0,0.0
Eastern Kentucky,97.0,99.2,77.1,-0.056
Appalachian St.,97.5,99.7,70.3,-0.084
Youngstown St.,100.4,102.7,70.8,0.0
Northern Colorado,99.2,101.6,70.7,0.0
Monmouth,97.6,100.1,74.6,0.0
Miami OH,97.2,99.8,69.4,0.164
Northern Kentucky,98.9,101.5,70.0,0.034
Oral Roberts,103.0,105.7,72.9,-0.164
Montana St.,98.2,101.0,71.6,-0.146
UC San Diego,98.1,100.9,71.8,0.0
Charlotte,96.8,99.7,67.0,-0.31
UMBC,98.5,101.3,71.7,-0.039
Middle Tennessee,93.8,96.8,73.6,-0.198
UC Davis,97.9,100.9,73.5,-0.161
Western Carolina,99.0,102.0,74.9,0.051
UTEP,95.7,98.9,70.5,0.0
Penn,98.3,101.6,72.5,0.0
Cornell,99.5,102.8,70.1,0.0
NJIT,95.9,99.3,70.6,0.0
Charleston,98.6,102.0,68.4,-0.122
Cal St. Bakersfield,95.5,99.0,68.3,-0.128
Tulane,93.5,97.6,70.1,0.133
Florida Atlantic,95.4,99.6,69.4,0.046
