team,off,def,tempo,luck
Gonzaga,121.9,90.7,77.5,0.046
Baylor,119.1,88.2,70.3,0.007
Villanova,118.8,92.0,64.7,0.026
Iowa,121.9,96.7,71.9,-0.059
Wisconsin,113.5,88.5,66.8,-0.039
Illinois,116.5,92.5,72.8,-0.048
Kansas,112.4,88.5,69.7,0.153
Tennessee,110.3,87.2,67.5,0.061
Texas,111.0,88.1,69.1,0.055
Houston,112.2,89.6,67.2,-0.012
Texas Tech,107.9,85.5,67.2,-0.051
West Virginia,111.6,89.8,68.6,0.061
Duke,111.7,90.0,70.6,-0.027
Creighton,114.4,92.9,72.3,-0.042
Michigan,113.4,92.0,69.3,0.021
Ohio St.,113.9,93.4,67.3,-0.01
Clemson,106.7,86.2,68.6,0.018
Rutgers,111.9,91.6,70.8,0.066
Oregon,111.7,91.5,70.0,0.037
Virginia,109.4,89.3,60.8,-0.061
North Carolina,109.9,90.3,72.1,-0.07
Florida,110.3,91.0,71.3,0.017
Indiana,108.3,89.1,68.0,-0.091
San Diego St.,109.6,90.6,66.8,0.026
LSU,116.4,97.6,70.2,-0.011
USC,110.0,91.7,69.6,-0.058
Minnesota,111.2,93.0,74.0,0.157
Saint Louis,110.3,92.1,69.4,0.018
Syracuse,109.5,91.4,72.7,0.059
UCLA,112.6,94.5,66.2,0.005
Louisville,109.5,91.4,66.7,0.223
Colorado,111.2,93.1,68.8,-0.042
Florida St.,110.1,92.1,71.1,0.037
Purdue,111.5,93.8,67.7,0.001
Stanford,106.5,88.9,71.2,0.019
Arkansas,109.5,92.1,72.7,0.083
Maryland,112.8,95.4,67.5,-0.033
Arizona,110.6,93.2,70.0,0.04
Virginia Tech,110.4,93.4,67.5,0.146
Missouri,108.6,91.7,69.6,0.133
N.C. State,109.1,92.2,73.0,-0.005
Oklahoma,112.2,95.5,70.8,0.004
Mississippi,104.7,88.3,70.0,-0.064
Loyola Chicago,109.3,92.9,68.1,-0.109
Xavier,111.4,95.1,69.1,0.122
Oklahoma St.,107.7,91.5,73.2,-0.054
Connecticut,109.7,93.5,67.4,-0.05
Alabama,109.8,93.6,74.4,-0.033
SMU,110.3,94.2,70.4,0.045
Seton Hall,109.9,94.3,69.7,-0.052
Michigan St.,110.9,95.3,73.0,0.096
Kentucky,106.2,90.7,70.0,-0.324
Marquette,111.9,96.4,69.0,-0.091
Penn St.,110.4,95.2,69.9,-0.085
Northwestern,108.8,93.9,70.6,-0.007
Arizona St.,109.6,95.7,75.5,0.063
Richmond,110.1,96.4,71.8,0.084
VCU,104.5,90.9,72.1,-0.03
Dayton,108.2,95.0,68.1,-0.009
Utah,108.0,95.0,68.9,0.077
TCU,107.5,94.5,68.5,0.068
Providence,109.0,96.4,67.6,0.11
Memphis,101.8,89.3,73.9,-0.079
South Carolina,106.3,93.9,73.0,-0.01
Auburn,107.3,95.2,69.4,0.089
Miami FL,104.9,93.0,71.4,-0.066
BYU,107.2,95.4,71.7,0.104
Saint Mary's,106.1,94.5,64.0,0.131
Davidson,110.9,99.4,64.2,-0.075
Furman,108.6,97.3,70.9,-0.204
St. Bonaventure,107.8,96.7,71.1,0.0
Butler,106.9,95.8,68.9,0.056
Boise St.,106.4,95.4,69.0,0.013
San Francisco,107.4,96.5,70.8,-0.064
Drake,108.1,97.5,69.3,0.022
Cincinnati,104.7,94.0,71.7,-0.087
Pittsburgh,103.2,92.8,71.6,0.027
Georgia Tech,107.8,97.6,67.8,-0.08
Rhode Island,105.5,95.3,71.2,-0.157
Mississippi St.,108.1,97.9,65.2,-0.078
Marshall,106.5,96.5,75.4,-0.049
Utah St.,104.1,94.2,69.9,-0.053
Western Kentucky,108.9,99.0,70.4,0.164
Tulsa,102.1,92.4,67.7,-0.055
Georgia,104.8,95.1,74.5,0.046
Texas A&M,103.1,93.8,67.2,0.097
DePaul,105.5,96.2,73.3,-0.171
Duquesne,106.0,96.7,70.4,-0.033
Notre Dame,110.8,102.0,67.9,0.018
Toledo,107.6,99.0,68.4,-0.021
Iowa St.,106.2,97.6,70.1,-0.122
St. John's,108.0,99.6,74.7,0.032
UCF,103.2,95.0,69.2,0.15
Wright St.,103.3,95.1,72.9,0.025
Wichita St.,105.2,97.1,69.1,0.096
