team,off,def,tempo,luck
Gonzaga,118.0,88.7,75.5,0.083
Baylor,116.5,87.4,69.6,0.003
Villanova,116.5,90.6,65.8,0.049
Iowa,119.0,94.6,74.1,0.01
West Virginia,111.1,87.5,70.9,-0.049
Wisconsin,110.8,87.2,67.5,-0.03
Texas,109.6,86.4,69.6,0.021
Texas Tech,108.0,85.1,68.0,-0.032
Kansas,109.7,87.2,72.7,0.131
Illinois,112.0,90.0,73.6,-0.043
Tennessee,108.4,86.4,67.7,0.161
Duke,111.2,89.2,71.1,-0.027
Houston,111.5,89.7,68.8,0.124
Florida St.,110.2,88.8,70.6,0.096
Michigan,112.2,91.1,70.0,0.024
Indiana,108.3,87.6,70.0,-0.051
Creighton,114.7,94.1,72.0,-0.156
Virginia,107.0,86.4,62.0,-0.088
Rutgers,108.1,87.8,71.1,0.001
Michigan St.,111.8,91.6,74.1,0.016
Clemson,105.9,85.9,68.9,0.014
Louisville,109.9,90.0,69.0,0.084
Ohio St.,110.9,91.2,68.1,0.043
Florida,109.5,89.9,72.1,0.017
Oregon,110.9,91.5,70.4,0.016
UCLA,111.0,91.9,67.3,0.062
North Carolina,108.6,89.6,72.3,-0.023
San Diego St.,108.1,89.5,67.8,0.017
Syracuse,108.0,89.7,72.6,0.039
Purdue,109.1,90.7,69.3,0.002
LSU,114.5,96.2,71.7,-0.056
Saint Louis,109.2,91.2,68.8,0.068
Marquette,109.8,92.1,69.6,0.002
Colorado,106.9,89.2,70.2,-0.065
Stanford,105.5,87.9,71.5,-0.061
Arkansas,108.1,90.5,72.4,0.055
N.C. State,109.5,92.1,71.4,0.0
Missouri,109.3,91.9,70.1,0.09
Oklahoma,111.5,94.2,72.0,0.099
Mississippi,105.2,87.9,69.7,0.008
USC,108.4,91.1,69.4,-0.054
Kentucky,106.5,89.6,70.6,-0.318
Virginia Tech,108.4,91.6,67.0,0.188
Arizona,106.9,90.3,70.5,0.111
Penn St.,108.9,92.6,70.9,-0.108
Connecticut,109.1,92.9,68.0,0.101
SMU,109.1,93.1,71.0,0.045
Oklahoma St.,106.4,90.4,74.1,-0.01
Xavier,109.8,93.8,69.5,0.178
Maryland,109.7,93.9,68.3,-0.032
Alabama,108.8,93.1,74.7,0.029
Richmond,108.8,93.6,72.9,0.112
Seton Hall,109.0,93.8,70.1,-0.064
VCU,104.1,89.1,71.1,-0.08
Minnesota,107.4,92.3,73.7,0.166
