team,off,def,tempo,luck
Gonzaga,117.1,87.9,76.1,0.083
Baylor,115.9,87.2,70.1,0.012
Villanova,114.4,89.0,67.3,0.066
Texas,109.2,85.6,69.8,0.041
Texas Tech,108.5,84.9,70.3,-0.091
Duke,110.6,87.2,73.6,-0.068
West Virginia,110.5,87.5,72.1,-0.041
Wisconsin,109.8,86.8,67.3,-0.094
Kansas,109.0,86.7,73.3,0.122
Houston,110.7,88.8,69.3,0.124
Iowa,115.4,93.6,74.4,0.0
Ohio St.,109.4,87.9,69.5,0.037
Michigan St.,110.6,89.6,73.1,0.029
North Carolina,108.6,87.7,72.9,-0.065
Creighton,112.3,91.4,72.0,0.019
Michigan,111.3,90.8,71.5,0.007
Virginia,106.3,85.8,63.0,-0.088
Florida,109.1,88.7,72.1,0.122
Indiana,107.9,87.6,71.0,0.069
Florida St.,108.4,88.2,73.2,0.0
Tennessee,108.6,88.6,70.1,0.0
Louisville,109.1,89.3,69.7,0.084
Oregon,110.8,91.0,70.4,-0.069
Illinois,109.8,90.5,71.8,-0.005
Oklahoma,110.5,91.2,73.8,0.182
Virginia Tech,108.3,89.6,68.8,0.017
Clemson,106.1,87.4,70.1,0.099
Arizona St.,111.0,92.5,75.9,0.052
Purdue,109.6,91.2,70.2,0.026
LSU,114.0,95.6,71.6,-0.078
Stanford,104.6,86.4,72.4,-0.125
Rutgers,105.9,87.6,72.4,0.0
Maryland,110.0,91.8,70.3,0.0
Marquette,107.2,89.2,73.3,-0.007
UCLA,109.8,91.9,68.0,0.064
Kentucky,106.7,88.9,71.4,-0.274
Oklahoma St.,106.8,89.1,72.9,0.03
San Diego St.,106.7,89.2,68.8,0.035
N.C. State,108.7,91.4,72.1,0.0
Syracuse,107.0,89.8,73.2,0.118
Saint Louis,107.6,90.5,70.4,0.105
Missouri,107.8,91.0,70.7,0.062
Arkansas,107.1,90.4,72.6,0.093
Minnesota,107.1,90.5,73.4,0.077
Mississippi,105.6,89.1,71.3,0.0
Miami FL,107.1,90.7,72.8,0.0
Alabama,108.3,92.2,76.5,0.048
Connecticut,108.3,92.3,68.9,0.101
USC,106.8,90.9,69.9,-0.062
Colorado,107.0,91.2,71.2,0.0
Memphis,103.2,87.5,76.3,-0.093
Arizona,104.6,89.0,72.4,0.166
Utah,107.7,92.1,70.4,0.0
SMU,108.6,93.0,71.9,0.055
Loyola Chicago,105.3,89.9,69.3,0.0
Richmond,107.3,91.8,73.9,0.001
Seton Hall,107.9,93.7,71.2,-0.099
Xavier,106.5,92.4,70.8,0.211
Dayton,107.6,93.8,69.4,-0.061
Butler,105.6,92.3,68.4,0.0
TCU,103.6,90.3,67.2,0.051
Penn St.,107.0,93.9,73.6,-0.011
Cincinnati,103.9,90.8,71.5,-0.064
Furman,106.2,93.5,72.1,0.0
Northwestern,104.8,92.2,72.8,0.0
South Carolina,104.3,92.3,74.1,-0.01
Providence,105.6,93.6,69.1,0.058
Saint Mary's,104.6,92.7,66.4,0.115
VCU,101.3,89.4,71.6,-0.089
Texas A&M,102.5,91.1,70.9,0.077
Iowa St.,106.7,95.4,72.0,-0.191
Rhode Island,105.1,94.1,73.3,-0.126
St. Bonaventure,106.5,95.4,70.3,0.0
San Francisco,104.8,94.0,72.0,-0.007
Georgia Tech,104.9,94.3,71.7,-0.224
Western Kentucky,107.0,96.4,70.5,0.06
St. John's,104.2,93.6,77.0,0.062
Auburn,105.0,94.7,73.3,0.115
South Dakota St.,108.3,98.2,72.2,0.045
Davidson,108.6,98.5,67.5,-0.182
