team,off,def,tempo,luck
Gonzaga,122.0,90.5,76.5,0.037
Baylor,119.4,88.7,71.0,0.015
Villanova,119.3,92.4,64.2,0.026
Wisconsin,114.3,88.6,65.8,-0.028
Iowa,122.3,97.0,71.6,-0.022
Texas,112.2,87.0,69.6,0.039
Illinois,116.0,91.6,72.2,-0.022
Tennessee,110.1,86.4,67.2,0.004
Houston,112.6,88.9,66.8,-0.007
Michigan,115.4,92.1,69.2,0.012
Duke,112.0,90.3,70.3,-0.027
Kansas,111.5,90.0,70.0,0.154
West Virginia,111.7,90.4,68.6,0.018
Texas Tech,108.2,87.0,66.3,-0.089
Creighton,114.0,92.9,71.7,-0.006
Oregon,112.2,91.2,70.5,0.03
Virginia,110.1,89.5,60.5,-0.021
Clemson,107.2,86.7,67.6,0.056
Rutgers,112.2,91.9,70.2,0.002
Ohio St.,114.4,94.2,66.7,-0.001
Florida,112.1,92.1,71.5,0.072
Colorado,111.8,92.3,68.3,-0.068
Minnesota,112.1,92.7,72.7,0.122
Indiana,109.5,90.5,67.4,-0.044
Louisville,110.0,91.2,66.3,0.224
LSU,117.3,98.5,69.5,-0.069
USC,109.5,90.9,68.5,-0.068
Arizona,111.4,92.9,69.8,0.053
Saint Louis,110.7,92.3,69.1,0.018
Syracuse,109.8,91.6,72.3,0.059
North Carolina,109.1,91.0,71.1,-0.056
Florida St.,110.4,92.3,70.8,0.037
San Diego St.,109.5,91.5,66.3,-0.047
UCLA,113.3,95.5,65.3,0.077
Seton Hall,112.1,94.4,68.7,-0.029
Alabama,110.6,93.0,73.8,-0.014
Purdue,110.7,93.2,67.2,-0.028
Oklahoma St.,109.0,91.7,72.4,-0.034
Connecticut,110.5,93.2,66.9,-0.058
Arkansas,110.5,93.3,73.4,0.056
Missouri,108.0,90.9,70.5,0.191
Virginia Tech,110.6,93.6,67.2,0.146
Oklahoma,112.3,95.4,70.8,0.043
Stanford,105.5,88.7,71.3,0.011
Maryland,113.7,97.0,67.2,-0.057
N.C. State,109.7,93.4,71.9,0.041
Loyola Chicago,108.6,92.3,67.5,-0.065
Penn St.,112.0,96.2,69.2,-0.143
Kentucky,106.1,90.6,69.5,-0.232
Michigan St.,111.8,96.3,72.5,0.114
Marquette,111.1,95.6,68.9,-0.05
Mississippi,105.7,90.4,69.8,-0.119
SMU,110.2,95.1,70.6,0.061
Xavier,111.7,96.8,68.6,0.104
VCU,104.8,90.5,71.2,-0.026
Northwestern,108.8,94.6,70.5,-0.022
Arizona St.,109.9,96.0,75.1,0.063
