team,off,def,tempo,luck
Gonzaga,122.0,90.5,76.3,0.037
Baylor,119.4,88.8,70.8,0.015
Villanova,119.3,92.4,64.1,0.026
Wisconsin,114.3,88.6,65.7,-0.028
Iowa,122.4,97.1,71.4,-0.022
Texas,112.3,87.0,69.4,0.039
Illinois,116.1,91.7,72.1,-0.022
Tennessee,110.1,86.4,67.2,0.004
Houston,112.6,89.0,66.7,-0.007
Michigan,115.5,92.1,69.1,0.012
Duke,112.0,90.3,70.1,-0.027
Kansas,111.5,89.9,69.8,0.154
West Virginia,112.6,91.2,68.8,0.04
Texas Tech,108.2,87.0,66.1,-0.089
Creighton,114.0,92.9,71.6,-0.006
Oregon,112.2,91.2,70.4,0.03
Virginia,110.2,89.6,60.4,-0.021
Clemson,107.3,86.7,67.5,0.056
Rutgers,112.2,92.0,70.1,0.002
Ohio St.,114.4,94.3,66.5,-0.001
Florida,112.1,92.1,71.4,0.072
Colorado,111.8,92.3,68.1,-0.068
Indiana,108.9,89.5,67.2,-0.019
Minnesota,112.1,92.8,72.6,0.122
Louisville,110.1,91.2,66.1,0.224
LSU,117.3,98.5,69.3,-0.069
USC,109.6,91.0,68.4,-0.068
Arizona,111.5,92.9,69.6,0.053
San Diego St.,110.0,91.5,66.0,-0.038
Saint Louis,110.8,92.4,68.9,0.018
Syracuse,109.9,91.6,72.1,0.059
North Carolina,109.1,91.0,71.0,-0.056
Florida St.,110.4,92.4,70.7,0.037
UCLA,113.4,95.5,65.2,0.077
Seton Hall,112.2,94.4,68.6,-0.029
Alabama,110.5,93.0,73.6,-0.014
Purdue,110.8,93.3,67.1,-0.028
Connecticut,110.5,93.3,66.8,-0.058
Arkansas,110.6,93.3,73.3,0.056
Missouri,108.1,90.9,70.3,0.191
Oklahoma St.,109.8,92.7,72.8,-0.069
Virginia Tech,110.6,93.6,67.1,0.146
Stanford,106.4,89.4,71.3,0.03
Oklahoma,112.3,95.4,70.6,0.043
N.C. State,109.8,93.4,71.8,0.041
Maryland,112.9,96.6,67.1,-0.084
Loyola Chicago,108.7,92.3,67.4,-0.065
Penn St.,112.1,96.2,69.0,-0.143
Kentucky,106.2,90.6,69.4,-0.232
Michigan St.,111.8,96.3,72.3,0.114
Marquette,111.1,95.6,68.7,-0.05
Mississippi,105.8,90.5,69.7,-0.119
SMU,110.3,95.1,70.5,0.061
Xavier,111.7,96.9,68.5,0.104
VCU,104.8,90.5,71.0,-0.026
Northwestern,108.9,94.6,70.4,-0.022
Arizona St.,109.9,96.0,75.0,0.063
Providence,109.6,96.0,66.6,0.052
Richmond,110.9,97.5,70.5,0.042
Drake,110.1,96.7,67.7,0.014
Memphis,102.3,89.7,73.3,-0.079
Utah St.,105.7,93.6,69.2,-0.039
TCU,106.9,94.8,68.5,0.086
Saint Mary's,106.1,94.1,63.3,0.122
Miami FL,105.5,93.6,70.5,-0.124
Utah,107.8,95.9,67.2,-0.029
BYU,107.7,95.8,71.2,0.104
Dayton,108.3,96.6,66.2,-0.04
South Carolina,106.1,94.5,73.2,0.082
Georgia Tech,108.2,96.6,67.2,-0.03
St. Bonaventure,107.5,96.1,69.0,0.073
Boise St.,107.5,96.4,68.9,0.051
Auburn,108.1,97.0,69.6,-0.007
Davidson,111.7,100.7,63.8,-0.11
Mississippi St.,108.7,97.9,65.2,-0.09
Furman,110.0,99.4,69.7,-0.067
Rhode Island,104.6,94.0,70.5,-0.079
San Francisco,106.8,96.4,69.9,-0.026
Tulsa,103.2,92.9,66.3,-0.012
Pittsburgh,103.5,93.3,71.3,0.027
Marshall,106.8,96.9,73.8,-0.042
Cincinnati,105.0,95.3,70.8,-0.105
Wichita St.,107.4,98.0,68.3,0.12
Butler,106.4,97.0,67.4,0.039
Colorado St.,105.3,96.0,72.1,0.053
Texas A&M,103.0,93.8,67.1,0.134
Toledo,108.0,98.9,68.3,-0.011
Notre Dame,111.3,102.3,66.7,-0.033
Duquesne,106.6,97.7,68.7,-0.122
Georgia,104.9,96.0,74.7,0.036
Western Kentucky,108.3,99.4,70.1,0.124
Iowa St.,105.8,97.1,70.1,-0.136
St. John's,108.5,99.9,74.4,0.032
Wright St.,103.7,95.3,72.5,-0.003
DePaul,105.3,97.0,73.1,-0.112
South Dakota St.,110.2,102.2,71.5,0.08
UCF,103.3,95.4,68.4,0.082
UAB,103.7,96.1,71.8,-0.045
Belmont,105.7,98.2,71.8,0.005
South Florida,101.9,94.6,68.3,0.045
Winthrop,106.9,99.6,77.7,0.065
North Texas,102.6,95.7,66.2,-0.201
Yale,106.9,100.0,69.5,0.0
Liberty,105.8,98.9,65.0,-0.11
Boston College,105.5,98.9,72.6,-0.081
Georgetown,104.1,97.8,71.7,-0.115
Georgia St.,105.8,99.7,71.3,0.112
Bradley,102.0,96.2,67.0,-0.118
New Mexico St.,102.5,97.3,68.7,0.0
Louisiana Tech,103.1,98.0,70.5,0.064
Buffalo,105.8,100.7,73.6,-0.182
Ohio,106.7,101.8,68.7,-0.105
Abilene Christian,99.9,95.2,69.6,-0.015
Massachusetts,106.4,101.7,73.3,-0.282
