team,off,def,tempo,luck
Gonzaga,117.2,88.0,76.1,0.083
Baylor,115.9,87.2,70.1,0.012
Villanova,114.5,89.1,67.3,0.066
Texas,109.3,85.6,69.8,0.041
Texas Tech,108.5,84.9,70.3,-0.091
Duke,110.6,87.2,73.6,-0.068
West Virginia,110.6,87.5,72.1,-0.041
Wisconsin,109.9,86.8,67.3,-0.094
Kansas,109.0,86.8,73.3,0.122
Houston,110.8,88.9,69.2,0.124
Iowa,115.5,93.7,74.3,0.0
Ohio St.,109.5,87.9,69.5,0.037
Michigan St.,110.7,89.7,73.1,0.029
North Carolina,108.7,87.7,72.8,-0.065
Creighton,112.4,91.5,72.0,0.019
Michigan,111.4,90.9,71.5,0.007
Virginia,106.3,85.9,63.0,-0.088
Florida,109.2,88.8,72.1,0.122
Indiana,107.9,87.7,71.0,0.069
Florida St.,108.4,88.3,73.2,0.0
Tennessee,108.7,88.7,70.1,0.0
Oregon,110.0,90.1,70.2,-0.041
Louisville,109.1,89.3,69.7,0.084
Illinois,109.9,90.6,71.8,-0.005
Oklahoma,110.6,91.3,73.7,0.182
Virginia Tech,108.4,89.7,68.7,0.017
Clemson,106.1,87.5,70.1,0.099
Arizona St.,111.0,92.5,75.8,0.052
Purdue,109.7,91.2,70.1,0.026
LSU,114.1,95.7,71.6,-0.078
Stanford,104.7,86.4,72.4,-0.125
Rutgers,106.0,87.7,72.4,0.0
Maryland,110.1,91.9,70.3,0.0
Marquette,107.3,89.2,73.3,-0.007
UCLA,109.8,92.0,68.0,0.064
Oklahoma St.,106.9,89.2,72.9,0.03
Kentucky,106.7,89.0,71.5,-0.274
San Diego St.,106.8,89.2,68.8,0.035
N.C. State,108.8,91.4,72.1,0.0
Syracuse,107.1,89.8,73.1,0.118
Saint Louis,107.7,90.6,70.4,0.105
Missouri,107.9,91.1,70.7,0.062
Arkansas,107.1,90.4,72.7,0.093
Minnesota,107.1,90.6,73.5,0.077
Arizona,105.5,89.0,72.1,0.152
Mississippi,105.6,89.2,71.3,0.0
Miami FL,107.2,90.7,72.8,0.0
Alabama,108.4,92.2,76.5,0.048
Connecticut,108.4,92.4,68.9,0.101
USC,106.8,90.9,69.8,-0.062
Colorado,107.0,91.2,71.2,0.0
Memphis,103.3,87.5,76.3,-0.093
Utah,107.8,92.2,70.4,0.0
SMU,108.6,93.1,71.9,0.055
Loyola Chicago,105.4,89.9,69.2,0.0
Richmond,107.4,92.6,73.6,0.033
Seton Hall,108.1,93.9,71.2,-0.099
Xavier,106.5,92.5,70.8,0.211
Dayton,107.6,93.9,69.4,-0.061
Butler,105.7,92.3,68.4,0.0
TCU,103.7,90.4,67.2,0.051
Penn St.,107.0,94.0,73.6,-0.011
Cincinnati,103.8,90.8,71.6,-0.064
Furman,106.2,93.6,72.0,0.0
Northwestern,104.8,92.3,72.8,0.0
South Carolina,104.4,92.3,74.0,-0.01
Providence,105.6,93.7,69.1,0.058
Saint Mary's,104.7,92.8,66.3,0.115
VCU,101.3,89.4,71.6,-0.089
Texas A&M,102.6,91.2,70.9,0.077
Iowa St.,106.8,95.5,71.9,-0.191
Rhode Island,105.2,94.1,73.3,-0.126
St. Bonaventure,106.5,95.5,70.3,0.0
San Francisco,104.8,94.1,72.0,-0.007
Georgia Tech,105.0,94.3,71.7,-0.224
Western Kentucky,107.1,96.5,70.5,0.06
St. John's,104.3,93.7,77.0,0.062
Auburn,105.0,94.8,73.3,0.115
South Dakota St.,108.4,98.2,72.1,0.045
Davidson,108.6,98.5,67.5,-0.182
Notre Dame,105.6,95.8,71.5,0.02
DePaul,103.8,94.3,73.1,0.0
Duquesne,104.3,94.8,71.8,-0.033
Mississippi St.,105.3,95.8,67.9,-0.009
Boston College,104.1,95.0,73.7,0.002
Northern Iowa,105.7,96.7,72.3,-0.075
BYU,103.3,94.3,72.8,0.193
Marshall,103.5,94.6,76.9,0.0
Utah St.,102.7,94.0,72.0,-0.046
Pittsburgh,103.4,94.8,71.2,-0.028
Vermont,103.0,94.6,70.0,0.0
Georgia,104.4,96.2,74.9,0.077
Tulsa,100.2,92.4,70.4,-0.16
Pepperdine,104.8,97.2,73.2,-0.195
Boise St.,103.6,96.0,72.1,-0.137
UAB,102.6,95.5,72.7,0.004
Georgetown,102.5,95.5,74.2,-0.033
UNC Greensboro,102.3,95.4,72.4,-0.005
Yale,104.8,98.0,71.4,0.0
Washington,99.5,92.8,71.2,-0.035
South Florida,100.5,93.9,69.4,-0.073
Toledo,104.8,98.2,69.9,-0.174
Ohio,102.7,96.2,73.2,-0.071
Old Dominion,102.7,96.1,70.6,0.137
New Mexico St.,102.5,96.0,69.0,0.0
Wichita St.,102.3,95.8,71.1,0.099
Nebraska,101.2,95.0,75.4,-0.052
Belmont,103.3,97.1,74.8,0.036
North Texas,102.0,96.0,69.1,-0.263
Georgia St.,104.0,98.2,74.7,0.184
Murray St.,102.1,96.4,71.5,0.059
Santa Clara,97.5,92.0,71.8,0.058
UCF,98.9,93.5,70.4,0.145
Wright St.,100.2,94.9,72.8,-0.069
Louisiana Tech,102.8,97.9,71.9,0.224
Bradley,100.0,95.2,69.4,-0.135
East Carolina,100.5,95.8,71.2,0.001
George Mason,102.3,97.6,69.5,-0.05
Nevada,100.4,95.7,72.4,0.218
Colorado St.,105.6,100.9,71.9,0.0
Liberty,102.0,97.5,66.3,-0.06
Oregon St.,102.3,97.9,69.7,-0.185
UC Santa Barbara,100.8,96.6,68.3,0.0
Wake Forest,101.9,97.8,71.1,0.138
Winthrop,102.3,98.2,75.3,0.0
Abilene Christian,98.0,94.1,71.7,0.019
Massachusetts,102.6,98.8,71.5,0.0
Vanderbilt,100.1,96.4,73.7,0.0
Drake,102.6,99.1,70.0,0.0
California,98.7,95.4,68.7,-0.062
Pacific,99.1,96.3,68.1,0.198
Buffalo,101.5,98.9,75.0,-0.13
UNLV,102.4,99.9,71.1,-0.065
Wofford,102.1,99.6,69.5,0.0
Eastern Washington,100.2,97.7,74.1,-0.176
Washington St.,97.0,94.7,72.0,0.0
Loyola Marymount,101.7,99.4,71.1,-0.076
Indiana St.,101.8,99.6,71.2,0.0
Ball St.,99.9,97.6,71.4,0.035
Little Rock,102.1,99.9,71.7,0.035
Siena,100.4,98.3,70.7,0.0
Princeton,101.7,99.8,70.1,0.0
Akron,100.7,99.1,72.1,0.0
Colgate,102.6,101.1,71.2,0.0
Mercer,100.7,99.4,73.1,0.001
Austin Peay,102.7,101.4,72.7,0.186
Temple,97.8,96.5,73.2,0.0
Drexel,101.0,99.8,69.4,-0.023
UC Irvine,98.5,97.3,70.7,-0.0
Texas St.,98.5,97.6,69.4,0.154
Stephen F. Austin,98.1,97.3,74.7,0.0
Kansas St.,97.6,96.9,67.2,0.071
Fresno St.,99.2,98.6,69.5,0.0
San Diego,97.7,97.1,72.7,0.0
Harvard,99.6,99.1,71.6,0.0
Bowling Green,102.4,102.1,73.8,0.14
Grand Canyon,98.0,98.0,69.4,0.042
Eastern Illinois,100.2,100.2,69.8,-0.039
Valparaiso,97.3,97.5,71.4,-0.058
Hofstra,99.5,99.7,72.0,-0.118
Montana,98.3,98.5,69.8,-0.237
UT Arlington,98.9,99.1,72.2,-0.044
Saint Joseph's,101.8,102.3,75.5,-0.135
Kent St.,100.1,100.8,71.1,0.0
Saint Peter's,96.6,97.5,69.9,0.034
UC Riverside,95.5,96.5,69.0,-0.089
Eastern Michigan,98.5,99.6,70.8,0.0
Louisiana,99.3,100.5,76.2,0.216
Missouri St.,99.4,100.6,71.3,0.0
Northeastern,98.9,100.2,70.0,0.0
La Salle,96.8,98.2,70.2,-0.026
UTSA,102.0,103.4,74.2,-0.016
East Tennessee St.,94.7,96.0,71.2,-0.085
Coastal Carolina,100.1,101.6,75.1,0.0
North Dakota St.,96.6,98.3,68.2,-0.035
Boston University,98.8,100.6,70.8,0.0
Navy,99.4,101.2,67.0,0.31
Chattanooga,98.4,100.3,72.0,0.0
Wyoming,98.7,100.7,70.5,-0.012
FIU,100.1,102.2,74.7,0.138
