team,off,def,tempo,luck
Kansas,115.8,85.5,67.3,0.04
Gonzaga,121.3,94.4,71.9,0.05
Baylor,113.5,88.1,66.2,0.016
Dayton,119.1,94.1,67.6,0.002
Duke,115.7,91.1,72.0,-0.009
San Diego St.,115.1,90.6,64.6,-0.008
Michigan St.,115.2,91.2,69.1,-0.012
Ohio St.,114.3,92.0,66.2,-0.038
Louisville,114.5,93.1,67.1,-0.003
West Virginia,108.3,87.1,69.4,-0.028
Maryland,113.5,92.4,67.0,0.037
Creighton,118.2,97.3,68.3,0.072
BYU,116.3,95.6,69.5,-0.028
Houston,112.7,92.3,65.7,-0.052
Florida St.,111.7,91.5,69.9,0.065
Michigan,113.2,93.0,68.7,-0.048
Oregon,117.1,97.1,65.0,0.023
Villanova,113.9,94.0,66.2,0.082
Arizona,111.0,91.4,69.3,-0.077
Seton Hall,112.3,92.7,69.8,0.006
Texas Tech,109.8,90.5,67.3,-0.113
Wisconsin,110.8,91.9,63.7,0.031
Iowa,117.3,98.6,70.2,0.005
Purdue,109.3,90.8,64.6,-0.104
Butler,112.6,94.2,63.7,0.032
Penn St.,110.3,92.4,70.9,0.014
Minnesota,112.1,94.2,66.8,-0.13
Rutgers,107.9,90.2,67.4,-0.042
Kentucky,112.7,95.1,67.7,0.018
Illinois,110.9,93.7,66.0,0.022
Marquette,114.0,96.9,70.7,-0.046
Florida,112.5,95.7,64.9,-0.047
Auburn,111.4,95.5,69.2,0.103
Indiana,108.5,92.7,67.9,0.016
Colorado,109.1,93.4,68.2,-0.01
Oklahoma,108.8,93.1,69.6,0.031
LSU,118.1,102.4,70.0,-0.02
Saint Mary's,113.7,98.5,63.9,0.055
Wichita St.,105.6,90.4,69.5,0.041
Providence,107.8,92.8,68.4,-0.008
Utah St.,109.5,94.6,67.4,0.034
Virginia,99.3,85.1,59.4,0.109
Stanford,104.4,90.3,68.3,-0.08
Cincinnati,108.8,94.7,68.0,-0.013
Xavier,106.1,92.2,68.1,-0.013
Richmond,109.2,95.3,69.3,0.044
Arkansas,109.1,95.5,71.2,-0.047
Mississippi St.,113.4,99.8,66.2,-0.001
Northern Iowa,112.7,99.3,65.8,0.019
N.C. State,110.7,97.3,69.5,-0.02
Syracuse,112.8,99.6,68.3,-0.06
Connecticut,108.6,95.6,68.5,-0.077
Oklahoma St.,107.2,94.5,68.4,0.034
Washington,105.8,93.1,69.8,-0.157
USC,104.3,92.0,68.9,0.083
East Tennessee St.,108.2,96.0,66.1,0.067
Notre Dame,110.7,98.6,68.1,-0.021
Yale,107.9,96.4,67.4,-0.026
Memphis,100.6,89.1,72.6,0.025
Alabama,111.0,99.5,74.8,-0.076
Texas,104.1,92.6,65.9,0.089
Saint Louis,105.8,94.4,67.6,0.026
Arizona St.,106.0,94.7,73.2,0.069
Georgia Tech,103.1,91.8,70.0,-0.006
Rhode Island,105.2,94.2,71.2,0.068
St. John's,106.1,95.2,72.9,-0.037
Georgetown,111.0,100.2,70.0,-0.049
Tennessee,106.6,95.8,65.2,-0.02
South Carolina,105.4,94.7,73.1,-0.023
Davidson,112.5,101.9,64.8,-0.094
Louisiana Tech,108.7,98.2,66.5,-0.023
Clemson,103.9,93.5,66.0,-0.043
VCU,104.7,94.4,69.0,-0.064
San Francisco,108.3,98.2,68.7,-0.006
Northern Colorado,110.2,100.1,65.0,-0.035
Vermont,106.5,96.4,66.3,-0.027
North Texas,111.2,101.2,62.9,-0.032
UCLA,109.3,99.4,64.9,0.047
Liberty,106.1,96.4,61.5,0.023
Tulsa,103.2,93.6,65.8,0.076
Furman,107.7,98.1,68.2,0.041
Akron,108.5,98.9,69.4,0.022
Boise St.,107.0,97.6,69.1,0.025
North Carolina,107.7,98.4,70.4,-0.05
Nevada,110.3,101.0,71.0,-0.007
TCU,105.5,96.1,65.1,-0.005
Oregon St.,110.9,102.0,65.6,-0.002
SMU,112.4,103.8,64.8,0.004
Iowa St.,109.6,101.2,69.9,-0.092
Kansas St.,102.5,94.2,67.2,-0.129
New Mexico St.,107.6,99.4,63.5,0.06
UNC Greensboro,103.7,95.5,67.8,-0.009
Texas St.,106.3,98.3,65.2,-0.05
DePaul,103.4,95.5,70.6,0.022
Duquesne,106.6,99.0,67.8,0.049
Georgia,108.2,100.8,70.5,-0.017
Missouri,104.1,96.7,66.5,-0.057
UNLV,107.9,100.6,67.0,-0.019
Colorado St.,109.3,102.1,69.3,0.045
Stephen F. Austin,104.1,97.1,71.8,0.042
Loyola Chicago,103.7,96.8,65.3,0.006
Mississippi,103.7,97.0,68.0,-0.042
Wake Forest,108.7,102.0,70.1,-0.034
Miami FL,107.7,101.3,68.3,0.034
Virginia Tech,104.3,98.0,65.5,-0.04
UC Irvine,105.4,99.3,67.7,-0.064
Bradley,106.8,100.7,67.1,0.036
Hofstra,108.7,102.6,67.9,0.064
Belmont,106.5,100.5,70.5,0.012
Harvard,104.7,99.0,68.8,0.039
Pittsburgh,104.0,98.3,65.5,0.001
North Dakota St.,106.8,101.2,66.0,0.032
Western Kentucky,108.9,103.3,68.3,0.023
Utah,106.3,100.8,66.7,0.029
Temple,100.1,94.6,70.3,-0.052
Ball St.,99.2,94.0,68.0,-0.089
UCF,103.5,98.6,67.8,0.002
Colgate,107.2,102.5,68.5,0.02
South Dakota St.,110.0,105.3,68.0,-0.022
Pacific,103.8,99.1,64.9,0.072
Missouri St.,104.8,100.2,68.3,-0.083
Indiana St.,105.8,101.2,66.4,0.043
St. Bonaventure,106.6,102.2,65.7,0.052
Eastern Washington,105.4,101.1,73.1,0.121
South Florida,100.2,95.9,64.9,-0.047
Georgia St.,105.6,101.4,73.0,-0.035
Washington St.,102.2,98.0,70.8,-0.002
Kent St.,106.1,102.1,68.9,-0.011
Little Rock,106.4,102.5,69.3,0.069
UT Arlington,102.3,98.4,67.7,-0.13
Texas A&M,101.0,97.2,64.5,0.098
Northwestern,104.9,101.3,66.7,-0.087
Wright St.,104.9,101.4,72.1,0.033
Georgia Southern,102.2,98.8,71.8,0.005
Oral Roberts,108.2,104.9,70.4,-0.103
Murray St.,102.4,99.3,68.9,-0.03
Montana,103.2,100.1,68.2,0.019
New Mexico,105.3,102.4,71.8,0.044
Pepperdine,107.2,104.4,70.8,0.034
Winthrop,104.7,102.1,71.9,-0.044
Penn,103.4,100.8,70.2,0.025
Northeastern,105.4,103.2,65.9,-0.113
Marshall,101.2,99.1,74.9,-0.037
Northern Kentucky,102.0,99.8,65.7,0.074
Siena,107.2,105.1,66.7,-0.001
Valparaiso,104.5,102.5,69.3,0.02
Chattanooga,106.6,104.8,67.0,0.025
Buffalo,104.1,102.3,73.9,0.045
FIU,103.7,102.1,72.2,0.01
Princeton,107.0,105.5,66.3,-0.025
Santa Clara,102.6,101.3,71.6,0.049
Toledo,106.3,105.1,68.1,-0.057
California,101.5,100.4,65.2,0.09
Wofford,104.5,103.4,65.9,-0.019
South Alabama,104.9,103.9,65.3,0.063
Western Carolina,107.3,106.3,71.5,0.049
Fresno St.,105.1,104.1,64.2,-0.117
Towson,105.7,104.8,65.1,0.014
Boston University,103.3,102.6,66.3,0.002
UC Santa Barbara,106.1,105.3,64.5,0.022
Southern Utah,98.8,98.1,69.3,-0.063
Nebraska,102.0,101.3,73.1,-0.047
Drake,102.0,101.3,67.9,0.065
Charlotte,98.5,98.0,65.5,0.008
