home,away,predict_kp
Texas Tech,Oklahoma,3
Louisville,Georgia Tech,3
Miami FL,Duke,-8
Memphis,UCF,7
Missouri St.,Loyola Chicago,-10
Indiana St.,Bradley,1
Wofford,East Tennessee St.,3
NJIT,UMBC,-1
SIU Edwardsville,Austin Peay,-2
Evansville,Valparaiso,1
Southeast Missouri St.,Murray St.,-5
Western Carolina,The Citadel,5
LIU,St. Francis NY,5
Eastern Washington,Sacramento St.,8
Texas Southern,Alabama A&M,9
Drake,Illinois St.,16
Jackson St.,Arkansas Pine Bluff,12
Prairie View A&M,Alabama St.,13
North Carolina Central,South Carolina St.,15
Grambling St.,Mississippi Valley St.,21
