home,away,predict_kp
Arkansas,Alabama,-1
Rutgers,Indiana,4
Davidson,St. Bonaventure,-1
Providence,Xavier,-1
Vanderbilt,Tennessee,-7
Mississippi St.,South Carolina,5
Wake Forest,Clemson,-6
Butler,Seton Hall,-6
Tulsa,Cincinnati,2
North Carolina,Marquette,8
Virginia,N.C. State,11
Ball St.,Kent St.,-5
South Florida,Temple,4
Mercer,Chattanooga,4
La Salle,Duquesne,-4
Miami FL,Florida St.,-12
Saint Joseph's,Dayton,-9
Creighton,DePaul,14
Abilene Christian,Sam Houston St.,8
George Mason,George Washington,7
Memphis,Tulane,12
UNLV,Fresno St.,6
Loyola MD,American,4
Texas A&M Corpus Chris,New Orleans,-2
North Carolina Central,North Carolina A&T,2
Air Force,New Mexico,-1
Campbell,High Point,5
Northwestern St.,Stephen F. Austin,-7
Boston University,Holy Cross,6
Southeastern Louisiana,McNeese St.,5
Incarnate Word,Lamar,4
Alcorn St.,Alabama St.,7
Southern,Alabama A&M,7
Longwood,Hampton,8
Furman,The Citadel,15
Nicholls St.,Houston Baptist,11
UNC Greensboro,Western Carolina,13
Southern Utah,Northern Arizona,12
Norfolk St.,Delaware St.,13
