home,away,predict_kp
Arkansas,Florida,3
St. John's,Xavier,1
Georgia,Missouri,-3
Connecticut,Providence,6
Purdue,Michigan St.,7
Rhode Island,Dayton,3
Santa Clara,Loyola Marymount,-1
Ball St.,Bowling Green,1
Illinois,Northwestern,13
Tulsa,Temple,5
Maryland,Nebraska,10
Jackson St.,Texas Southern,-1
Southeast Missouri St.,Austin Peay,-4
Toledo,Miami OH,11
Oklahoma St.,Iowa St.,13
Fairleigh Dickinson,St. Francis NY,4
Mount St. Mary's,Wagner,4
Western Michigan,Kent St.,-9
Saint Louis,La Salle,15
Akron,Northern Illinois,17
