home,away,predict_kp
Stanford,USC,-2
Penn St.,Rutgers,1
Arizona St.,Arizona,-3
Iowa,Indiana,10
Memphis,Wichita St.,2
Utah St.,Colorado St.,7
Washington St.,Utah,-3
Loyola Marymount,Saint Mary's,-1
Santa Clara,San Francisco,-2
Pepperdine,Pacific,1
California,UCLA,-8
Miami OH,Bowling Green,-3
Northern Colorado,Eastern Washington,-4
Weber St.,Southern Utah,-1
Sacramento St.,Montana,-1
Portland St.,Idaho St.,1
Sacred Heart,St. Francis PA,-1
Merrimack,Fairleigh Dickinson,1
Northern Arizona,Montana St.,-5
New Mexico,San Jose St.,4
Murray St.,Jacksonville St.,8
Tennessee St.,SIU Edwardsville,3
Central Connecticut,Mount St. Mary's,-4
Buffalo,Eastern Michigan,10
Akron,Central Michigan,10
Belmont,Eastern Illinois,12
Morehead St.,Southeast Missouri St.,8
Austin Peay,Tennessee Tech,11
Eastern Kentucky,Tennessee Martin,16
BYU,Portland,21
