home,away,predict_kp
Rutgers,Wisconsin,-2
Western Kentucky,Marshall,1
Buffalo,Bowling Green,4
St. Bonaventure,Duquesne,7
Charlotte,UAB,-2
Rice,Old Dominion,-3
Little Rock,Texas St.,4
UT Arlington,Louisiana,2
Hawaii,Cal St. Bakersfield,-2
North Texas,UTEP,6
Nevada,Fresno St.,6
St. Francis PA,Bryant,-3
South Alabama,Appalachian St.,1
Milwaukee,Purdue Fort Wayne,2
Oakland,Youngstown St.,-1
Illinois Chicago,Robert Morris,2
Stetson,Liberty,-7
Delaware,Hofstra,-4
Long Beach St.,Cal St. Northridge,2
Wagner,LIU,1
Seattle,Utah Valley,1
Detroit,Green Bay,3
Southern Miss,Middle Tennessee,-2
Wright St.,Cleveland St.,10
UC Santa Barbara,UC San Diego,8
Arkansas St.,Louisiana Monroe,2
Louisiana Tech,UTSA,9
North Dakota,North Dakota St.,-5
Florida Gulf Coast,Bellarmine,4
Manhattan,Niagara,-3
Georgia Southern,Troy,4
USC Upstate,Hampton,4
Cal Baptist,Tarleton St.,5
Lipscomb,North Florida,7
Northern Kentucky,IUPUI,6
Rider,Siena,-8
Kennesaw St.,North Alabama,-5
Mount St. Mary's,Merrimack,6
UT Rio Grande Valley,Dixie St.,8
Cal Poly,UC Riverside,-8
Monmouth,Quinnipiac,10
Marist,Fairfield,7
Denver,Oral Roberts,-10
Campbell,Presbyterian,8
UNC Asheville,Charleston Southern,11
Winthrop,Longwood,15
