home,away,predict_kp
Penn St.,Purdue,-1
Saint Louis,Richmond,3
Marshall,North Texas,3
UC Riverside,UC Santa Barbara,-2
Utah St.,Nevada,8
Akron,Bowling Green,5
Bradley,Drake,-7
UTSA,UAB,-4
Cincinnati,Tulane,5
Valparaiso,Indiana St.,-3
James Madison,Drexel,2
South Alabama,Georgia St.,-1
Illinois St.,Northern Iowa,2
Evansville,Missouri St.,-6
Little Rock,Louisiana,1
Southern Miss,Florida Atlantic,1
Utah Valley,UT Rio Grande Valley,1
UNLV,Fresno St.,5
UT Arlington,Arkansas St.,2
Georgia Southern,Appalachian St.,-1
Sacred Heart,Fairleigh Dickinson,1
Louisiana Tech,Rice,10
Seattle,Grand Canyon,-6
Merrimack,St. Francis NY,2
Denver,Nebraska Omaha,-1
Troy,Coastal Carolina,-6
Stetson,North Florida,5
South Dakota St.,UMKC,9
Tarleton St.,New Mexico St.,-5
Hawaii,Long Beach St.,8
UC Irvine,UC San Diego,10
Bryant,LIU,9
Northern Arizona,Southern Utah,-7
Kennesaw St.,Florida Gulf Coast,-6
Old Dominion,Middle Tennessee,10
Cal Poly,UC Davis,-8
St. Bonaventure,George Washington,16
Central Connecticut,Wagner,-8
Cal St. Bakersfield,Cal St. Northridge,10
Texas St.,Louisiana Monroe,10
Siena,Manhattan,11
Saint Peter's,Rider,11
Loyola Chicago,Southern Illinois,21
Idaho,Montana St.,-12
