home,away,predict_kp
Georgia Tech,Clemson,-1
St. Bonaventure,VCU,3
Georgia,Kentucky,-3
Arkansas,Auburn,6
Creighton,Providence,9
Duquesne,Rhode Island,-3
Wisconsin,Northwestern,10
Houston,Tulsa,12
Washington,Colorado,-12
Western Carolina,East Tennessee St.,-1
Sam Houston St.,Abilene Christian,-4
Gardner Webb,UNC Asheville,2
Samford,Chattanooga,-2
North Carolina,Wake Forest,12
George Mason,Saint Joseph's,6
Campbell,Radford,1
The Citadel,Mercer,-6
VMI,Furman,-10
Valparaiso,Loyola Chicago,-11
McNeese St.,Southeastern Louisiana,1
Longwood,High Point,3
Illinois St.,Bradley,-8
New Orleans,Texas A&M Corpus Chris,3
Boise St.,Fresno St.,13
Houston Baptist,Nicholls St.,-8
Stephen F. Austin,Northwestern St.,12
Davidson,Fordham,15
Presbyterian,Winthrop,-16
