home,away,predict_kp
Texas,Kansas,2
Auburn,Florida,-1
Virginia Tech,Georgia Tech,2
VCU,Saint Louis,3
Louisville,Notre Dame,3
Georgia,LSU,-5
Missouri,Mississippi,4
Michigan St.,Illinois,-9
Georgetown,Connecticut,-3
Ohio,Akron,1
Nebraska,Penn St.,-7
Villanova,St. John's,11
TCU,West Virginia,-9
Richmond,Massachusetts,7
San Diego,Pacific,-2
Central Michigan,Miami OH,-3
Arizona St.,Washington,8
Kansas St.,Oklahoma,-12
Eastern Michigan,Bowling Green,-7
Georgia St.,Appalachian St.,7
Campbell,High Point,4
Baylor,Iowa St.,26
Northern Illinois,Buffalo,-13
Liberty,North Alabama,15
Prairie View A&M,Arkansas Pine Bluff,15
Texas Southern,Mississippi Valley St.,27
