home,away,predict_kp
Syracuse,Louisville,1
Providence,Seton Hall,1
Alabama,LSU,7
Missouri,Kentucky,4
N.C. State,Virginia,-6
Rhode Island,VCU,1
Pittsburgh,Virginia Tech,-5
Tulsa,SMU,-1
St. John's,Villanova,-8
TCU,Oklahoma St.,-5
Florida,South Carolina,9
Mercer,East Tennessee St.,1
Memphis,UCF,9
La Salle,Saint Louis,-10
Creighton,Georgetown,14
Western Carolina,Chattanooga,-1
East Carolina,Houston,-16
Wofford,VMI,7
James Madison,Elon,6
Wichita St.,Tulane,11
Lamar,Incarnate Word,3
The Citadel,UNC Greensboro,-10
Texas A&M Corpus Chris,Stephen F. Austin,-10
Bowling Green,Western Michigan,12
Massachusetts,Fordham,12
New Mexico,San Diego St.,-19
